SECTOR F,Fermi Bubbles,,,,,ANALYSIS,
Regime,Count,Description,,,,,
F. Fermi Bubbles,10,Fermi Bubbles,,,,Cumulative,
Target Coordinate,RA,DEC,start_xyz,search_radius,Type,Closest OFFSET,0.02
17h45m40.22s -29d00m41.42s,0.2205,230.8392,Gasious Substrate Schema,0.59,MATCH: [FNS2015] 597 (*),,
17h45m37.25s -29d00m45.54s,0.2333,329.887,Gasious Substrate Schema,0.2,MATCH: [GMC2001]  3-270 (Mi*),,
17h45m36.95s -29d01m28.82s,0.2806,55.9327,Solenoidal Metric Schema (Iron),3.54,MATCH: CXOGC J174536.6-290128 (X),,
17h45m38.12s -29d00m30.31s,0.358,13.1618,Helical Metric Schema,1.58,MATCH: [FNS2015] 591 (*),,
17h45m38.60s -29d01m37.28s,0.2477,91.3796,Gasious Substrate Schema,0.88,MATCH: [NS2013] 58 (*),,
17h45m36.23s -29d00m19.63s,0.2423,27.8131,Gasious Substrate Schema,3.91,MATCH: [FJ95] 39 (*),,
17h45m38.48s -29d01m13.81s,0.2283,141.6131,Gasious Substrate Schema,1.22,MATCH: [KRL2007b] 270 (gam),,
17h45m36.82s -29d00m50.72s,0.3812,40.1532,Trefoil Metric Schema,2.78,MATCH: [MBB2008] G359.933-0.039 (X),,
17h45m34.98s -28d59m53.47s,0.2666,141.7775,Gasious Substrate Schema,6.36,MATCH: CXOGC J174534.4-285951 (X),,
17h45m44.05s -29d00m55.27s,0.3857,105.893,Trefoil Metric Schema,5.3,MATCH: [FJ95] 54 (*),,
17h45m41.51s -29d00m45.96s,0.2877,70.0989,Solenoidal Metric Schema (Iron),2.39,MATCH: CXOU J174541.5-290043 (X),,
17h45m39.84s -29d00m49.71s,0.2551,31.5059,Gasious Substrate Schema,0.5,MATCH: [FNS2015] 736 (*),,
17h45m35.08s -29d00m46.56s,0.2198,143.886,Minkowskian Baseline,3.09,MATCH: CXOGC J174535.2-290048 (X),,
17h45m43.10s -29d00m49.03s,0.2902,14.1798,Solenoidal Metric Schema (Iron),0.78,MATCH: CXOGC J174543.1-290049 (X),,
17h45m35.52s -29d00m04.73s,0.227,31.9969,Gasious Substrate Schema,2.18,MATCH: [MBB2008] G359.941-0.029 (X),,
17h45m37.66s -29d00m19.52s,1.6379,89.2459,Spacetime Curvature Limit (Black Hole),1.4,MATCH: [FJ95] 25 (*),,
17h45m36.08s -29d00m14.29s,0.299,250.0624,Solenoidal Metric Schema (Iron),3.47,MATCH: [NS2013] 52 (*),,
17h45m38.06s -28d59m42.85s,0.334,19.3967,Helical Metric Schema,3.85,MATCH: [BSD96]  11 (*),,
17h45m35.18s -29d00m22.85s,0.3002,171.7532,Solenoidal Metric Schema (Iron),6.47,MATCH: CXOGC J174535.6-290020 (X),,
17h45m41.08s -28d59m26.62s,0.2138,236.0652,Minkowskian Baseline,2.83,MATCH: CXOGC J174541.0-285929 (X),,
17h45m41.48s -28d59m47.55s,0.2155,74.6753,Minkowskian Baseline,2.48,MATCH: [BSD96] 118 (*),,
17h45m38.08s -29d00m08.18s,0.236,87.6809,Gasious Substrate Schema,2.82,MATCH: [BSD96]  10 (*),,
17h45m37.75s -29d01m32.55s,0.2515,239.5527,Gasious Substrate Schema,1.45,MATCH: CXOGC J174537.7-290134 (X),,
17h45m40.40s -29d01m25.82s,0.6014,255.9683,Metric Spacetime Anomaly,3.41,MATCH: CXOU J174540.1-290125 (X),,
17h45m42.78s -29d01m04.09s,0.4636,50.0759,Metric Spacetime Anomaly,1.66,MATCH: [BSD96] 202 (*),,
17h45m39.16s -29d01m31.68s,1.3068,39.3006,Metric Spacetime Anomaly,2.88,MATCH: CXOU J174538.9-290133 (X),,
17h45m37.14s -29d00m32.85s,0.3357,13.8208,Helical Metric Schema,3.45,MATCH: [NS2013] 47 (*),,
17h45m41.76s -28d59m58.27s,0.9174,147.3848,Baryonic Metric Substrate,2.62,MATCH: [BSD96] 117 (*),,
17h45m37.23s -29d00m50.29s,0.3167,75.4398,Solenoidal Metric Schema (Iron),0.79,MATCH: CXOGC J174537.2-290049 (X),,
17h45m43.11s -28d59m31.95s,1.6969,47.4853,Metric Spacetime Anomaly,1.84,MATCH: CXOGC J174542.9-285931 (X),,
17h45m44.00s -29d00m26.39s,0.4198,336.2001,Localized Torsional Inflection,1.6,MATCH: OH 359.952-00.058 (OH?),,
17h45m36.45s -28d59m38.52s,0.2576,90.1029,Gasious Substrate Schema,5.33,MATCH: CXOGC J174536.1-285942 (X),,
17h45m42.61s -29d00m24.58s,0.5965,369.9827,Metric Spacetime Anomaly,2.72,MATCH: [MES2015] 1360 (smm),,
17h45m37.69s -29d01m15.57s,0.212,13.0645,Minkowskian Baseline,2.19,MATCH: [FJ95] 36 (*),,
17h45m45.57s -29d00m19.25s,0.3389,195.0648,Helical Metric Schema,4.49,MATCH: CXOGC J174545.7-290015 (X),,
17h45m44.44s -29d00m40.35s,0.2386,129.5871,Gasious Substrate Schema,3.07,MATCH: CXOGC J174544.5-290037 (X),,
17h45m42.82s -29d00m35.29s,0.3865,8.2698,Trefoil Metric Schema,6.71,MATCH: [SSJ82] Star B (*),,
17h45m37.52s -29d00m04.37s,0.5397,12.6573,Metric Spacetime Anomaly,1.57,MATCH: [BSD96] 152 (*),,
17h45m40.00s -29d00m53.20s,0.2674,54.8318,Gasious Substrate Schema,0.28,MATCH: [FNS2015] 280 (*),,
17h45m37.42s -28d59m55.07s,0.3735,58.0041,Trefoil Metric Schema,0.73,MATCH: [MES2015] 1357 (smm),,
17h45m45.03s -28d59m53.36s,0.2632,38.2451,Gasious Substrate Schema,2.66,MATCH: CXOU J174544.8-285953 (X),,
17h45m36.69s -28d59m58.65s,0.5596,5.5517,Metric Spacetime Anomaly,4.89,MATCH: CXOGC J174536.5-285954 (X),,
17h45m43.28s -29d01m06.54s,0.3364,13.9586,Helical Metric Schema,4.08,MATCH: [BSD96] 134 (*),,
17h45m38.66s -28d59m22.43s,0.5337,85.3526,Metric Spacetime Anomaly,6.25,MATCH: CXOGC J174538.7-285928 (X),,
17h45m35.66s -29d00m35.96s,1.1894,209.647,Baryonic Metric Substrate,1.04,MATCH: CXOU J174535.6-290034 (X),,
17h45m41.89s -29d00m12.99s,0.4054,128.4363,Trefoil Metric Schema,1.05,MATCH: [FNS2015] 1110 (*),,
17h45m35.15s -29d00m49.14s,0.248,93.3269,Gasious Substrate Schema,1.38,MATCH: CXOGC J174535.2-290048 (X),,
17h45m37.51s -29d00m50.81s,0.2505,60.9352,Gasious Substrate Schema,1.74,MATCH: [FJ95] 12 (*),,
17h45m41.61s -28d59m43.91s,0.3688,74.2148,Trefoil Metric Schema,1.49,MATCH: [MES2015] 1365 (smm),,
17h45m40.59s -29d00m47.81s,0.279,29.7914,Gasious Substrate Schema,0.97,MATCH: [BSD96]  99 (*),,
17h45m37.12s -28d59m38.65s,0.2516,41.1532,Gasious Substrate Schema,10.06,MATCH: CXOGC J174537.5-285930 (X),,
17h45m42.86s -29d01m13.66s,0.2525,259.0667,Localized Torsional Inflection,4.58,MATCH: [BSD96] 204 (*),,
17h45m37.24s -29d00m45.32s,0.1827,32.227,Minkowskian Baseline,0.34,MATCH: [GMC2001]  3-270 (Mi*),,
17h45m36.54s -29d00m42.98s,0.1769,69.6705,Minkowskian Baseline,2.89,MATCH: [MBB2008] G359.933-0.037 (X),,
17h45m38.40s -29d00m05.64s,0.343,108.2263,Helical Metric Schema,2.01,MATCH: [BSD96]   9 (*),,
17h45m39.45s -28d59m59.67s,0.7085,27.9668,Metric Spacetime Anomaly,0.88,MATCH: [JDW2009] G359.95-0.04 (X),,
17h45m41.43s -29d00m12.63s,0.2759,101.8677,Gasious Substrate Schema,0.51,MATCH: [FNS2015] 5488 (*),,
17h45m35.19s -29d01m14.82s,0.4544,201.503,Metric Spacetime Anomaly,0.86,MATCH: [MES2015] 1349 (smm),,
