SECTOR F,Fermi Bubbles,,,,,ANALYSIS,
Regime,Count,Description,,,,,
F. Fermi Bubbles,10,Fermi Bubbles,,,,Cumulative,
Target Coordinate,RA,DEC,start_xyz,search_radius,Type,Closest OFFSET,0.02
17h11m58.37s -01d00m31.38s,0.2749,113.1584,Gasious Substrate Schema,98.42,MATCH: TYC 5065-363-1 (*),,
17h11m59.54s -00d59m44.24s,0.2577,295.6411,Localized Torsional Inflection,122.1,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m58.49s -01d00m26.42s,0.1844,5.4244,Minkowskian Baseline,103.14,MATCH: TYC 5065-363-1 (*),,
17h11m58.70s -00d59m30.93s,0.3972,25.8154,Trefoil Metric Schema,103.82,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m00.50s -00d59m11.77s,0.3184,3.4499,Solenoidal Metric Schema (Iron),115.52,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m01.11s -00d58m55.97s,0.2562,107.4092,Gasious Substrate Schema,118.23,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m58.62s -00d59m28.89s,0.4932,8.6913,Metric Spacetime Anomaly,101.56,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m01.02s -00d59m44.64s,0.3552,54.1347,Helical Metric Schema,139.42,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m57.76s -00d59m24.39s,0.2473,93.9791,Localized Torsional Inflection,89.11,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m01.85s -01d00m40.47s,0.2344,306.5916,Localized Torsional Inflection,137.21,MATCH: TYC 5065-363-1 (*),,
17h12m01.85s -00d59m36.71s,0.4844,65.2069,Metric Spacetime Anomaly,145.29,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m55.96s -00d59m49.11s,0.2228,72.3263,Gasious Substrate Schema,77.69,MATCH: HD 155467 (PM*),,
17h12m00.53s -01d00m51.98s,0.206,33.6783,Minkowskian Baseline,114.42,MATCH: TYC 5065-363-1 (*),,
17h11m56.35s -01d00m09.32s,0.3235,41.1982,Helical Metric Schema,95.3,MATCH: HD 155467 (PM*),,
17h12m01.51s -01d01m00.48s,0.2429,7.0771,Gasious Substrate Schema,125.19,MATCH: TYC 5065-363-1 (*),,
17h11m56.78s -01d00m13.98s,0.5598,18.1496,Metric Spacetime Anomaly,97.14,MATCH: TYC 5065-363-1 (*),,
17h11m57.16s -01d00m38.45s,0.1859,237.9513,Minkowskian Baseline,80.61,MATCH: TYC 5065-363-1 (*),,
17h11m58.81s -01d00m33.29s,0.2628,21.6389,Gasious Substrate Schema,102.14,MATCH: TYC 5065-363-1 (*),,
17h12m00.64s -01d00m02.98s,0.3124,32.3681,Solenoidal Metric Schema (Iron),142.72,MATCH: TYC 5065-363-1 (*),,
17h12m03.13s -00d59m41.83s,1.8591,127.4493,Spacetime Curvature Limit (Black Hole),164.44,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m01.84s -01d00m18.79s,0.2114,214.0923,Minkowskian Baseline,147.51,MATCH: TYC 5065-363-1 (*),,
17h11m57.07s -01d00m09.18s,0.3643,16.6012,Trefoil Metric Schema,103.21,MATCH: HD 155467 (PM*),,
17h11m56.21s -00d59m37.53s,0.288,76.7202,Solenoidal Metric Schema (Iron),74.68,MATCH: HD 155467 (PM*),,
17h12m01.05s -01d00m32.46s,0.2477,55.784,Gasious Substrate Schema,130.27,MATCH: TYC 5065-363-1 (*),,
17h12m00.16s -00d59m37.29s,0.2999,223.92,Solenoidal Metric Schema (Iron),124.7,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m02.01s -00d59m31.54s,0.1949,67.4517,Minkowskian Baseline,144.76,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m59.69s -00d59m28.32s,0.2873,54.3559,Solenoidal Metric Schema (Iron),113.68,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m57.11s -00d59m24.79s,0.2198,71.6077,Minkowskian Baseline,82.58,MATCH: HD 155467 (PM*),,
17h12m01.50s -00d59m07.62s,0.3247,5.8015,Helical Metric Schema,127.6,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m58.23s -00d59m36.79s,0.437,523.6777,Localized Torsional Inflection,102.22,MATCH: HD 155467 (PM*),,
17h12m02.06s -01d00m22.13s,1.0547,24.6591,Baryonic Metric Substrate,148.57,MATCH: TYC 5065-363-1 (*),,
17h11m57.68s -01d00m20.70s,0.2851,63.9677,Solenoidal Metric Schema (Iron),99.19,MATCH: TYC 5065-363-1 (*),,
17h11m57.80s -01d00m45.30s,0.2628,79.3148,Gasious Substrate Schema,82.82,MATCH: TYC 5065-363-1 (*),,
17h11m59.91s -01d00m19.40s,0.203,46.4024,Minkowskian Baseline,123.71,MATCH: TYC 5065-363-1 (*),,
17h11m58.65s -00d59m46.02s,0.3275,96.2006,Helical Metric Schema,111.43,MATCH: HD 155467 (PM*),,
17h11m58.05s -00d59m37.27s,0.2681,18.67,Gasious Substrate Schema,99.84,MATCH: HD 155467 (PM*),,
17h11m58.89s -01d00m40.46s,0.2328,16.8667,Gasious Substrate Schema,98.72,MATCH: TYC 5065-363-1 (*),,
17h11m58.56s -00d59m43.06s,0.6207,107.0896,Metric Spacetime Anomaly,109.06,MATCH: HD 155467 (PM*),,
17h11m58.79s -00d59m51.64s,0.2431,169.4757,Localized Torsional Inflection,115.63,MATCH: HD 155467 (PM*),,
17h11m57.65s -00d59m14.26s,0.1802,29.0014,Minkowskian Baseline,80.97,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m02.05s -00d59m41.08s,0.4543,19.7905,Metric Spacetime Anomaly,150.14,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m58.45s -00d59m33.04s,0.2547,225.88,Localized Torsional Inflection,102.54,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m00.90s -01d00m28.19s,0.1933,40.3722,Minkowskian Baseline,130.57,MATCH: TYC 5065-363-1 (*),,
17h12m02.83s -01d00m51.08s,0.2898,24.1453,Solenoidal Metric Schema (Iron),146.93,MATCH: TYC 5065-363-1 (*),,
17h12m00.72s -00d59m08.94s,0.2572,40.0072,Gasious Substrate Schema,117.32,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m04.26s -00d59m42.37s,0.2943,17.0129,Solenoidal Metric Schema (Iron),179.65,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m01.42s -01d00m48.09s,0.2052,12.5505,Minkowskian Baseline,128.22,MATCH: TYC 5065-363-1 (*),,
17h12m02.66s -01d00m10.24s,0.4146,10.3812,Trefoil Metric Schema,162.48,MATCH: TYC 5065-363-1 (*),,
17h11m59.64s -01d00m06.40s,0.1937,101.4489,Minkowskian Baseline,129.48,MATCH: TYC 5065-363-1 (*),,
17h11m59.96s -01d00m01.03s,0.2664,13.7504,Gasious Substrate Schema,135.5,MATCH: HD 155467 (PM*),,
17h12m01.53s -00d59m16.53s,0.3059,10.8505,Solenoidal Metric Schema (Iron),131.52,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m58.52s -01d00m09.82s,0.2761,228.258,Gasious Substrate Schema,115.6,MATCH: TYC 5065-363-1 (*),,
17h11m56.96s -01d00m22.64s,0.1951,77.2418,Minkowskian Baseline,91.22,MATCH: TYC 5065-363-1 (*),,
17h11m58.78s -01d00m23.79s,0.3585,9.5543,Helical Metric Schema,108.1,MATCH: TYC 5065-363-1 (*),,
17h12m00.56s -01d00m47.77s,0.2682,136.0908,Gasious Substrate Schema,116.59,MATCH: TYC 5065-363-1 (*),,
17h12m03.49s -00d59m48.46s,0.4188,0.0271,Trefoil Metric Schema,172.43,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m04.45s -00d59m54.01s,0.2299,90.2134,Gasious Substrate Schema,187.67,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m01.12s -01d00m31.90s,0.7828,305.9002,Metric Spacetime Anomaly,131.46,MATCH: TYC 5065-363-1 (*),,
17h11m57.04s -01d00m23.07s,0.2664,205.8891,Gasious Substrate Schema,91.54,MATCH: TYC 5065-363-1 (*),,
17h11m57.46s -01d00m41.95s,0.3061,182.7733,Solenoidal Metric Schema (Iron),81.24,MATCH: TYC 5065-363-1 (*),,
17h12m00.22s -01d00m02.41s,0.242,319.3217,Localized Torsional Inflection,138.48,MATCH: TYC 5065-363-1 (*),,
17h11m57.40s -00d59m52.04s,0.4387,59.8421,Trefoil Metric Schema,97.34,MATCH: HD 155467 (PM*),,
17h11m58.54s -00d59m31.68s,0.6286,0.3122,Metric Spacetime Anomaly,102.57,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m57.67s -00d59m18.73s,0.2219,65.838,Gasious Substrate Schema,84.19,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m57.48s -00d59m54.82s,0.4124,33.3445,Trefoil Metric Schema,99.8,MATCH: HD 155467 (PM*),,
17h12m00.89s -00d59m01.36s,0.2965,47.9434,Solenoidal Metric Schema (Iron),116.83,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m58.61s -00d59m56.86s,0.487,4.0058,Metric Spacetime Anomaly,115.54,MATCH: HD 155467 (PM*),,
17h12m03.21s -01d00m04.99s,0.2112,4.6018,Minkowskian Baseline,172.26,MATCH: TYC 5065-363-1 (*),,
17h12m00.12s -01d00m37.11s,0.6177,190.0056,Metric Spacetime Anomaly,115.92,MATCH: TYC 5065-363-1 (*),,
17h11m58.90s -00d59m34.97s,1.0978,13.5646,Baryonic Metric Substrate,108.76,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m01.03s -00d59m16.57s,0.2995,40.6739,Solenoidal Metric Schema (Iron),124.78,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m59.90s -01d00m39.82s,0.2405,56.0275,Gasious Substrate Schema,111.69,MATCH: TYC 5065-363-1 (*),,
17h12m00.48s -00d59m37.17s,0.3353,18.3614,Helical Metric Schema,128.46,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m59.82s -01d00m17.31s,0.4876,152.178,Localized Torsional Inflection,124.02,MATCH: TYC 5065-363-1 (*),,
17h11m58.62s -01d00m51.14s,0.4535,343.1002,Metric Spacetime Anomaly,89.41,MATCH: TYC 5065-363-1 (*),,
17h11m59.80s -00d59m53.21s,0.372,11.0683,Trefoil Metric Schema,130.11,MATCH: HD 155467 (PM*),,
17h12m03.01s -00d59m19.64s,0.448,75.5725,Trefoil Metric Schema,153.1,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m58.23s -01d00m35.16s,0.2792,106.5896,Gasious Substrate Schema,94.33,MATCH: TYC 5065-363-1 (*),,
17h11m58.66s -00d59m07.59s,0.2299,305.2727,Gasious Substrate Schema,89.28,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m02.68s -01d00m02.44s,0.2812,120.8631,Solenoidal Metric Schema (Iron),167.08,MATCH: TYC 5065-363-1 (*),,
17h12m01.12s -00d59m56.50s,0.2978,203.0439,Solenoidal Metric Schema (Iron),147.97,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m59.92s -01d00m27.31s,0.5173,103.5722,Metric Spacetime Anomaly,118.95,MATCH: TYC 5065-363-1 (*),,
17h11m59.57s -01d00m36.13s,0.3781,81.7888,Trefoil Metric Schema,109.55,MATCH: TYC 5065-363-1 (*),,
17h12m01.52s -01d00m28.23s,0.2351,19.1013,Gasious Substrate Schema,138.49,MATCH: TYC 5065-363-1 (*),,
17h11m59.32s -01d00m35.61s,0.5741,357.118,Metric Spacetime Anomaly,106.79,MATCH: TYC 5065-363-1 (*),,
17h12m03.19s -00d59m43.49s,0.7005,58.3309,Metric Spacetime Anomaly,166.05,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m00.22s -01d00m02.37s,0.3243,8.0189,Helical Metric Schema,138.51,MATCH: TYC 5065-363-1 (*),,
17h11m59.26s -01d00m16.64s,0.3253,103.0732,Helical Metric Schema,118.24,MATCH: TYC 5065-363-1 (*),,
17h11m59.81s -00d59m07.60s,0.3821,60.6507,Trefoil Metric Schema,104.4,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m57.96s -00d59m43.09s,0.2887,25.9446,Solenoidal Metric Schema (Iron),100.76,MATCH: HD 155467 (PM*),,
17h12m01.46s -01d00m33.19s,0.2124,90.9622,Minkowskian Baseline,135.27,MATCH: TYC 5065-363-1 (*),,
17h12m00.12s -00d59m22.23s,0.2188,50.53,Minkowskian Baseline,115.6,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m59.89s -01d00m03.14s,0.3148,10.8725,Solenoidal Metric Schema (Iron),134.44,MATCH: TYC 5065-363-1 (*),,
17h12m03.76s -01d00m02.99s,0.2441,88.3959,Gasious Substrate Schema,180.3,MATCH: TYC 5065-363-1 (*),,
17h12m01.41s -01d00m16.10s,0.7642,125.9053,Metric Spacetime Anomaly,143.64,MATCH: TYC 5065-363-1 (*),,
17h12m02.54s -01d00m22.12s,1.7036,5.9346,Metric Spacetime Anomaly,154.8,MATCH: TYC 5065-363-1 (*),,
17h11m55.80s -01d00m10.25s,0.2027,38.1994,Minkowskian Baseline,90.28,MATCH: HD 155467 (PM*),,
17h11m59.40s -00d58m55.62s,0.1874,120.0438,Minkowskian Baseline,93.9,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m03.96s -00d59m37.04s,0.3949,0.9079,Trefoil Metric Schema,173.24,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m00.23s -00d59m53.81s,0.2809,11.0349,Solenoidal Metric Schema (Iron),136.19,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m02.13s -00d59m19.20s,0.225,61.6144,Gasious Substrate Schema,140.81,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m57.31s -01d00m06.93s,0.1821,202.6156,Minkowskian Baseline,104.6,MATCH: HD 155467 (PM*),,
17h12m03.18s -01d00m34.07s,0.2566,261.2851,Gasious Substrate Schema,158.02,MATCH: TYC 5065-363-1 (*),,
17h12m00.79s -00d59m59.68s,0.2956,55.096,Solenoidal Metric Schema (Iron),146.31,MATCH: HD 155467 (PM*),,
17h11m59.06s -00d59m19.47s,0.3179,59.7779,Solenoidal Metric Schema (Iron),100.83,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m01.59s -01d00m29.39s,0.41,332.687,Trefoil Metric Schema,138.82,MATCH: TYC 5065-363-1 (*),,
17h11m57.74s -01d00m18.81s,0.8929,305.7844,Localized Torsional Inflection,101.23,MATCH: TYC 5065-363-1 (*),,
17h11m57.02s -01d00m13.14s,0.2166,174.8807,Minkowskian Baseline,99.7,MATCH: TYC 5065-363-1 (*),,
17h11m57.55s -01d00m05.66s,0.4072,96.3855,Trefoil Metric Schema,106.71,MATCH: HD 155467 (PM*),,
17h12m02.90s -00d59m23.60s,0.3138,34.0767,Solenoidal Metric Schema (Iron),153.15,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m58.89s -01d00m25.72s,0.196,249.7632,Minkowskian Baseline,108,MATCH: TYC 5065-363-1 (*),,
17h11m59.81s -00d59m02.69s,0.2723,7.7281,Gasious Substrate Schema,102.31,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m01.31s -01d00m48.28s,0.7605,16.7705,Metric Spacetime Anomaly,126.63,MATCH: TYC 5065-363-1 (*),,
17h12m01.32s -00d59m36.20s,0.2994,37.4849,Solenoidal Metric Schema (Iron),138.29,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m00.87s -00d59m08.69s,0.2657,105.1852,Gasious Substrate Schema,119.27,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m01.04s -01d00m25.88s,0.4253,34.8774,Trefoil Metric Schema,133.59,MATCH: TYC 5065-363-1 (*),,
17h12m01.37s -00d59m43.34s,0.5614,109.6967,Metric Spacetime Anomaly,142.9,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m59.83s -01d00m01.97s,0.2228,155.5875,Localized Torsional Inflection,134.16,MATCH: HD 155467 (PM*),,
17h12m01.70s -00d59m16.67s,0.2849,52.362,Solenoidal Metric Schema (Iron),133.89,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m03.69s -00d59m48.94s,0.387,77.5824,Localized Torsional Inflection,175.26,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m56.24s -00d59m35.48s,0.3923,42.8097,Trefoil Metric Schema,74.15,MATCH: HD 155467 (PM*),,
17h11m58.46s -00d59m36.12s,0.5142,74.1197,Metric Spacetime Anomaly,104.83,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m56.38s -01d00m33.07s,0.2772,130.6746,Gasious Substrate Schema,77.72,MATCH: TYC 5065-363-1 (*),,
17h11m57.83s -00d59m06.38s,0.2521,184.8243,Gasious Substrate Schema,78.21,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m58.40s -01d00m16.22s,0.4117,73.0107,Trefoil Metric Schema,109.58,MATCH: TYC 5065-363-1 (*),,
17h12m01.13s -01d00m19.60s,0.4609,55.9969,Localized Torsional Inflection,138.2,MATCH: TYC 5065-363-1 (*),,
17h12m00.31s -01d00m16.39s,0.3511,26.2855,Helical Metric Schema,130.26,MATCH: TYC 5065-363-1 (*),,
17h11m58.63s -01d00m07.10s,0.1806,50.963,Minkowskian Baseline,118.74,MATCH: TYC 5065-363-1 (*),,
17h12m02.46s -00d59m49.09s,0.3002,6.9232,Solenoidal Metric Schema (Iron),159.65,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m56.66s -01d00m16.20s,0.3809,157.3212,Trefoil Metric Schema,94.31,MATCH: TYC 5065-363-1 (*),,
17h11m59.55s -01d00m21.02s,0.2903,31.1955,Solenoidal Metric Schema (Iron),118.53,MATCH: TYC 5065-363-1 (*),,
17h11m59.77s -00d58m57.45s,0.2727,121.2827,Gasious Substrate Schema,99.73,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m59.55s -01d01m05.70s,0.2604,28.316,Gasious Substrate Schema,95.67,MATCH: TYC 5065-363-1 (*),,
17h11m59.79s -01d01m01.83s,0.2664,125.0927,Localized Torsional Inflection,100.4,MATCH: TYC 5065-363-1 (*),,
17h12m04.23s -00d59m56.03s,0.2813,112.7075,Solenoidal Metric Schema (Iron),185.84,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m59.04s -00d59m54.75s,0.338,192.6598,Helical Metric Schema,120.35,MATCH: HD 155467 (PM*),,
17h11m59.21s -00d59m10.42s,0.1986,35.1285,Minkowskian Baseline,97.82,MATCH: 2MASS J17115357-0058211 (LM*),,
17h11m57.23s -00d59m52.16s,0.2716,99.7893,Gasious Substrate Schema,95.21,MATCH: HD 155467 (PM*),,
17h11m59.46s -00d59m38.74s,0.196,337.0975,Minkowskian Baseline,117.52,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m00.45s -00d59m42.52s,0.2611,15.2168,Gasious Substrate Schema,131.35,MATCH: 2MASS J17115357-0058211 (LM*),,
17h12m02.89s -00d59m11.26s,0.214,199.9857,Minkowskian Baseline,148.4,MATCH: 2MASS J17115357-0058211 (LM*),,
TF4,,,,,,,
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,,
"Target: RA 16.7, DEC 14.0",,,,,,,
Depth: 32000 XYZ,Radius: 10,,,,,,
Scanning Volume... Sampling 418 points.,,,,,,,
Structure Detected: 418 metric nodes.,,,,,,,
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,TF4,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,Closest OFFSET,2.73
16h42m02.62s +14d00m29.99s,0.2061,75.7706,Minkowskian Baseline,80.55,MATCH: NSC J164157+140018 (ClG),Average OFFSET,53.33016746
16h41m56.84s +14d00m05.15s,0.5688,9.9854,Metric Spacetime Anomaly,13.34,MATCH: NSC J164157+140018 (ClG),Max OFFSET,106.62
16h42m01.19s +14d00m21.03s,0.3226,21.9597,Helical Metric Schema,58.89,MATCH: NSC J164157+140018 (ClG),Number of Close Matches(OFFSET < 1 arcsecond),0
16h42m01.09s +13d59m37.07s,0.2799,103.6663,Gasious Substrate Schema,70.28,MATCH: NSC J164157+140018 (ClG),,
16h42m00.68s +13d59m59.43s,0.9475,25.6641,Baryonic Metric Substrate,54.53,MATCH: NSC J164157+140018 (ClG),No SIMBAD Match,0
16h41m59.03s +14d00m11.56s,1.7715,88.0854,Spacetime Curvature Limit (Black Hole),28.04,MATCH: NSC J164157+140018 (ClG),,
16h41m57.95s +14d00m18.29s,0.2712,23.2301,Gasious Substrate Schema,11.66,MATCH: NSC J164157+140018 (ClG),Structure Type,Count
16h42m00.72s +13d59m27.11s,0.268,53.1671,Gasious Substrate Schema,72.52,MATCH: NSC J164157+140018 (ClG),Gasious Substrate Schema,109
16h41m58.18s +13d59m04.79s,0.4219,63.889,Localized Torsional Inflection,74.44,MATCH: NSC J164157+140018 (ClG),Metric Spacetime Anomaly,67
16h41m57.19s +13d59m40.89s,0.3048,59.0259,Solenoidal Metric Schema (Iron),36.81,MATCH: NSC J164157+140018 (ClG),Minkowskian Baseline,63
16h42m02.00s +13d59m37.10s,0.3765,9.6046,Trefoil Metric Schema,81.43,MATCH: NSC J164157+140018 (ClG),Solenoidal Metric Schema (Iron),53
16h41m58.74s +14d00m16.63s,0.2644,26.0699,Gasious Substrate Schema,23.17,MATCH: NSC J164157+140018 (ClG),Trefoil Metric Schema,46
16h41m58.65s +14d00m22.37s,2.0629,22.266,Metric Spacetime Anomaly,22.33,MATCH: NSC J164157+140018 (ClG),Helical Metric Schema,35
16h42m01.07s +13d59m34.86s,0.2504,269.1201,Gasious Substrate Schema,71.35,MATCH: NSC J164157+140018 (ClG),Localized Torsional Inflection,26
16h41m58.44s +14d00m59.12s,0.6337,24.7519,Metric Spacetime Anomaly,45.48,MATCH: NSC J164157+140018 (ClG),Baryonic Metric Substrate,13
16h41m59.57s +13d59m53.60s,0.3915,45.7571,Trefoil Metric Schema,42.68,MATCH: NSC J164157+140018 (ClG),Spacetime Curvature Limit (Black Hole),6
16h41m58.93s +13d59m39.32s,0.3736,364.873,Localized Torsional Inflection,46.31,MATCH: NSC J164157+140018 (ClG),,
16h42m00.82s +13d59m12.57s,0.3384,15.4695,Helical Metric Schema,84.23,MATCH: NSC J164157+140018 (ClG),,
16h41m59.93s +14d00m26.41s,0.3995,380.2703,Localized Torsional Inflection,41.39,MATCH: NSC J164157+140018 (ClG),,
16h41m57.53s +13d59m31.50s,0.2655,31.1226,Gasious Substrate Schema,46.53,MATCH: NSC J164157+140018 (ClG),,
16h41m59.96s +13d59m51.66s,0.2759,209.1782,Gasious Substrate Schema,48.48,MATCH: NSC J164157+140018 (ClG),,
16h42m02.50s +14d00m39.54s,0.5473,70.2856,Metric Spacetime Anomaly,80.87,MATCH: NSC J164157+140018 (ClG),,
16h42m01.64s +13d59m14.82s,0.3402,4.3667,Helical Metric Schema,90.69,MATCH: NSC J164157+140018 (ClG),,
16h42m00.74s +14d00m09.33s,0.2614,138.4637,Gasious Substrate Schema,52.92,MATCH: NSC J164157+140018 (ClG),,
16h42m01.06s +13d59m46.47s,0.2638,56.0712,Gasious Substrate Schema,64.91,MATCH: NSC J164157+140018 (ClG),,
16h41m58.24s +14d00m35.07s,0.1708,240.5465,Minkowskian Baseline,23.52,MATCH: NSC J164157+140018 (ClG),,
16h42m00.92s +13d59m17.23s,0.3502,0.0616,Helical Metric Schema,81.65,MATCH: NSC J164157+140018 (ClG),,
16h41m58.85s +13d59m56.30s,0.178,13.6034,Minkowskian Baseline,32.71,MATCH: NSC J164157+140018 (ClG),,
16h41m59.38s +14d00m01.86s,0.3406,119.3008,Helical Metric Schema,36.12,MATCH: NSC J164157+140018 (ClG),,
16h42m02.83s +13d59m24.60s,0.2865,14.5968,Solenoidal Metric Schema (Iron),98.25,MATCH: NSC J164157+140018 (ClG),,
16h41m55.86s +13d59m59.90s,0.2471,55.1665,Gasious Substrate Schema,25.87,MATCH: NSC J164157+140018 (ClG),,
16h42m00.42s +14d00m35.45s,0.2286,88.3844,Gasious Substrate Schema,50.79,MATCH: NSC J164157+140018 (ClG),,
16h41m59.11s +14d00m50.93s,0.2669,97.5338,Gasious Substrate Schema,43.79,MATCH: NSC J164157+140018 (ClG),,
16h42m01.67s +13d59m42.42s,0.8713,104.2108,Baryonic Metric Substrate,74.65,MATCH: NSC J164157+140018 (ClG),,
16h41m58.45s +13d59m25.07s,0.1935,6.6568,Minkowskian Baseline,55.93,MATCH: NSC J164157+140018 (ClG),,
16h41m59.89s +14d00m13.43s,0.2356,31.6912,Gasious Substrate Schema,40.11,MATCH: NSC J164157+140018 (ClG),,
16h41m59.19s +14d00m34.71s,0.2563,2.0203,Gasious Substrate Schema,34.22,MATCH: NSC J164157+140018 (ClG),,
16h42m02.96s +13d59m53.47s,0.4416,198.8476,Trefoil Metric Schema,87.96,MATCH: NSC J164157+140018 (ClG),,
16h41m59.73s +13d59m30.31s,0.4256,10.2674,Trefoil Metric Schema,60.46,MATCH: NSC J164157+140018 (ClG),,
16h42m00.01s +13d59m12.65s,1.1456,13.6763,Baryonic Metric Substrate,77.23,MATCH: NSC J164157+140018 (ClG),,
16h41m58.76s +13d59m44.07s,0.4416,19.2168,Trefoil Metric Schema,40.99,MATCH: NSC J164157+140018 (ClG),,
16h42m01.15s +13d59m00.19s,0.3693,6.1297,Trefoil Metric Schema,76.22,MATCH: SDSSCGB 14281.3 (G),,
16h42m00.52s +13d59m37.07s,0.3045,36.2151,Solenoidal Metric Schema (Iron),63.69,MATCH: NSC J164157+140018 (ClG),,
16h41m57.59s +14d00m20.42s,0.3109,133.3937,Solenoidal Metric Schema (Iron),6.96,MATCH: NSC J164157+140018 (ClG),,
16h41m57.45s +13d59m44.22s,0.2421,30.9153,Gasious Substrate Schema,33.76,MATCH: NSC J164157+140018 (ClG),,
16h41m57.20s +14d00m06.23s,0.6481,542.9818,Localized Torsional Inflection,11.49,MATCH: NSC J164157+140018 (ClG),,
16h42m00.90s +14d00m47.16s,0.4697,202.5756,Localized Torsional Inflection,62.02,MATCH: NSC J164157+140018 (ClG),,
16h41m59.76s +13d59m45.97s,0.8846,15.544,Baryonic Metric Substrate,49.5,MATCH: NSC J164157+140018 (ClG),,
16h42m01.71s +13d59m30.76s,2.0622,91.0071,Spacetime Curvature Limit (Black Hole),81.29,MATCH: NSC J164157+140018 (ClG),,
16h42m00.05s +14d00m22.82s,0.3186,103.7596,Solenoidal Metric Schema (Iron),42.52,MATCH: NSC J164157+140018 (ClG),,
16h41m59.17s +14d00m51.82s,0.2627,3.6212,Gasious Substrate Schema,45.04,MATCH: NSC J164157+140018 (ClG),,
16h41m58.14s +13d59m31.28s,0.2434,8.9119,Gasious Substrate Schema,48.6,MATCH: NSC J164157+140018 (ClG),,
16h42m00.43s +13d59m56.33s,0.3159,37.648,Solenoidal Metric Schema (Iron),52.3,MATCH: NSC J164157+140018 (ClG),,
16h42m02.89s +14d00m06.88s,0.8206,28.1396,Baryonic Metric Substrate,84.24,MATCH: NSC J164157+140018 (ClG),,
16h42m01.03s +14d00m41.92s,0.7987,157.6311,Metric Spacetime Anomaly,61.44,MATCH: NSC J164157+140018 (ClG),,
16h41m59.32s +14d00m23.04s,0.223,127.6778,Gasious Substrate Schema,32.03,MATCH: NSC J164157+140018 (ClG),,
16h41m59.29s +13d59m24.93s,0.5652,103.9011,Metric Spacetime Anomaly,61.28,MATCH: NSC J164157+140018 (ClG),,
16h41m57.46s +13d59m14.78s,0.2342,204.5008,Gasious Substrate Schema,63.08,MATCH: NSC J164157+140018 (ClG),,
16h42m02.17s +13d59m27.13s,0.1982,173.3486,Minkowskian Baseline,88.86,MATCH: NSC J164157+140018 (ClG),,
