SECTOR A,,,,,,ANALYSIS,,,,,,,,,
TA1,,,,,,,,,,,,,,,
--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---,,,,,,Cumulative,,,,,,,,,
--- IMAGE REDIRECT ACTIVE ---,,,,,,Closest OFFSET,0.02,,,,,,,,
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,Average OFFSET,53.3187509,,,,,,,,
"Target: RA 17.761, DEC -29.008",,,,,,Max OFFSET,294.59,,,,,,,,
Depth: 26000 XYZ,Radius: 10,,,,,Number of Close Matches(OFFSET < 1 arcsecond),846,,,,,,,,
Scanning Volume... Sampling 418 points.,,,,,,No SIMBAD Match,422,,,,,,,,
Structure Detected: 418 metric nodes.,,,,,,Accuracy Rate,97.74%,Standard Distribution ,2.770341059,Coefficient of Variation,70.43836306,, ,,
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,,,,,,,,,,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,Structure Type,Count,Average offset by Structure Type,Coefficient of Variation by type,Standard Distribution by type,,Lens Candiate,Tag,Predictied Identity,KEY
17h45m42.41s -28d59m24.14s,0.4286,32.9754,Trefoil Metric Schema,3.48,MATCH: CXOGC J174542.4-285927 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m41.53s -29d00m59.06s,0.2979,233.2306,Solenoidal Metric Schema (Iron),2,MATCH: [YRW2013] 18 (out),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
17h45m41.36s -29d00m43.86s,0.4059,147.5294,Trefoil Metric Schema,2.13,MATCH: [FNS2015] 338 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
17h45m35.78s -29d00m03.47s,0.9608,12.3723,Baryonic Metric Substrate,2.25,MATCH: [MBB2008] G359.941-0.029 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Baryonic Metric Substrate,
17h45m39.50s -28d59m33.58s,0.2997,18.5111,Solenoidal Metric Schema (Iron),0.65,MATCH: CXOGC J174539.4-285934 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
17h45m38.74s -28d59m19.00s,0.2719,62.8633,Gasious Substrate Schema,8.5,MATCH: CXOGC J174538.1-285916 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m36.59s -29d01m01.91s,0.251,28.6867,Gasious Substrate Schema,4.13,MATCH: CXOGC J174536.6-290058 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m42.08s -29d01m16.58s,0.6035,25.6769,Metric Spacetime Anomaly,4.64,MATCH: CXOGC J174541.9-290120 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
17h45m38.06s -29d00m29.62s,0.2189,76.8217,Minkowskian Baseline,1.41,MATCH: [FNS2015] 591 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
17h45m39.08s -29d00m46.40s,0.6064,20.2214,Metric Spacetime Anomaly,0.83,MATCH: [FNS2015] 268 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
17h45m34.85s -29d00m36.58s,0.2709,29.7725,Gasious Substrate Schema,3.84,MATCH: CXOGC J174534.8-290040 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m41.03s -29d01m12.45s,0.2269,9.1141,Gasious Substrate Schema,2.58,MATCH: CXOGC J174541.2-290113 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m34.42s -29d00m42.80s,0.341,28.7702,Helical Metric Schema,3.72,MATCH: CXOGC J174534.3-290046 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Helical Metric Schema,
17h45m40.22s -29d00m41.42s,0.2205,230.8392,Gasious Substrate Schema,0.59,MATCH: [FNS2015] 597 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m37.25s -29d00m45.54s,0.2333,329.887,Gasious Substrate Schema,0.2,MATCH: [GMC2001]  3-270 (Mi*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m36.95s -29d01m28.82s,0.2806,55.9327,Solenoidal Metric Schema (Iron),3.54,MATCH: CXOGC J174536.6-290128 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
17h45m38.12s -29d00m30.31s,0.358,13.1618,Helical Metric Schema,1.58,MATCH: [FNS2015] 591 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
17h45m38.60s -29d01m37.28s,0.2477,91.3796,Gasious Substrate Schema,0.88,MATCH: [NS2013] 58 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m36.23s -29d00m19.63s,0.2423,27.8131,Gasious Substrate Schema,3.91,MATCH: [FJ95] 39 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m38.48s -29d01m13.81s,0.2283,141.6131,Gasious Substrate Schema,1.22,MATCH: [KRL2007b] 270 (gam),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m36.82s -29d00m50.72s,0.3812,40.1532,Trefoil Metric Schema,2.78,MATCH: [MBB2008] G359.933-0.039 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m34.98s -28d59m53.47s,0.2666,141.7775,Gasious Substrate Schema,6.36,MATCH: CXOGC J174534.4-285951 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m44.05s -29d00m55.27s,0.3857,105.893,Trefoil Metric Schema,5.3,MATCH: [FJ95] 54 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
17h45m41.51s -29d00m45.96s,0.2877,70.0989,Solenoidal Metric Schema (Iron),2.39,MATCH: CXOU J174541.5-290043 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
17h45m39.84s -29d00m49.71s,0.2551,31.5059,Gasious Substrate Schema,0.5,MATCH: [FNS2015] 736 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m35.08s -29d00m46.56s,0.2198,143.886,Minkowskian Baseline,3.09,MATCH: CXOGC J174535.2-290048 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
17h45m43.10s -29d00m49.03s,0.2902,14.1798,Solenoidal Metric Schema (Iron),0.78,MATCH: CXOGC J174543.1-290049 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
17h45m35.52s -29d00m04.73s,0.227,31.9969,Gasious Substrate Schema,2.18,MATCH: [MBB2008] G359.941-0.029 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m37.66s -29d00m19.52s,1.6379,89.2459,Spacetime Curvature Limit (Black Hole),1.4,MATCH: [FJ95] 25 (*),,,,,,,-,VARIABLE STAR,Spacetime Curvature Limit (Black Hole),
17h45m36.08s -29d00m14.29s,0.299,250.0624,Solenoidal Metric Schema (Iron),3.47,MATCH: [NS2013] 52 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
17h45m38.06s -28d59m42.85s,0.334,19.3967,Helical Metric Schema,3.85,MATCH: [BSD96]  11 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
17h45m35.18s -29d00m22.85s,0.3002,171.7532,Solenoidal Metric Schema (Iron),6.47,MATCH: CXOGC J174535.6-290020 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
17h45m41.08s -28d59m26.62s,0.2138,236.0652,Minkowskian Baseline,2.83,MATCH: CXOGC J174541.0-285929 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
17h45m41.48s -28d59m47.55s,0.2155,74.6753,Minkowskian Baseline,2.48,MATCH: [BSD96] 118 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
17h45m38.08s -29d00m08.18s,0.236,87.6809,Gasious Substrate Schema,2.82,MATCH: [BSD96]  10 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m37.75s -29d01m32.55s,0.2515,239.5527,Gasious Substrate Schema,1.45,MATCH: CXOGC J174537.7-290134 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m40.40s -29d01m25.82s,0.6014,255.9683,Metric Spacetime Anomaly,3.41,MATCH: CXOU J174540.1-290125 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
17h45m42.78s -29d01m04.09s,0.4636,50.0759,Metric Spacetime Anomaly,1.66,MATCH: [BSD96] 202 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
17h45m39.16s -29d01m31.68s,1.3068,39.3006,Metric Spacetime Anomaly,2.88,MATCH: CXOU J174538.9-290133 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
17h45m37.14s -29d00m32.85s,0.3357,13.8208,Helical Metric Schema,3.45,MATCH: [NS2013] 47 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
17h45m41.76s -28d59m58.27s,0.9174,147.3848,Baryonic Metric Substrate,2.62,MATCH: [BSD96] 117 (*),,,,,,,-,VARIABLE STAR,Baryonic Metric Substrate,
17h45m37.23s -29d00m50.29s,0.3167,75.4398,Solenoidal Metric Schema (Iron),0.79,MATCH: CXOGC J174537.2-290049 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
17h45m43.11s -28d59m31.95s,1.6969,47.4853,Metric Spacetime Anomaly,1.84,MATCH: CXOGC J174542.9-285931 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
17h45m44.00s -29d00m26.39s,0.4198,336.2001,Localized Torsional Inflection,1.6,MATCH: OH 359.952-00.058 (OH?),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
17h45m36.45s -28d59m38.52s,0.2576,90.1029,Gasious Substrate Schema,5.33,MATCH: CXOGC J174536.1-285942 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m42.61s -29d00m24.58s,0.5965,369.9827,Metric Spacetime Anomaly,2.72,MATCH: [MES2015] 1360 (smm),,,,,,,-,RADIO/SUB-MM,Metric Spacetime Anomaly,
17h45m37.69s -29d01m15.57s,0.212,13.0645,Minkowskian Baseline,2.19,MATCH: [FJ95] 36 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
17h45m45.57s -29d00m19.25s,0.3389,195.0648,Helical Metric Schema,4.49,MATCH: CXOGC J174545.7-290015 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Helical Metric Schema,
17h45m44.44s -29d00m40.35s,0.2386,129.5871,Gasious Substrate Schema,3.07,MATCH: CXOGC J174544.5-290037 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m42.82s -29d00m35.29s,0.3865,8.2698,Trefoil Metric Schema,6.71,MATCH: [SSJ82] Star B (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
17h45m37.52s -29d00m04.37s,0.5397,12.6573,Metric Spacetime Anomaly,1.57,MATCH: [BSD96] 152 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
17h45m40.00s -29d00m53.20s,0.2674,54.8318,Gasious Substrate Schema,0.28,MATCH: [FNS2015] 280 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m37.42s -28d59m55.07s,0.3735,58.0041,Trefoil Metric Schema,0.73,MATCH: [MES2015] 1357 (smm),,,,,,,-,RADIO/SUB-MM,Trefoil Metric Schema,
17h45m45.03s -28d59m53.36s,0.2632,38.2451,Gasious Substrate Schema,2.66,MATCH: CXOU J174544.8-285953 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m36.69s -28d59m58.65s,0.5596,5.5517,Metric Spacetime Anomaly,4.89,MATCH: CXOGC J174536.5-285954 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
17h45m43.28s -29d01m06.54s,0.3364,13.9586,Helical Metric Schema,4.08,MATCH: [BSD96] 134 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
17h45m38.66s -28d59m22.43s,0.5337,85.3526,Metric Spacetime Anomaly,6.25,MATCH: CXOGC J174538.7-285928 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
