SECTOR A,,,,,,ANALYSIS,,,,,,,,,
TA1,,,,,,,,,,,,,,,
--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---,,,,,,Cumulative,,,,,,,,,
--- IMAGE REDIRECT ACTIVE ---,,,,,,Closest OFFSET,0.02,,,,,,,,
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,Average OFFSET,53.3187509,,,,,,,,
"Target: RA 17.761, DEC -29.008",,,,,,Max OFFSET,294.59,,,,,,,,
Depth: 26000 XYZ,Radius: 10,,,,,Number of Close Matches(OFFSET < 1 arcsecond),846,,,,,,,,
Scanning Volume... Sampling 418 points.,,,,,,No SIMBAD Match,422,,,,,,,,
Structure Detected: 418 metric nodes.,,,,,,Accuracy Rate,97.74%,Standard Distribution ,2.770341059,Coefficient of Variation,70.43836306,, ,,
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,,,,,,,,,,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,Structure Type,Count,Average offset by Structure Type,Coefficient of Variation by type,Standard Distribution by type,,Lens Candiate,Tag,Predictied Identity,KEY
TA10,,,,,,,,,,,,-,INFRARED/YSO,,
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,,,,,,,-,INFRARED/YSO,,
"Target: RA 19.253, DEC 10.945",,,,,,,,,,,,-,INFRARED/YSO,,
Depth: 28000 XYZ,Radius: 10,,,,,,,,,,,-,INFRARED/YSO,,
Scanning Volume... Sampling 418 points.,,,,,,,,,,,,-,INFRARED/YSO,,
Structure Detected: 418 metric nodes.,,,,,,,,,,,,-,INFRARED/YSO,,
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,,,,,,,-,INFRARED/YSO,,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,,,,,,,-,INFRARED/YSO,PREDICTED IDENTITY,
19h15m06.98s +10d56m19.02s,0.2573,171.8472,Gasious Substrate Schema,20.58,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m08.98s +10d57m01.40s,0.176,192.6017,Minkowskian Baseline,9.79,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m10.21s +10d55m37.04s,0.5116,112.255,Metric Spacetime Anomaly,26.3,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
19h15m10.88s +10d56m48.49s,0.3727,150.4174,Trefoil Metric Schema,10.58,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
19h15m08.17s +10d56m10.00s,0.3689,15.304,Trefoil Metric Schema,34.47,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
19h15m07.62s +10d57m11.43s,0.4943,226.1325,Metric Spacetime Anomaly,22.17,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
19h15m09.83s +10d57m18.53s,0.352,21.4143,Helical Metric Schema,12.85,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
19h15m08.50s +10d55m55.35s,0.2007,457.5261,Minkowskian Baseline,40.96,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m13.08s +10d56m38.32s,0.4446,64.3923,Trefoil Metric Schema,23.39,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
19h15m10.71s +10d55m54.20s,0.2315,9.334,Gasious Substrate Schema,18.72,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m08.91s +10d57m22.13s,0.5546,29.6972,Metric Spacetime Anomaly,11.61,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
19h15m14.13s +10d57m16.80s,0.3727,52.6194,Trefoil Metric Schema,43.05,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
19h15m07.13s +10d56m13.66s,0.4637,207.9821,Metric Spacetime Anomaly,20.11,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
19h15m11.54s +10d56m14.38s,0.3629,66.9987,Trefoil Metric Schema,13.77,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
19h15m13.27s +10d56m48.77s,0.2055,28.6009,Minkowskian Baseline,25.54,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
19h15m11.52s +10d56m07.55s,0.2206,15.1593,Gasious Substrate Schema,20.36,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m09.93s +10d57m31.24s,0.4472,168.0401,Trefoil Metric Schema,23.49,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
19h15m12.00s +10d56m38.76s,0.287,75.6759,Solenoidal Metric Schema (Iron),8.98,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
19h15m13.77s +10d55m57.34s,0.2744,75.2651,Gasious Substrate Schema,29.93,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m06.41s +10d56m49.88s,0.3554,292.9897,Localized Torsional Inflection,37.72,MATCH: 2MASS J19150517+1057227 (LP?),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
19h15m09.93s +10d56m18.09s,0.1884,159.6238,Minkowskian Baseline,22,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
19h15m10.16s +10d57m19.45s,0.3336,86.6849,Helical Metric Schema,17.45,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
19h15m13.59s +10d56m30.55s,0.2405,103.6511,Gasious Substrate Schema,33.22,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
19h15m12.34s +10d56m14.67s,0.8765,114.818,Baryonic Metric Substrate,20.3,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Baryonic Metric Substrate,
19h15m11.19s +10d56m01.30s,0.2106,95.9987,Minkowskian Baseline,17.78,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m11.80s +10d57m24.31s,0.1916,439.6088,Minkowskian Baseline,22.6,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m09.49s +10d55m49.85s,0.6023,0.1959,Metric Spacetime Anomaly,35.24,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
19h15m12.01s +10d55m48.40s,0.7664,52.6615,Metric Spacetime Anomaly,2.69,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
19h15m10.89s +10d56m54.88s,0.4361,49.8385,Trefoil Metric Schema,13.99,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
19h15m12.60s +10d56m45.32s,0.1957,346.9819,Minkowskian Baseline,15.38,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
19h15m08.84s +10d56m33.99s,0.2397,31.9143,Gasious Substrate Schema,36.46,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m09.20s +10d56m11.11s,0.4565,127.8886,Localized Torsional Inflection,34.75,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
19h15m08.79s +10d56m24.58s,0.3034,117.6777,Solenoidal Metric Schema (Iron),36.75,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
19h15m11.26s +10d57m22.92s,0.4188,121.4838,Trefoil Metric Schema,26.28,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
19h15m09.53s +10d56m10.76s,0.2616,2.4337,Gasious Substrate Schema,30.74,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m12.03s +10d56m12.69s,0.2147,243.75,Minkowskian Baseline,18.57,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
19h15m12.05s +10d57m42.67s,0.3125,18.9252,Solenoidal Metric Schema (Iron),4.01,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m08.43s +10d56m34.70s,0.3275,58.7468,Helical Metric Schema,37.68,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
19h15m09.80s +10d56m52.88s,0.3818,15.523,Trefoil Metric Schema,20.63,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
19h15m08.41s +10d56m37.18s,0.2591,31.7808,Gasious Substrate Schema,35.38,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m10.58s +10d56m24.36s,0.2012,294.7699,Minkowskian Baseline,10.76,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
19h15m09.40s +10d56m11.03s,0.2982,85.348,Localized Torsional Inflection,32.22,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
19h15m14.20s +10d56m47.77s,0.3867,29.0751,Trefoil Metric Schema,39.05,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
19h15m09.26s +10d57m36.84s,0.3063,0.104,Solenoidal Metric Schema (Iron),25.96,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m08.77s +10d56m46.91s,0.2358,51.3203,Gasious Substrate Schema,24.61,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m07.49s +10d56m39.33s,0.4213,0.2148,Trefoil Metric Schema,39.75,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
19h15m09.39s +10d57m06.70s,0.487,133.1461,Metric Spacetime Anomaly,5.77,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
19h15m07.29s +10d56m15.04s,0.289,23.5112,Solenoidal Metric Schema (Iron),22.8,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m11.53s +10d56m28.13s,0.7978,192.2446,Localized Torsional Inflection,3.76,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
19h15m08.59s +10d55m46.64s,0.2919,35.1435,Solenoidal Metric Schema (Iron),45.45,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m13.11s +10d57m14.21s,0.284,43.9332,Solenoidal Metric Schema (Iron),36.18,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m12.90s +10d56m17.20s,0.2458,42.1439,Gasious Substrate Schema,26.06,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m12.54s +10d56m33.41s,0.223,13.7298,Gasious Substrate Schema,18.5,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
19h15m07.62s +10d56m42.86s,0.3007,2.7369,Solenoidal Metric Schema (Iron),35.79,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m11.42s +10d57m28.03s,0.2994,80.1895,Solenoidal Metric Schema (Iron),20.65,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m13.68s +10d57m04.53s,0.305,5.4012,Solenoidal Metric Schema (Iron),36.93,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
19h15m12.58s +10d57m26.39s,0.2456,57.7002,Gasious Substrate Schema,21.86,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m11.52s +10d55m55.56s,0.222,28.1869,Gasious Substrate Schema,10.33,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m11.74s +10d56m41.27s,0.3221,8.3975,Helical Metric Schema,4.54,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Helical Metric Schema,
19h15m12.78s +10d56m36.79s,0.3897,6.6987,Trefoil Metric Schema,19.77,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
19h15m13.61s +10d56m15.58s,0.2851,76.6547,Solenoidal Metric Schema (Iron),36.4,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
19h15m11.18s +10d57m14.46s,0.2598,167.9378,Gasious Substrate Schema,30.07,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
19h15m10.90s +10d55m39.14s,0.6253,13.8188,Metric Spacetime Anomaly,16.16,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
19h15m07.79s +10d57m31.53s,0.2345,48.2825,Gasious Substrate Schema,28.46,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m08.69s +10d57m17.90s,0.2285,41.7965,Gasious Substrate Schema,9.45,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m08.60s +10d57m38.99s,0.3141,1.2332,Solenoidal Metric Schema (Iron),29.08,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m12.06s +10d56m30.19s,0.3478,171.2295,Helical Metric Schema,11.82,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
19h15m12.47s +10d56m18.19s,0.3953,24.7367,Trefoil Metric Schema,19.93,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Trefoil Metric Schema,
19h15m07.01s +10d56m18.13s,0.3195,98.1702,Solenoidal Metric Schema (Iron),20.45,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m09.28s +10d56m00.10s,0.2127,78.6106,Minkowskian Baseline,40.26,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
19h15m14.15s +10d55m55.96s,0.3208,358.5926,Localized Torsional Inflection,34.81,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
19h15m13.74s +10d55m47.43s,0.2208,10.7283,Gasious Substrate Schema,27.52,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m09.30s +10d56m17.37s,0.2284,24.8191,Gasious Substrate Schema,30.86,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m08.44s +10d57m11.28s,0.2919,30.9007,Solenoidal Metric Schema (Iron),10.1,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m07.10s +10d56m19.28s,0.2434,15.7777,Gasious Substrate Schema,22.19,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m06.47s +10d56m28.29s,0.3969,21.5024,Trefoil Metric Schema,23.08,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
19h15m13.00s +10d57m06.32s,0.564,68.08,Metric Spacetime Anomaly,30.18,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
19h15m13.50s +10d56m28.07s,0.2924,16.2883,Solenoidal Metric Schema (Iron),32.74,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
19h15m10.78s +10d55m50.92s,0.2798,14.0412,Gasious Substrate Schema,16.65,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m06.45s +10d56m34.25s,0.3311,40.1316,Helical Metric Schema,28.53,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
19h15m09.67s +10d56m46.37s,0.1784,4.4661,Minkowskian Baseline,25.86,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m07.45s +10d56m50.81s,0.236,9.8551,Gasious Substrate Schema,31.85,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m12.87s +10d55m53.37s,0.4465,65.1215,Trefoil Metric Schema,16.16,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
19h15m09.50s +10d56m16.53s,0.3374,109.9705,Localized Torsional Inflection,28.41,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
19h15m09.57s +10d56m09.06s,0.3139,299.6506,Solenoidal Metric Schema (Iron),31.23,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
19h15m11.79s +10d56m46.77s,0.7099,87.6918,Metric Spacetime Anomaly,3.92,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
19h15m13.80s +10d57m13.86s,1.6556,53.0354,Spacetime Curvature Limit (Black Hole),41.95,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Spacetime Curvature Limit (Black Hole),
19h15m07.89s +10d56m20.45s,0.2121,188.3563,Minkowskian Baseline,33.02,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m11.90s +10d55m55.75s,0.4163,131.7288,Trefoil Metric Schema,9.13,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
19h15m09.86s +10d56m07.70s,0.3393,94.0587,Helical Metric Schema,28.83,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
19h15m12.54s +10d57m16.56s,0.2686,174.751,Gasious Substrate Schema,31.05,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m12.34s +10d56m52.06s,0.3286,264.0127,Localized Torsional Inflection,13.59,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Localized Torsional Inflection,
19h15m13.78s +10d56m33.63s,0.2193,226.7484,Minkowskian Baseline,34.64,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
19h15m09.38s +10d57m02.02s,0.2991,28.9444,Solenoidal Metric Schema (Iron),9.69,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m08.64s +10d56m01.54s,0.2151,495.1371,Minkowskian Baseline,41.66,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m11.17s +10d55m52.52s,0.2873,225.9956,Solenoidal Metric Schema (Iron),11.91,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m11.41s +10d56m02.74s,0.2101,73.4394,Minkowskian Baseline,17.49,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m10.66s +10d55m51.99s,0.2431,118.0306,Gasious Substrate Schema,18.64,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m08.89s +10d56m08.44s,1.2014,124.4335,Metric Spacetime Anomaly,40.03,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Metric Spacetime Anomaly,
19h15m10.33s +10d56m09.92s,0.3088,272.311,Solenoidal Metric Schema (Iron),22.51,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
19h15m12.49s +10d56m32.12s,0.4373,447.4188,Localized Torsional Inflection,18.43,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Localized Torsional Inflection,
19h15m06.99s +10d56m35.98s,0.4836,31.6883,Metric Spacetime Anomaly,33.43,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
19h15m12.77s +10d56m34.28s,0.2972,0.5991,Solenoidal Metric Schema (Iron),20.8,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
19h15m09.08s +10d56m20.73s,0.2097,187.8177,Minkowskian Baseline,33.08,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Minkowskian Baseline,
19h15m12.84s +10d57m32.25s,0.2693,58.5188,Gasious Substrate Schema,18.76,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m09.86s +10d57m20.61s,0.2669,7.0095,Gasious Substrate Schema,14.5,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m09.84s +10d57m24.99s,0.2883,59.3103,Solenoidal Metric Schema (Iron),17.54,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m14.30s +10d56m41.28s,0.217,210.9758,Minkowskian Baseline,40.58,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
19h15m08.11s +10d56m59.23s,0.2062,204.5619,Minkowskian Baseline,19,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
19h15m07.36s +10d56m32.32s,0.3006,33.276,Solenoidal Metric Schema (Iron),33.69,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m12.04s +10d56m14.60s,0.3531,136.7304,Helical Metric Schema,17.18,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
19h15m09.46s +10d56m05.07s,0.2518,10.1563,Gasious Substrate Schema,34.97,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m12.36s +10d56m52.79s,0.3039,4.4478,Solenoidal Metric Schema (Iron),14.23,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
19h15m11.80s +10d56m32.70s,0.3502,65.8892,Helical Metric Schema,9.24,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Helical Metric Schema,
19h15m12.03s +10d56m58.46s,0.3814,2.588,Trefoil Metric Schema,15.25,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
19h15m10.83s +10d55m44.92s,0.2598,59.3803,Gasious Substrate Schema,15.45,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
19h15m11.60s +10d56m51.01s,0.2017,86.9727,Minkowskian Baseline,6.14,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
19h15m13.64s +10d56m33.44s,0.217,127.8271,Minkowskian Baseline,32.77,MATCH: Granat 1915+105 (HXB),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
19h15m13.05s +10d56m08.51s,0.3044,19.3217,Solenoidal Metric Schema (Iron),27.92,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m08.45s +10d55m39.67s,0.2424,167.5139,Localized Torsional Inflection,47.31,MATCH: 2MASS J19150583+1056071 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
19h15m08.42s +10d57m21.82s,0.4051,4.8855,Trefoil Metric Schema,15.03,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
19h15m11.47s +10d55m57.83s,0.414,312.7572,Localized Torsional Inflection,12.67,MATCH: 2MASS J19151187+1055466 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
19h15m10.09s +10d56m13.18s,0.247,8.0736,Gasious Substrate Schema,22.66,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m13.94s +10d56m23.08s,0.2223,31.732,Gasious Substrate Schema,39.48,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m07.86s +10d57m24.57s,0.2895,10.8839,Solenoidal Metric Schema (Iron),23.08,MATCH: 2MASS J19150912+1057111 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
19h15m11.05s +10d56m20.94s,0.319,160.2309,Solenoidal Metric Schema (Iron),7.44,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Solenoidal Metric Schema (Iron),
19h15m13.63s +10d56m19.05s,0.2691,106.5832,Gasious Substrate Schema,35.69,MATCH: ISOGAL-P J191511.2+105622 (NIR),,,,,,,-,INFRARED/YSO,Gasious Substrate Schema,
19h15m14.17s +10d57m14.43s,0.3001,34.9091,Solenoidal Metric Schema (Iron),45.14,MATCH: 2MASS J19151202+1057466 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
