SECTION E,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,3208361,11h29m33.0s +47d32m06s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,23066890,16h03m23.7s -19d25m51s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,25017,08h14m04.2s +16d21m57s,1.49,0.958,0.356,Stable,V-Band (Green),MAGNESIUM,,,156689,13h02m39.1s -22d56m25s,1.87,0.7712,0.691,Collapse,X-Ray / Gamma,SINGULARITY,,,63344,00h10m18.9s +12d53m36s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,197040,06h54m14.6s +30d45m53s,0.79,0.7654,0.296,Collapse,X-Ray / Gamma,SINGULARITY,,,174515,14h58m51.8s -22d30m10s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,182341,17h52m58.6s +13d46m04s,0.76,0.9999,0.168,Ghost,Radio / CMB,DARK MATTER,,,221689,12h03m11.5s -16d09m28s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,287040,21h45m45.0s -13d07m28s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,4880602,07h20m26.6s +46d04m06s,1.11,0.7821,0.4,Collapse,X-Ray / Gamma,SINGULARITY,,,,29755853,02h16m51.5s -20d06m39s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,26020,08h50m34.7s +18d04m21s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,158361,13h15m30.8s -26d02m16s,0.76,0.808,0.256,Collapse,X-Ray / Gamma,SINGULARITY,,,64013,22h49m19.5s +17d19m37s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,198378,07h14m02.1s +31d15m53s,1.5,0.9645,0.354,Stable,V-Band (Green),MAGNESIUM,,,179030,16h16m12.9s -26d56m18s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,184682,17h43m33.2s +13d01m44s,0.36,0.6294,0.201,Collapse,X-Ray / Gamma,SINGULARITY,,,223361,12h23m02.4s -12d40m24s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,289047,22h58m08.2s -12d39m21s,1.28,0.9662,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,7388963,12h50m31.6s +46d43m15s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,33100334,18h15m41.1s -21d55m32s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28528,09h34m19.8s +19d06m23s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,166722,18h02m46.3s -24d42m39s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,65351,01h14m52.2s +17d14m17s,1.37,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,199716,09h19m20.4s +31d43m57s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,182040,18h42m29.4s -23d48m38s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,185853,18h17m43.0s +13d46m03s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,228378,15h56m21.5s -13d57m10s,0.98,0.8559,0.295,Collapse,X-Ray / Gamma,SINGULARITY,,,291054,00h42m37.7s -11d40m10s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9061204,09h30m32.3s +47d14m37s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,36444816,09h28m35.2s -18d39m43s,1.24,0.9999,0.272,Forming,K-Band (IR),PROTO-MATTER,,,30033,09h36m05.2s +16d26m17s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,171739,20h07m21.7s -26d39m50s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,66689,23h42m15.7s +17d02m13s,1.52,0.9999,0.333,Stable,V-Band (Green),MAGNESIUM,,,203729,09h38m31.9s +32d43m37s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,183545,20h06m57.3s -22d14m44s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,191706,23h01m32.2s +16d51m15s,2.16,0.9999,0.475,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,231722,17h14m23.4s -16d30m18s,1.48,0.9999,0.326,Stable,V-Band (Green),MAGNESIUM,,,295067,04h01m25.4s -10d25m59s,2.7,0.9999,0.595,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,9897324,18h10m49.5s +44d28m46s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,39789298,00h49m32.5s -17d17m26s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31037,09h34m55.7s +20d17m29s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,181773,02h00m49.3s -27d30m16s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,69365,01h45m19.9s +16d18m38s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,207742,11h21m07.5s +32d46m08s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,185050,21h21m38.7s -22d57m41s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,192876,22h58m23.3s +15d32m19s,0.9,0.8013,0.31,Collapse,X-Ray / Gamma,SINGULARITY,,,236739,19h08m41.3s -14d46m15s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,299080,05h01m41.0s -09d55m57s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10733445,06h04m05.7s +43d27m56s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,69889632,04h44m24.5s -22d19m45s,1.2,0.9999,0.263,Forming,K-Band (IR),PROTO-MATTER,,,31538,09h35m28.6s +15d54m39s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,183445,04h10m01.8s -26d11m00s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,70702,02h39m41.8s +15d48m22s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,210418,12h30m40.6s +32d11m16s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,188060,22h46m38.2s -27d09m32s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,194047,21h59m18.5s +14d01m02s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,245100,22h59m53.6s -15d18m41s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,311120,12h11m02.4s -13d33m55s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,15750167,18h13m21.8s +44d11m11s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,73234114,21h39m23.0s -20d35m56s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32542,09h41m47.3s +17d10m59s,0.93,0.8355,0.294,Collapse,X-Ray / Gamma,SINGULARITY,,,188462,04h39m45.4s -27d59m31s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,73378,02h57m15.6s +14d36m33s,1.25,0.9999,0.276,Forming,K-Band (IR),PROTO-MATTER,,,211756,15h11m12.6s +31d43m59s,1.02,0.9999,0.225,Forming,K-Band (IR),PROTO-MATTER,,,189565,22h57m29.7s -26d35m35s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,203411,02h30m55.6s +17d41m15s,1.01,0.9999,0.222,Forming,K-Band (IR),PROTO-MATTER,,,246773,01h13m35.7s -11d42m57s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,315134,13h03m53.9s -15d02m43s,0.62,0.7038,0.273,Collapse,X-Ray / Gamma,SINGULARITY,
,17422408,13h46m25.8s +48d59m48s,1.47,0.9999,0.324,Stable,V-Band (Green),MAGNESIUM,,,,79923077,04h20m45.7s -19d00m24s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35050,10h47m36.5s +18d20m46s,0.97,0.9999,0.215,Forming,K-Band (IR),PROTO-MATTER,,,190134,07h18m05.1s -23d05m37s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,74716,06h13m14.3s +13d58m05s,0.74,0.8795,0.21,Collapse,X-Ray / Gamma,SINGULARITY,,,217107,15h40m26.2s +29d16m01s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,191070,22h59m55.3s -24d06m58s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,205753,06h16m23.1s +14d34m28s,1.35,0.9904,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,248445,03h16m19.0s -15d33m10s,1.39,0.9227,0.358,Stable,V-Band (Green),MAGNESIUM,,,329181,21h03m52.5s -12d41m28s,0.58,0.8936,0.159,Collapse,X-Ray / Gamma,SINGULARITY,
,19930769,20h26m55.6s +43d06m12s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,96645485,15h16m24.8s -22d54m60s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36054,11h36m59.4s +22d17m15s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,193478,06h59m08.1s -28d11m50s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,78729,07h06m22.1s +12d14m15s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,222458,20h19m04.0s +27d04m18s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,192575,23h08m20.2s -22d03m60s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,210435,08h30m17.9s +13d21m41s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,253462,03h52m04.2s -13d11m31s,1.67,0.8567,0.502,Collapse,X-Ray / Gamma,SINGULARITY,,,333194,21h00m39.3s -14d41m29s,0.64,0.8132,0.212,Collapse,X-Ray / Gamma,SINGULARITY,
,25783612,16h59m25.3s +48d09m25s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,103334448,21h17m54.7s -16d18m10s,1.13,0.9999,0.248,Forming,K-Band (IR),PROTO-MATTER,,,37559,13h09m48.2s +19d46m31s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,200167,11h00m37.8s -27d50m13s,1.06,0.9999,0.233,Forming,K-Band (IR),PROTO-MATTER,,,80067,06h36m03.6s +11d49m37s,1.24,0.9999,0.273,Forming,K-Band (IR),PROTO-MATTER,,,223796,19h13m20.9s +26d46m16s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,195585,00h28m04.5s -24d59m42s,0.73,0.9999,0.161,Ghost,Radio / CMB,DARK MATTER,,,213946,10h09m23.0s +18d23m20s,0.72,0.7192,0.308,Collapse,X-Ray / Gamma,SINGULARITY,,,255134,06h28m05.1s -17d47m25s,0.69,0.9999,0.152,Ghost,Radio / CMB,DARK MATTER,,,335201,21h26m31.2s -09d36m07s,1.66,0.9999,0.365,High-Tension,B/V (Violet),CALCIUM,
