SECTION E,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,28291973,00h31m49.1s +42d55m52s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,110023411,06h31m46.0s -22d43m11s,1.32,0.8261,0.427,Collapse,X-Ray / Gamma,SINGULARITY,,,40067,15h53m32.1s +21d14m53s,2.02,0.8949,0.555,Collapse,X-Ray / Gamma,SINGULARITY,,,205184,15h12m38.7s -28d44m49s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,84080,10h47m56.3s +11d26m44s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,225134,22h34m10.6s +26d36m40s,1.7,0.9999,0.375,High-Tension,B/V (Violet),CALCIUM,,,200100,04h42m11.7s -24d31m40s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,215117,10h38m16.6s +18d28m50s,1.58,0.9999,0.348,Stable,V-Band (Green),MAGNESIUM,,,261823,09h18m29.4s -16d59m13s,0.75,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,345234,05h11m28.5s -14d35m52s,0.71,0.9999,0.157,Ghost,Radio / CMB,DARK MATTER,
,29964214,19h53m27.7s +46d38m47s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,123401338,23h09m32.4s -22d09m43s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40569,16h21m17.6s +14d52m58s,1.03,0.8549,0.309,Collapse,X-Ray / Gamma,SINGULARITY,,,208528,14h00m56.0s -21d40m42s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,86756,10h38m00.1s +12d01m19s,1.14,0.9999,0.251,Forming,K-Band (IR),PROTO-MATTER,,,229147,22h53m47.1s +27d03m11s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,201605,05h54m20.8s -21d59m06s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,216288,09h02m00.1s +17d22m15s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,265167,09h58m22.9s -13d52m48s,1,0.9999,0.22,Forming,K-Band (IR),PROTO-MATTER,,,347241,05h08m04.5s -11d31m12s,0.6,0.8401,0.188,Collapse,X-Ray / Gamma,SINGULARITY,
,33308696,11h04m30.1s +42d03m44s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,130090301,07h21m49.6s -17d24m45s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,43077,17h46m38.0s +14d35m56s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,215217,17h54m45.4s -24d41m19s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,89431,10h36m34.2s +13d14m09s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,231823,01h41m18.8s +28d04m35s,1.32,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,204615,07h00m07.7s -24d31m59s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,220970,11h07m18.0s +11d23m54s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,271856,14h07m03.0s -17d22m34s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,349247,04h56m53.1s -12d21m26s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,34144816,00h24m35.6s +44d45m06s,3.11,0.9999,0.684,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,136779264,18h28m40.8s -21d16m01s,1.14,0.9999,0.251,Forming,K-Band (IR),PROTO-MATTER,,,45084,17h48m25.1s +23d18m21s,0.16,0.4501,0.175,Collapse,X-Ray / Gamma,SINGULARITY,,,216890,18h01m10.6s -29d04m16s,1.21,0.9999,0.266,Forming,K-Band (IR),PROTO-MATTER,,,90769,14h38m42.6s +14d02m02s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,233161,23h30m08.9s +28d45m31s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,209130,07h06m48.3s -25d02m15s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,226823,15h26m27.3s +19d07m04s,0.99,0.9999,0.218,Forming,K-Band (IR),PROTO-MATTER,,,273528,13h02m40.6s -16d25m57s,1.67,0.8311,0.533,Collapse,X-Ray / Gamma,SINGULARITY,,,355268,08h46m56.9s -15d52m25s,4.14,0.7723,1.525,Collapse,X-Ray / Gamma,SINGULARITY,
,38325418,00h27m34.1s +42d55m35s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,143468227,01h12m44.7s -18d27m17s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,46589,17h28m57.0s +20d41m47s,1.02,0.8459,0.313,Collapse,X-Ray / Gamma,SINGULARITY,,,228595,02h19m41.5s -29d06m02s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,91438,12h30m42.0s +15d45m22s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,238512,04h24m54.4s +31d56m20s,2.93,0.9999,0.645,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,210635,07h41m05.8s -22d00m58s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,231505,18h13m39.8s +11d55m43s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,280217,16h52m56.7s -12d34m32s,1.05,0.8591,0.312,Collapse,X-Ray / Gamma,SINGULARITY,,,363294,13h10m02.0s -15d49m30s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,42506020,01h55m16.4s +41d39m39s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,170224080,09h27m35.5s -21d06m01s,8.05,0.9999,1.771,Fuel,UV / Lyman,HYDROGEN,,,48094,17h15m14.3s +16d04m52s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,233612,05h01m35.8s -29d18m46s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,93445,14h54m03.3s +15d51m18s,2.91,0.9999,0.641,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,245201,06h53m21.9s +34d21m50s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,215151,11h49m21.9s -27d13m34s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,238528,20h20m15.7s +19d29m26s,1.27,0.9999,0.279,Forming,K-Band (IR),PROTO-MATTER,,,281890,17h10m37.3s -11d55m45s,2.26,0.9999,0.497,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,373328,19h08m31.1s -15d18m00s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,45850502,17h45m46.0s +45d04m56s,0.68,0.8962,0.188,Collapse,X-Ray / Gamma,SINGULARITY,,,,180257525,13h53m02.1s -15d40m36s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,50100,17h40m54.0s +22d50m39s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,236957,04h54m26.1s -20d33m22s,1.01,0.8309,0.322,Collapse,X-Ray / Gamma,SINGULARITY,,,94114,12h43m37.9s +13d53m43s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,247876,09h52m10.9s +34d10m44s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,219666,15h00m44.9s -22d10m19s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,239699,20h30m17.6s +19d22m31s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,290251,22h31m28.3s -18d17m03s,0.65,0.9999,0.143,Ghost,Radio / CMB,DARK MATTER,,,375334,20h49m35.1s -08d46m36s,8.92,0.9999,1.962,Fuel,UV / Lyman,HYDROGEN,
,50031104,21h59m15.1s +47d26m09s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,183602007,05h30m38.8s -22d26m52s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,51605,18h46m45.6s +23d38m36s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,238629,04h36m24.0s -26d58m58s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,97458,18h02m40.3s +18d32m23s,0.41,0.6314,0.229,Collapse,X-Ray / Gamma,SINGULARITY,,,251890,09h20m26.5s +32d33m57s,4.02,0.9999,0.885,Fuel,UV / Lyman,HYDROGEN,,,221171,15h08m03.5s -21d01m01s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,240870,23h47m43.2s +17d44m23s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,291923,01h21m38.4s -11d31m33s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,395401,05h13m41.7s -16d41m45s,1.02,0.9999,0.224,Forming,K-Band (IR),PROTO-MATTER,
,50867224,08h19m46.8s +42d11m14s,1.01,0.9979,0.222,Forming,K-Band (IR),PROTO-MATTER,,,,203668896,07h30m28.8s -15d04m23s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,55117,23h06m38.4s +19d36m25s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,240301,07h29m32.1s -28d47m20s,1.83,0.8957,0.502,Collapse,X-Ray / Gamma,SINGULARITY,,,98127,16h47m32.6s +11d18m41s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,253227,11h21m58.7s +31d44m40s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,227191,15h50m38.7s -26d17m34s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,243211,22h16m24.3s +12d27m40s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,298612,04h14m55.6s -10d21m01s,0.7,0.7988,0.24,Collapse,X-Ray / Gamma,SINGULARITY,,,397408,04h45m11.0s -07d39m42s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,
,52539465,05h21m03.3s +46d12m37s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,207013378,22h14m08.0s -17d44m22s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,55619,23h44m15.5s +21d49m57s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,241973,10h01m37.7s -21d16m44s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,98796,14h57m44.3s +19d15m01s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,258579,12h01m36.8s +27d57m12s,0.7,0.9999,0.154,Ghost,Radio / CMB,DARK MATTER,,,228696,17h07m01.6s -22d27m34s,1.23,0.9386,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,250234,05h07m52.7s +19d30m25s,1.97,0.9999,0.433,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,306973,09h07m01.4s -19d25m27s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,405435,11h22m52.2s -09d36m03s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,54211706,02h05m39.4s +49d40m40s,0.44,0.7858,0.155,Collapse,X-Ray / Gamma,SINGULARITY,,,,220391304,16h07m58.4s -19d15m23s,4.4,0.8258,1.42,Collapse,X-Ray / Gamma,SINGULARITY,,,57124,01h17m55.0s +16d20m28s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,243645,09h13m36.2s -23d21m37s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,100134,19h08m41.3s +19d48m10s,0.94,0.9999,0.206,Forming,K-Band (IR),PROTO-MATTER,,,263930,18h02m58.1s +25d19m21s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,230201,18h45m23.8s -20d38m53s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,256087,06h08m32.6s +10d51m49s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,311990,09h05m28.9s -18d14m17s,0.68,0.8249,0.221,Collapse,X-Ray / Gamma,SINGULARITY,,,407441,13h08m53.8s -13d58m58s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,59228428,13h35m10.8s +46d37m49s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,237113712,22h37m11.7s -24d48m14s,1.5,0.9999,0.331,Stable,V-Band (Green),MAGNESIUM,,,59632,02h19m03.1s +18d29m01s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,245318,07h54m06.3s -29d56m29s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,100803,16h17m16.5s +10d12m52s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,265268,15h09m37.6s +25d06m33s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,231706,20h28m02.0s -22d39m44s,0.62,0.9184,0.163,Ghost,Radio / CMB,DARK MATTER,,,257258,04h38m32.8s +09d48m11s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,315334,12h29m09.4s -09d47m33s,1.14,0.9999,0.251,Forming,K-Band (IR),PROTO-MATTER,,,409448,13h41m19.1s -12d43m46s,0.53,0.8341,0.169,Collapse,X-Ray / Gamma,SINGULARITY,
,60900669,08h41m18.1s +41d28m24s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,247147157,02h38m44.5s -22d35m17s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,60134,02h16m29.3s +15d13m05s,1.33,0.9022,0.359,Stable,V-Band (Green),MAGNESIUM,,,248662,13h09m18.0s -20d34m01s,0.36,0.6333,0.196,Collapse,X-Ray / Gamma,SINGULARITY,,,101472,17h30m12.1s +20d09m55s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,267943,17h14m12.6s +25d20m17s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,234716,22h52m46.4s -28d48m20s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,260769,07h55m45.7s +16d14m15s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,317007,10h41m35.3s -14d48m39s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,413462,12h41m09.3s -15d54m01s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,61736789,19h14m44.3s +47d14m12s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,253836120,07h24m44.2s -15d48m20s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,60635,02h09m59.9s +24d45m48s,0.83,0.8879,0.231,Collapse,X-Ray / Gamma,SINGULARITY,,,250334,13h32m10.2s -28d14m13s,2.05,0.9999,0.452,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,104147,20h53m43.7s +20d13m56s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,273294,23h14m35.3s +28d11m48s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,237726,23h10m17.2s -22d52m51s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,261940,07h01m46.4s +19d06m13s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,322023,16h34m51.0s -11d05m10s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,415468,12h54m19.6s -07d57m27s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,65917391,18h44m18.4s +44d25m29s,0.82,0.9999,0.18,Ghost,Radio / CMB,DARK MATTER,,,,267214047,04h32m43.8s -14d29m03s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,62642,01h22m13.7s +13d26m25s,0.64,0.8761,0.185,Collapse,X-Ray / Gamma,SINGULARITY,,,253679,12h19m16.2s -20d21m19s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,104816,21h10m52.8s +10d07m13s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,278645,23h01m11.1s +32d35m56s,1.54,0.9999,0.34,Stable,V-Band (Green),MAGNESIUM,,,239231,22h54m02.6s -20d22m33s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,264281,12h13m32.6s +20d10m51s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,330385,19h19m33.9s -19d19m21s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,417475,14h23m28.2s -17d52m45s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,67589632,14h58m37.8s +51d20m38s,1,0.9999,0.219,Forming,K-Band (IR),PROTO-MATTER,,,,270558528,19h23m22.0s -16d52m24s,1.69,0.9999,0.371,High-Tension,B/V (Violet),CALCIUM,,,63144,01h09m59.7s +25d03m32s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,257023,17h33m39.5s -30d15m54s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,106823,23h04m13.2s +19d22m19s,5.52,0.7479,2.171,Collapse,X-Ray / Gamma,SINGULARITY,,,281321,22h59m23.8s +34d27m40s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,243746,00h05m18.0s -29d01m17s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,266622,09h33m58.0s +14d40m12s,0.81,0.8418,0.253,Collapse,X-Ray / Gamma,SINGULARITY,,,332057,17h41m19.1s -10d40m05s,1.47,0.9999,0.323,Stable,V-Band (Green),MAGNESIUM,,,423495,21h18m33.5s -08d01m50s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,69261873,11h44m17.8s +40d15m10s,1.98,0.8099,0.663,Collapse,X-Ray / Gamma,SINGULARITY,,,,287280936,06h05m36.9s -25d49m40s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,64649,00h49m29.5s +23d08m01s,0.1,0.3691,0.159,Collapse,X-Ray / Gamma,SINGULARITY,,,260368,15h12m50.0s -20d57m22s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,108161,19h51m56.9s +18d36m55s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,285334,03h29m45.0s +35d51m55s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,245251,01h35m15.7s -27d43m31s,1.65,0.9999,0.364,High-Tension,B/V (Violet),CALCIUM,,,270134,11h33m31.4s +09d32m06s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,342090,01h45m35.7s -18d40m22s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,435535,00h54m16.7s -17d30m42s,0.95,0.9999,0.21,Forming,K-Band (IR),PROTO-MATTER,
,70097993,00h23m00.7s +41d45m22s,0.47,0.8261,0.153,Collapse,X-Ray / Gamma,SINGULARITY,,,,304003344,12h53m38.5s -17d35m55s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,65151,00h51m02.4s +12d23m20s,3.65,0.9999,0.804,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,262040,18h05m40.7s -29d25m18s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,108829,23h42m36.2s +12d03m32s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,286672,04h41m42.5s +35d51m25s,0.76,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,255786,06h45m41.4s -24d06m23s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,271304,12h14m48.8s +11d30m36s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,348779,03h56m28.0s -12d58m14s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,439548,05h28m13.5s -18d38m29s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,75950836,00h08m02.3s +51d42m34s,1.64,0.9999,0.361,High-Tension,B/V (Violet),CALCIUM,,,,307347826,07h14m28.7s -13d30m14s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,66154,01h10m27.9s +16d55m10s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,267057,18h39m51.2s -25d55m22s,1.57,0.9999,0.345,Stable,V-Band (Green),MAGNESIUM,,,109498,23h05m04.2s +17d40m23s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,288010,02h43m02.7s +35d35m41s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,260301,08h25m58.2s -24d49m09s,1.15,0.9999,0.253,Forming,K-Band (IR),PROTO-MATTER,,,273645,16h13m57.8s +18d15m11s,1.46,0.9999,0.322,Stable,V-Band (Green),MAGNESIUM,,,358813,10h58m07.6s -20d43m38s,1.23,0.7413,0.493,Collapse,X-Ray / Gamma,SINGULARITY,,,443562,05h18m32.6s -17d26m13s,0.97,0.8909,0.27,Collapse,X-Ray / Gamma,SINGULARITY,
,77623077,20h22m14.0s +44d24m19s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,310692308,23h45m54.8s -22d32m56s,0.61,0.8721,0.176,Collapse,X-Ray / Gamma,SINGULARITY,,,66656,01h28m54.2s +16d10m21s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,268729,20h20m47.5s -30d12m53s,0.68,0.6718,0.329,Collapse,X-Ray / Gamma,SINGULARITY,,,111505,01h21m52.0s +14d13m48s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,292023,07h58m10.1s +33d24m42s,0.83,0.9999,0.183,Forming,K-Band (IR),PROTO-MATTER,,,264816,13h49m42.2s -24d53m17s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,278328,18h03m05.2s +16d14m30s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,360485,08h36m46.2s -11d21m39s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,447575,04h41m25.0s -14d17m22s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,80967559,11h09m44.4s +52d43m24s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,317381271,04h06m17.2s -15d40m46s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,67659,02h22m57.6s +12d17m42s,0.82,0.8597,0.243,Collapse,X-Ray / Gamma,SINGULARITY,,,273746,22h40m41.0s -30d25m25s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,112843,22h32m51.9s +15d27m33s,0.68,0.8608,0.202,Collapse,X-Ray / Gamma,SINGULARITY,,,298712,12h07m06.4s +27d18m02s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,266321,15h02m09.3s -20d20m20s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,279498,15h31m23.6s +12d33m38s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,362157,08h34m03.7s -10d14m02s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,455602,13h37m53.6s -07d08m40s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,84312040,00h55m21.9s +46d37m10s,1.25,0.9999,0.276,Forming,K-Band (IR),PROTO-MATTER,,,,324070234,13h18m46.0s -24d21m20s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,69666,05h04m37.0s +25d47m47s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,275418,22h50m55.8s -25d46m29s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,113512,02h26m25.6s +14d08m13s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,300050,09h01m26.9s +26d10m03s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,269331,15h26m09.9s -23d59m25s,0.75,0.9999,0.165,Ghost,Radio / CMB,DARK MATTER,,,281839,21h27m53.4s +08d45m23s,0.51,0.7939,0.178,Collapse,X-Ray / Gamma,SINGULARITY,,,363829,12h24m25.0s -20d20m10s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,457609,14h03m05.9s -18d50m03s,0.69,0.7497,0.27,Collapse,X-Ray / Gamma,SINGULARITY,
