SECTION F,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,26084,07h52m48.5s -27d14m45s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,28151,05h27m05.0s +08d05m39s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30251,08h34m05.1s -58d51m42s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32134,03h13m50.4s +31d20m20s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27100,08h16m57.6s -12d57m50s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35401,09h27m55.3s +44d54m11s,1.57,0.9999,0.345,Stable,V-Band (Green),MAGNESIUM,,,31502,09h05m36.3s -42d54m09s,1.56,0.9999,0.343,Stable,V-Band (Green),MAGNESIUM,,,29234,04h31m00.9s +25d26m11s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40161,14h43m20.4s +53d46m10s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,26533,11h56m10.7s -44d26m19s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26100,05h45m48.7s -29d59m05s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,,28301,04h15m21.3s +08d46m21s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30301,09h04m30.9s -59d13m46s,0.58,0.9636,0.138,Ghost,Radio / CMB,DARK MATTER,,,32268,04h48m17.9s +31d13m03s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27201,08h07m02.5s -16d06m16s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35441,11h17m05.9s +44d55m21s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32003,09h14m15.2s -47d58m40s,1.95,0.9999,0.429,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,29334,03h45m02.5s +22d29m55s,1.8,0.9999,0.397,High-Tension,B/V (Violet),CALCIUM,,,40187,14h54m31.0s +54d00m19s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,26567,11h37m08.0s -45d38m25s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26167,06h20m18.4s -27d49m22s,4.26,0.9999,0.937,Fuel,UV / Lyman,HYDROGEN,,,,28351,05h32m55.6s +12d19m46s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30452,10h18m59.5s -60d27m01s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32468,04h15m49.5s +28d06m45s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27334,09h44m44.1s -12d33m07s,1.81,0.9999,0.399,High-Tension,B/V (Violet),CALCIUM,,,35562,10h12m44.7s +45d38m11s,1.17,0.8392,0.365,Collapse,X-Ray / Gamma,SINGULARITY,,,32054,11h49m27.7s -42d44m52s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29435,04h30m24.1s +25d25m11s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40214,14h13m36.3s +57d22m49s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,26584,13h28m47.4s -47d43m07s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26201,06h48m36.0s -31d08m20s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,28502,06h24m49.7s +11d58m21s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30502,08h33m18.7s -61d35m12s,2.28,0.9999,0.501,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,32669,03h33m11.0s +32d23m41s,0.96,0.9999,0.212,Forming,K-Band (IR),PROTO-MATTER,,,27368,10h07m44.0s -17d28m01s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35682,09h17m27.5s +43d46m19s,0.45,0.7987,0.155,Collapse,X-Ray / Gamma,SINGULARITY,,,32154,10h40m30.2s -47d29m52s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29468,05h00m21.3s +25d49m01s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40241,13h13m15.3s +53d24m57s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,26600,11h25m35.1s -46d24m03s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26268,07h46m33.8s -31d40m04s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,28652,05h31m54.4s +10d59m20s,0.67,0.7538,0.26,Collapse,X-Ray / Gamma,SINGULARITY,,,30652,08h11m49.3s -60d25m29s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33070,03h28m20.8s +32d35m02s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27635,08h11m19.8s -13d02m24s,0.74,0.9999,0.164,Ghost,Radio / CMB,DARK MATTER,,,35722,11h09m03.0s +46d25m39s,0.68,0.9803,0.155,Ghost,Radio / CMB,DARK MATTER,,,32455,11h21m33.2s -44d31m25s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29669,05h55m59.2s +25d06m56s,1.75,0.9999,0.385,High-Tension,B/V (Violet),CALCIUM,,,40268,12h43m02.8s +54d15m51s,3.43,0.9999,0.754,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,26634,11h24m09.2s -43d40m02s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,
,26318,05h37m36.1s -26d29m31s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,28702,04h29m04.6s +07d25m56s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31003,08h30m44.8s -60d03m35s,2.36,0.9163,0.619,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,33271,05h00m32.1s +27d49m32s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27669,08h00m44.5s -15d46m16s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35803,09h34m07.7s +46d49m23s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32505,09h27m04.7s -42d39m13s,0.23,0.5759,0.149,Collapse,X-Ray / Gamma,SINGULARITY,,,29702,05h28m44.7s +26d15m58s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40535,15h20m17.8s +57d19m28s,1.8,0.9999,0.396,High-Tension,B/V (Violet),CALCIUM,,,26667,11h33m52.4s -47d55m55s,1.06,0.9999,0.233,Forming,K-Band (IR),PROTO-MATTER,
,26334,08h15m45.4s -29d56m49s,1.23,0.9999,0.27,Forming,K-Band (IR),PROTO-MATTER,,,,28753,06h36m21.8s +12d20m22s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31054,09h49m47.9s -62d17m53s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33338,05h51m27.0s +27d02m60s,0.79,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,,,27803,09h17m02.2s -11d47m52s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35923,10h54m43.7s +42d36m38s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,32605,09h37m23.9s -42d46m35s,0.68,0.9999,0.149,Ghost,Radio / CMB,DARK MATTER,,,29736,04h57m03.7s +22d34m53s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40615,12h50m07.5s +57d08m33s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,26717,12h59m59.6s -44d18m60s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26351,05h36m56.8s -32d03m02s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29003,06h47m00.4s +09d23m57s,2.55,0.9999,0.561,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,31104,10h03m43.8s -56d55m57s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33538,04h14m25.0s +33d06m55s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28003,10h34m09.3s -18d20m09s,1.27,0.9999,0.279,Forming,K-Band (IR),PROTO-MATTER,,,36084,10h01m56.2s +41d57m27s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32656,11h14m16.3s -44d14m53s,0.6,0.7836,0.217,Collapse,X-Ray / Gamma,SINGULARITY,,,29903,03h59m15.7s +24d43m31s,0.73,0.9999,0.161,Ghost,Radio / CMB,DARK MATTER,,,40803,12h41m44.5s +51d30m44s,1.54,0.9999,0.339,Stable,V-Band (Green),MAGNESIUM,,,26734,12h21m38.7s -47d34m29s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26385,05h49m29.9s -26d04m49s,0.52,0.8518,0.158,Collapse,X-Ray / Gamma,SINGULARITY,,,,29154,05h32m23.7s +11d00m24s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31304,10h06m35.1s -62d54m08s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34007,05h19m00.6s +33d29m33s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28271,08h35m57.3s -11d14m24s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36164,11h50m36.1s +41d41m45s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32706,11h22m39.9s -48d15m59s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30003,05h35m22.3s +28d29m26s,1.23,0.9999,0.27,Forming,K-Band (IR),PROTO-MATTER,,,40829,12h59m15.7s +57d12m17s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,26751,12h31m54.2s -47d42m14s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26452,06h46m57.8s -28d09m11s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29254,06h56m38.0s +06d47m00s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31505,08h27m50.2s -57d40m16s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34341,06h11m56.2s +30d07m10s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28338,09h52m39.3s -13d34m21s,0.8,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,36204,11h34m34.8s +48d24m53s,2.09,0.9995,0.461,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,32957,11h22m32.7s -47d57m36s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30037,06h09m58.6s +21d41m32s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40910,15h41m04.3s +57d40m36s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,26768,12h52m56.6s -44d23m05s,0.57,0.6817,0.272,Collapse,X-Ray / Gamma,SINGULARITY,
