SECTION F,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,26468,06h54m15.6s -25d36m16s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29304,04h15m16.8s +12d29m06s,0.86,0.769,0.319,Collapse,X-Ray / Gamma,SINGULARITY,,,31906,08h54m15.6s -59d51m38s,0.72,0.8623,0.214,Collapse,X-Ray / Gamma,SINGULARITY,,,34676,03h40m15.9s +25d59m39s,6.01,0.9999,1.323,Fuel,UV / Lyman,HYDROGEN,,,28371,10h32m22.0s -14d35m17s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36324,12h22m41.2s +41d20m43s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33007,09h44m51.9s -45d06m22s,1.72,0.9999,0.379,High-Tension,B/V (Violet),CALCIUM,,,30070,06h36m28.2s +27d24m11s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41070,15h51m04.3s +58d32m26s,0.93,0.9999,0.205,Forming,K-Band (IR),PROTO-MATTER,,,26784,12h02m39.4s -42d41m29s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26502,06h20m05.7s -32d10m38s,1.54,0.9999,0.339,Stable,V-Band (Green),MAGNESIUM,,,,29505,07h05m08.0s +08d18m09s,0.95,0.9999,0.209,Forming,K-Band (IR),PROTO-MATTER,,,31957,11h34m20.5s -57d03m51s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34809,05h34m50.6s +31d06m22s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28605,09h23m30.1s -14d01m44s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36485,12h12m21.1s +41d16m12s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33057,12h42m13.6s -41d49m35s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30171,06h33m46.6s +27d19m40s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41151,13h00m31.1s +58d54m24s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,26818,11h37m19.0s -48d19m48s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26552,08h24m10.3s -25d41m10s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29605,06h56m14.9s +13d24m27s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32007,08h25m53.5s -63d58m09s,1.25,0.9999,0.274,Forming,K-Band (IR),PROTO-MATTER,,,35344,06h14m14.5s +34d28m23s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28672,08h15m04.3s -10d52m38s,1.11,0.9999,0.243,Forming,K-Band (IR),PROTO-MATTER,,,36605,12h29m53.9s +48d35m01s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33258,09h55m47.5s -49d01m55s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30271,04h51m11.1s +21d33m50s,0.64,0.8427,0.198,Collapse,X-Ray / Gamma,SINGULARITY,,,41177,12h39m00.0s +54d04m44s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,26834,13h46m27.6s -46d59m58s,1.2,0.9999,0.264,Forming,K-Band (IR),PROTO-MATTER,
,26569,05h32m34.6s -29d44m07s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,,29856,07h13m33.1s +12d26m36s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32207,11h43m32.3s -56d16m24s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35411,07h22m37.1s +33d09m12s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28773,08h25m45.2s -17d35m23s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36645,11h23m14.1s +41d30m20s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33408,12h09m53.9s -47d53m55s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30338,03h54m01.1s +24d25m43s,1.25,0.9999,0.276,Forming,K-Band (IR),PROTO-MATTER,,,41258,16h09m12.8s +53d28m09s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,26868,13h59m33.7s -42d54m27s,0.65,0.7738,0.239,Collapse,X-Ray / Gamma,SINGULARITY,
,26602,05h28m13.5s -30d01m03s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,30007,07h18m22.7s +13d45m08s,1.01,0.9999,0.223,Forming,K-Band (IR),PROTO-MATTER,,,32258,08h25m42.2s -60d54m50s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35545,06h29m48.6s +25d50m52s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28906,11h16m14.8s -10d21m07s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36846,09h39m16.2s +47d44m60s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33508,10h08m07.9s -47d50m11s,3.87,0.9999,0.852,Fuel,UV / Lyman,HYDROGEN,,,30438,04h15m31.3s +21d02m54s,1.22,0.8801,0.347,Collapse,X-Ray / Gamma,SINGULARITY,,,41284,15h37m18.6s +52d21m35s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,26885,11h15m46.7s -46d34m43s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26619,08h36m30.3s -25d37m36s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,30157,05h22m40.8s +14d05m55s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32508,08h26m15.6s -56d12m14s,1.25,0.9999,0.274,Forming,K-Band (IR),PROTO-MATTER,,,35813,05h20m56.0s +34d49m37s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29007,11h51m30.8s -17d15m51s,0.98,0.9291,0.25,Forming,K-Band (IR),PROTO-MATTER,,,36926,12h08m49.7s +47d19m11s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33809,13h11m03.4s -49d44m47s,1.94,0.8849,0.544,Collapse,X-Ray / Gamma,SINGULARITY,,,30538,06h16m00.2s +27d01m20s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41311,14h04m38.7s +59d26m47s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,26918,11h24m35.5s -45d52m47s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26635,05h39m33.9s -26d23m24s,0.6,0.8353,0.188,Collapse,X-Ray / Gamma,SINGULARITY,,,,30308,04h24m30.7s +13d18m39s,0.68,0.9421,0.169,Ghost,Radio / CMB,DARK MATTER,,,32609,09h55m10.9s -58d13m04s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35946,07h54m15.4s +28d01m39s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29207,08h06m24.4s -11d08m13s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36967,09h29m36.4s +42d55m17s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33860,09h31m00.7s -41d18m49s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30639,07h22m57.3s +28d31m05s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41338,12h46m17.7s +52d50m60s,1.55,0.9921,0.348,Stable,V-Band (Green),MAGNESIUM,,,26968,13h20m52.4s -47d49m58s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26669,06h05m31.3s -32d44m35s,3.45,0.9999,0.76,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,30358,07h47m29.9s +05d42m39s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,32809,11h56m18.4s -60d14m51s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,36013,07h41m18.6s +25d07m18s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29241,08h00m28.1s -16d49m51s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37007,10h42m25.5s +46d49m18s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33910,12h48m36.6s -44d56m52s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30672,07h12m26.9s +20d34m39s,1.26,0.9999,0.278,Forming,K-Band (IR),PROTO-MATTER,,,41391,14h08m24.0s +59d35m56s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27002,12h47m45.1s -44d30m06s,2.22,0.9999,0.489,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,26702,06h42m31.3s -24d55m11s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,30408,05h18m41.0s +12d11m44s,0.49,0.8015,0.167,Collapse,X-Ray / Gamma,SINGULARITY,,,32960,12h03m02.3s -62d42m31s,0.56,0.5673,0.383,Collapse,X-Ray / Gamma,SINGULARITY,,,36281,04h31m46.1s +34d52m58s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29308,08h48m38.0s -11d59m27s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37247,09h55m29.7s +45d00m23s,0.62,0.8305,0.198,Collapse,X-Ray / Gamma,SINGULARITY,,,34010,10h37m05.4s -40d04m26s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30739,06h07m10.4s +21d35m10s,1.51,0.7638,0.571,Collapse,X-Ray / Gamma,SINGULARITY,,,41472,15h25m21.3s +59d39m38s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,27052,13h31m51.2s -48d51m08s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26736,07h24m59.6s -32d34m08s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,30508,07h26m09.8s +05d45m46s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33010,08h30m15.1s -61d27m07s,0.9,0.9999,0.199,Forming,K-Band (IR),PROTO-MATTER,,,36348,06h00m24.3s +31d27m52s,0.59,0.9999,0.129,Ghost,Radio / CMB,DARK MATTER,,,29341,09h35m47.5s -19d46m47s,1.11,0.9999,0.244,Forming,K-Band (IR),PROTO-MATTER,,,37288,10h10m53.4s +45d19m45s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34311,13h23m22.7s -41d34m17s,0.65,0.9999,0.143,Ghost,Radio / CMB,DARK MATTER,,,30839,04h06m43.2s +22d27m23s,0.81,0.8392,0.254,Collapse,X-Ray / Gamma,SINGULARITY,,,41605,16h14m52.0s +54d33m11s,2.64,0.9999,0.582,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,27069,11h40m01.6s -47d43m21s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26803,08h39m27.0s -29d20m50s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,30609,08h03m47.6s +09d11m38s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,33211,12h06m35.7s -56d53m24s,1.1,0.6367,0.596,Collapse,X-Ray / Gamma,SINGULARITY,,,36682,04h43m50.3s +35d12m23s,2.28,0.9999,0.503,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,29408,11h20m40.4s -20d08m43s,0.79,0.8606,0.234,Collapse,X-Ray / Gamma,SINGULARITY,,,37368,11h52m49.7s +46d00m53s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34512,11h11m36.5s -49d46m25s,1.53,0.9999,0.337,Stable,V-Band (Green),MAGNESIUM,,,30940,04h05m11.3s +29d32m21s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41659,15h07m13.7s +50d34m02s,0.53,0.7137,0.227,Collapse,X-Ray / Gamma,SINGULARITY,,,27119,14h20m28.3s -46d22m26s,0.49,0.6729,0.238,Collapse,X-Ray / Gamma,SINGULARITY,
,26819,05h29m16.2s -33d24m44s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,30659,05h14m20.9s +07d00m47s,0.72,0.9851,0.164,Ghost,Radio / CMB,DARK MATTER,,,33261,08h33m59.2s -65d15m06s,0.68,0.8953,0.186,Collapse,X-Ray / Gamma,SINGULARITY,,,36883,06h43m38.4s +25d35m49s,1.57,0.8324,0.499,Collapse,X-Ray / Gamma,SINGULARITY,,,29575,11h31m11.2s -20d23m54s,0.86,0.8201,0.282,Collapse,X-Ray / Gamma,SINGULARITY,,,37408,09h22m34.3s +43d38m20s,4.98,0.9999,1.096,Fuel,UV / Lyman,HYDROGEN,,,34562,13h27m13.7s -39d46m20s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31007,05h25m19.6s +26d13m42s,1.14,0.9999,0.25,Forming,K-Band (IR),PROTO-MATTER,,,41686,13h19m43.1s +55d15m08s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27135,11h07m56.5s -49d24m23s,0.79,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,
,26836,08h58m59.5s -30d43m03s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,30860,08h19m24.2s +14d11m41s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33512,08h39m03.8s -62d12m42s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37017,08h43m32.0s +27d49m36s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29609,10h40m42.0s -09d05m58s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37729,10h55m38.3s +41d00m51s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34612,09h36m40.3s -46d55m41s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31040,06h14m58.6s +26d05m45s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41819,16h24m37.3s +49d44m58s,1.47,0.8923,0.405,Collapse,X-Ray / Gamma,SINGULARITY,,,27169,11h14m38.1s -41d55m43s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26853,05h20m05.3s -25d18m11s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,30910,05h09m50.5s +05d22m32s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33612,09h33m39.9s -54d32m56s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37151,06h02m43.7s +35d50m14s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29676,08h55m32.6s -11d44m13s,1.95,0.9999,0.429,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,37769,13h41m26.3s +49d16m06s,0.73,0.8779,0.208,Collapse,X-Ray / Gamma,SINGULARITY,,,34763,11h30m49.1s -49d25m49s,0.7,0.9999,0.154,Ghost,Radio / CMB,DARK MATTER,,,31174,07h50m08.1s +29d35m15s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41873,12h58m50.5s +58d26m52s,1.84,0.9999,0.405,High-Tension,B/V (Violet),CALCIUM,,,27186,14h11m10.4s -42d52m33s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26903,08h45m22.4s -33d34m15s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,31010,07h28m13.3s +12d28m08s,1.32,0.8729,0.381,Collapse,X-Ray / Gamma,SINGULARITY,,,33712,12h09m03.3s -59d36m57s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37217,04h36m55.1s +33d57m12s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29709,08h18m25.6s -15d39m03s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37809,11h26m30.6s +40d27m55s,1.95,0.9999,0.429,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,34913,14h03m41.4s -50d49m49s,0.41,0.6858,0.193,Collapse,X-Ray / Gamma,SINGULARITY,,,31207,07h27m56.5s +22d01m51s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,41900,12h35m20.6s +49d28m10s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27202,11h36m56.9s -47d56m03s,0.17,0.5176,0.139,Collapse,X-Ray / Gamma,SINGULARITY,
,26920,05h55m18.2s -28d55m40s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,31161,05h05m20.3s +09d56m36s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,33813,13h05m55.7s -65d46m50s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37284,04h24m55.3s +28d49m00s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29742,08h00m52.3s -17d08m41s,1.14,0.8767,0.326,Collapse,X-Ray / Gamma,SINGULARITY,,,38090,12h23m29.5s +50d49m13s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35013,11h51m12.7s -42d59m33s,1.14,0.9999,0.252,Forming,K-Band (IR),PROTO-MATTER,,,31241,06h49m31.8s +25d40m50s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42007,16h14m17.1s +58d15m44s,0.51,0.7312,0.212,Collapse,X-Ray / Gamma,SINGULARITY,,,27236,12h11m57.0s -44d47m42s,0.67,0.9258,0.173,Ghost,Radio / CMB,DARK MATTER,
,27003,06h43m34.1s -26d57m11s,1.63,0.9999,0.358,Stable,V-Band (Green),MAGNESIUM,,,,31261,07h27m06.6s +15d11m32s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34013,08h53m41.5s -54d35m16s,1.21,0.9999,0.266,Forming,K-Band (IR),PROTO-MATTER,,,37351,05h36m36.5s +24d33m25s,1.1,0.9999,0.243,Forming,K-Band (IR),PROTO-MATTER,,,29843,09h20m14.6s -08d50m36s,0.74,0.8192,0.243,Collapse,X-Ray / Gamma,SINGULARITY,,,38211,14h03m16.7s +39d00m33s,1.19,0.9999,0.261,Forming,K-Band (IR),PROTO-MATTER,,,35064,13h30m06.1s -50d40m40s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31308,05h10m36.6s +21d03m51s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42140,16h29m46.9s +49d16m14s,0.83,0.9999,0.182,Forming,K-Band (IR),PROTO-MATTER,,,27269,12h54m27.6s -44d14m12s,0.68,0.9681,0.159,Ghost,Radio / CMB,DARK MATTER,
,27104,05h12m58.6s -24d36m39s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,31411,05h01m01.3s +15d03m22s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34064,13h21m15.0s -61d29m19s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37418,07h29m26.0s +24d39m30s,0.74,0.9999,0.163,Ghost,Radio / CMB,DARK MATTER,,,29943,12h09m43.2s -14d55m02s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38251,10h53m53.5s +50d59m25s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35264,12h12m40.6s -38d44m11s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31341,04h26m27.2s +30d15m56s,1.19,0.9999,0.261,Forming,K-Band (IR),PROTO-MATTER,,,42194,15h56m16.9s +55d44m58s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27336,14h15m03.5s -41d15m05s,1.77,0.9999,0.39,High-Tension,B/V (Violet),CALCIUM,
,27171,05h43m39.7s -23d48m20s,2.61,0.9999,0.575,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,31512,07h24m37.1s +11d02m60s,1.56,0.9999,0.344,Stable,V-Band (Green),MAGNESIUM,,,34264,09h03m25.9s -60d36m36s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37485,08h54m24.3s +29d06m42s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30010,13h00m36.0s -09d43m12s,1.57,0.9999,0.346,Stable,V-Band (Green),MAGNESIUM,,,38411,09h44m09.1s +50d41m19s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35365,09h54m29.5s -46d00m43s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31375,03h56m08.2s +19d30m52s,1.19,0.9117,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42274,13h06m38.4s +54d54m15s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27353,11h15m50.2s -45d59m31s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,27204,06h25m57.4s -32d54m26s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,31562,05h02m50.8s +13d29m52s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,34415,11h54m19.7s -57d20m00s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37552,08h59m02.3s +34d21m44s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30110,11h27m15.1s -19d46m31s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,38532,11h51m48.0s +39d51m09s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35515,12h35m04.7s -42d39m54s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31408,03h45m00.3s +29d31m41s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,42408,13h21m00.7s +61d15m54s,1.16,0.9999,0.255,Forming,K-Band (IR),PROTO-MATTER,,,27386,11h01m05.2s -47d07m55s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,27237,07h18m45.2s -27d18m29s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,31612,09h00m27.3s +04d23m20s,0.75,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,34515,09h14m52.8s -66d18m10s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37819,04h44m59.4s +23d45m36s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30211,08h38m04.8s -18d50m42s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38612,12h53m07.9s +40d21m27s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,35565,13h26m31.1s -41d49m20s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31542,06h07m07.9s +20d21m26s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,42488,15h52m06.8s +61d36m02s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27403,14h47m46.3s -41d35m22s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,27321,05h29m17.5s -25d07m49s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,31662,04h57m04.8s +13d43m28s,0.72,0.9999,0.158,Ghost,Radio / CMB,DARK MATTER,,,34666,12h17m29.4s -64d43m42s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,38020,09h27m33.0s +35d34m33s,1.05,0.9999,0.232,Forming,K-Band (IR),PROTO-MATTER,,,30278,08h00m46.1s -21d54m40s,0.95,0.8816,0.268,Collapse,X-Ray / Gamma,SINGULARITY,,,38692,10h20m26.0s +40d58m14s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35866,10h14m37.3s -48d34m22s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31575,07h01m49.7s +30d46m07s,0.6,0.9707,0.141,Ghost,Radio / CMB,DARK MATTER,,,42515,17h28m20.6s +52d12m02s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,27503,13h27m59.0s -43d27m57s,6.22,0.9999,1.369,Fuel,UV / Lyman,HYDROGEN,
