SECTION D,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,2411890,21h36m23.6s +67d41m47s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,3807023,15h03m54.9s -58d06m50s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2330268,01h14m44.7s +00d25m15s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4234114,07h53m53.8s -03d33m27s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,381201,11h33m24.9s +26d05m59s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,306890,12h06m18.6s +39d16m42s,2.05,0.6586,1.042,Collapse,X-Ray / Gamma,SINGULARITY,,,3617057,22h34m30.9s +03d32m35s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3717391,12h05m59.0s -31d06m57s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4301003,16h01m33.1s +19d22m38s,1.03,0.9999,0.226,Forming,K-Band (IR),PROTO-MATTER,,,4780936,03h48m30.2s -11d24m23s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,
,2462057,22h33m00.6s +67d56m42s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,3887291,07h15m24.2s -58d15m58s,3.17,0.8404,0.988,Collapse,X-Ray / Gamma,SINGULARITY,,,2343645,08h39m07.9s +00d54m34s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4267559,23h44m14.8s -01d27m43s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,411301,03h25m19.6s +29d23m05s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,323612,20h23m51.4s +39d57m38s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3663880,21h21m25.5s +05d09m43s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3739130,22h57m53.2s -28d13m25s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4451505,17h01m12.1s +15d56m41s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4901338,16h58m24.4s -11d25m26s,1.25,0.9999,0.274,Forming,K-Band (IR),PROTO-MATTER,
,2478779,07h56m34.0s +66d55m36s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,3940803,08h04m36.3s -54d24m24s,0.74,0.7643,0.279,Collapse,X-Ray / Gamma,SINGULARITY,,,2357023,16h27m08.8s -03d35m52s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4334448,08h43m48.4s +00d31m28s,1.68,0.9999,0.371,High-Tension,B/V (Violet),CALCIUM,,,421334,07h43m21.7s +25d55m41s,1.65,0.9999,0.364,High-Tension,B/V (Violet),CALCIUM,,,382140,01h42m12.8s +38d53m01s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3687291,10h25m20.4s +05d10m10s,0.78,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,,,3782609,20h37m32.7s -31d40m57s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4602007,22h04m13.8s +14d25m32s,0.6,0.8715,0.175,Collapse,X-Ray / Gamma,SINGULARITY,,,5182274,12h15m27.7s -11d29m02s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,2512224,00h10m00.9s +64d30m31s,1.94,0.88,0.552,Collapse,X-Ray / Gamma,SINGULARITY,,,,3967559,23h26m54.8s -58d25m08s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2383779,05h26m51.7s +00d52m09s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4434783,11h56m33.7s -03d46m23s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,431368,11h48m00.8s +26d31m32s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,407224,16h02m40.0s +44d17m26s,1.04,0.9999,0.229,Forming,K-Band (IR),PROTO-MATTER,,,3710702,22h23m47.7s +04d33m13s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3804348,07h25m19.0s -33d01m21s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4692308,17h15m42.8s +15d51m37s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5302676,01h52m13.8s -11d31m04s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,2545669,18h25m50.4s +63d41m01s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,4047826,15h38m26.1s -58d34m19s,1.37,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2423913,00h47m03.3s +00d49m38s,0.76,0.9999,0.168,Ghost,Radio / CMB,DARK MATTER,,,4501672,20h22m32.1s +00d54m40s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,471502,09h41m21.9s +26d25m24s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,423946,22h16m17.0s +43d24m15s,1.32,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3734114,08h50m50.6s +03d27m22s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3826087,18h11m46.6s -30d26m17s,0.61,0.6442,0.321,Collapse,X-Ray / Gamma,SINGULARITY,,,4722408,08h56m32.7s +14d13m20s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,5423077,12h30m51.5s -11d33m23s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,2579114,08h55m03.3s +65d27m03s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,4074582,03h39m18.1s -54d55m42s,0.83,0.8559,0.25,Collapse,X-Ray / Gamma,SINGULARITY,,,2437291,08h40m36.9s -03d53m27s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4602007,00h16m33.1s -04d12m19s,0.6,0.8715,0.175,Collapse,X-Ray / Gamma,SINGULARITY,,,481535,12h30m00.4s +30d17m38s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,432308,02h07m29.3s +40d18m19s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3780936,08h04m49.3s +00d59m44s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3847826,04h57m00.1s -27d42m06s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4782609,16h58m22.3s +20d10m55s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5503344,04h35m52.9s -11d35m06s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,2595836,18h44m40.1s +66d52m01s,0.8,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,,4101338,16h18m26.5s -54d15m50s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2517559,00h54m17.1s -04d11m09s,2.27,0.9999,0.501,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,4668896,08h25m41.3s -01d16m28s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,521669,11h09m40.5s +30d28m06s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,490836,07h18m57.2s +38d02m01s,1.56,0.9999,0.344,Stable,V-Band (Green),MAGNESIUM,,,3804348,21h11m10.6s +00d17m54s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3934783,23h48m04.2s -29d37m15s,1.66,0.9999,0.364,High-Tension,B/V (Violet),CALCIUM,,,4842809,22h38m10.4s +14d01m02s,0.54,0.6493,0.282,Collapse,X-Ray / Gamma,SINGULARITY,,,5583612,20h40m51.4s -11d36m56s,0.44,0.7047,0.195,Collapse,X-Ray / Gamma,SINGULARITY,
,2629281,10h24m15.0s +68d57m27s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,4154849,19h44m45.9s -54d50m36s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,2530936,07h58m07.9s +00d56m28s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4702341,03h00m25.3s +01d13m01s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,531702,13h58m45.4s +29d41m20s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,557726,17h48m21.2s +43d04m02s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3827759,08h51m00.9s +00d16m13s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3956522,10h29m12.1s -27d20m51s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4872910,12h35m26.3s +18d29m19s,0.57,0.856,0.17,Collapse,X-Ray / Gamma,SINGULARITY,,,5623746,18h36m20.5s -11d37m54s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,2679448,12h27m03.0s +67d01m40s,1.16,0.9999,0.254,Forming,K-Band (IR),PROTO-MATTER,,,,4235117,11h50m05.0s -54d45m20s,1.23,0.9999,0.271,Forming,K-Band (IR),PROTO-MATTER,,,2557692,19h03m30.4s -04d20m03s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4802676,03h15m54.2s -04d30m48s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,551769,01h56m52.4s +26d13m26s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,574448,04h13m18.1s +44d44m11s,1,0.9999,0.22,Forming,K-Band (IR),PROTO-MATTER,,,3874582,06h03m15.7s +02d09m53s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3978261,21h10m04.3s -29d37m05s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4903010,02h41m51.9s +20d23m17s,1.22,0.9999,0.268,Forming,K-Band (IR),PROTO-MATTER,,,5704013,10h47m29.0s -11d39m57s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,2796505,22h40m06.2s +67d05m46s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,4315385,03h55m15.5s -54d39m54s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2571070,01h22m36.4s +01d02m30s,0.71,0.9999,0.156,Ghost,Radio / CMB,DARK MATTER,,,4869565,14h05m53.1s -01d09m25s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,581870,16h04m48.7s +25d13m46s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,582809,07h44m21.8s +37d44m01s,1.08,0.7837,0.388,Collapse,X-Ray / Gamma,SINGULARITY,,,3921405,07h55m20.2s +04d55m31s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4021739,18h31m54.4s -32d38m16s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4963211,09h10m21.3s +13d48m37s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5744147,04h50m40.8s -11d41m00s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
