SECTION D,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,2829950,16h26m48.0s +69d33m37s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,4422408,08h47m53.8s -54d00m41s,0.72,0.9999,0.159,Ghost,Radio / CMB,DARK MATTER,,,2584448,09h03m52.5s +00d38m38s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4969900,14h16m08.3s -02d02m59s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,611970,06h03m28.0s +29d52m57s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,591171,10h27m12.0s +45d35m40s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3944816,19h13m59.9s +05d43m18s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4043478,05h13m19.4s -28d43m50s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5143813,03h03m53.0s +20d48m18s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5824415,20h55m32.2s -11d43m14s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,2846672,00h52m22.5s +69d35m31s,1.13,0.9999,0.248,Forming,K-Band (IR),PROTO-MATTER,,,,4475920,12h05m11.5s -54d28m32s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2611204,00h11m22.1s +01d08m29s,0.4,0.6765,0.194,Collapse,X-Ray / Gamma,SINGULARITY,,,5003344,09h12m33.7s -04d49m33s,1.55,0.9999,0.341,Stable,V-Band (Green),MAGNESIUM,,,622003,11h49m24.2s +25d03m08s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,624615,04h53m21.4s +44d02m45s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3968227,05h19m58.4s +05d46m34s,1.25,0.9999,0.275,Forming,K-Band (IR),PROTO-MATTER,,,4108696,13h22m12.4s -33d42m36s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5173913,17h45m25.1s +15d46m01s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5944816,11h21m07.2s -11d46m49s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,2863395,06h54m20.0s +68d41m53s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,4502676,00h55m39.2s -53d57m20s,1.75,0.9999,0.385,High-Tension,B/V (Violet),CALCIUM,,,2624582,05h49m47.6s +00d35m39s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5070234,17h10m37.2s -01d01m25s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,712304,10h28m33.8s +25d50m52s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,632977,09h35m18.0s +39d57m10s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4108696,03h10m33.0s +00d20m26s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4152174,10h53m58.0s -27d50m58s,1.9,0.9999,0.418,High-Tension,B/V (Violet),CALCIUM,,,5204013,09h23m26.8s +13d23m31s,1.04,0.9999,0.229,Forming,K-Band (IR),PROTO-MATTER,,,6105351,19h43m40.6s -11d52m03s,1.68,0.779,0.608,Collapse,X-Ray / Gamma,SINGULARITY,
,2880117,16h23m37.6s +67d05m50s,0.4,0.7625,0.152,Collapse,X-Ray / Gamma,SINGULARITY,,,,4663211,09h11m39.4s -53d51m07s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2651338,17h25m29.8s +01d14m23s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5304348,13h35m48.0s +02d09m33s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,722338,12h30m57.1s +31d21m30s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,658060,18h35m25.2s +39d39m43s,0.88,0.9999,0.194,Forming,K-Band (IR),PROTO-MATTER,,,4132107,16h31m59.5s +00d26m06s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4195652,08h31m52.6s -31d27m29s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5234114,01h38m52.8s +18d32m23s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6466555,05h33m37.2s -12d05m41s,1.26,0.9427,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,2913562,08h50m35.9s +63d32m44s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,4770234,17h21m38.0s -59d56m55s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2731605,09h28m32.6s +01d25m58s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5337793,09h11m35.2s +01d27m47s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,772505,14h14m01.5s +30d14m52s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,683144,10h22m34.3s +45d52m25s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4155518,05h14m32.0s +01d53m24s,0.77,0.6662,0.382,Collapse,X-Ray / Gamma,SINGULARITY,,,4239130,06h16m43.4s -31d12m38s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5294314,09h18m55.0s +15d45m34s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6506689,04h40m16.3s -12d07m22s,1.54,0.9999,0.338,Stable,V-Band (Green),MAGNESIUM,
,2930284,16h25m34.8s +62d34m05s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,4823746,17h28m20.2s -53d45m37s,0.81,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,2744983,17h22m00.0s +00d26m09s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5404682,18h10m14.9s -05d27m39s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,822672,16h40m07.9s +24d08m56s,1.63,0.9999,0.358,Stable,V-Band (Green),MAGNESIUM,,,708227,20h31m10.1s +37d08m22s,0.41,0.7842,0.148,Collapse,X-Ray / Gamma,SINGULARITY,,,4178930,15h47m54.2s +03d39m10s,0.63,0.8163,0.209,Collapse,X-Ray / Gamma,SINGULARITY,,,4282609,04h08m46.0s -27d50m25s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5444816,09h35m57.1s +12d58m07s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6546823,21h38m21.2s -12d09m04s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,3013896,13h07m44.4s +69d08m25s,1.54,0.9999,0.338,Stable,V-Band (Green),MAGNESIUM,,,,4877258,20h27m45.3s -53d57m15s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2785117,14h03m26.7s +00d22m48s,1.62,0.9999,0.356,Stable,V-Band (Green),MAGNESIUM,,,5538462,10h11m31.7s +01d36m53s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,842739,04h12m08.2s +31d54m18s,0.36,0.7202,0.153,Collapse,X-Ray / Gamma,SINGULARITY,,,724950,04h22m00.7s +38d40m39s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4202341,01h51m31.1s +05d15m25s,2.44,0.9999,0.536,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,4326087,02h07m42.2s -34d06m55s,0.53,0.857,0.157,Collapse,X-Ray / Gamma,SINGULARITY,,,5505017,18h14m48.2s +21d26m24s,1.55,0.9999,0.341,Stable,V-Band (Green),MAGNESIUM,,,6707358,05h47m51.2s -12d16m12s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,
,3047341,03h06m19.7s +70d08m27s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,4957525,12h31m54.7s -53d50m31s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2798495,19h09m18.1s -05d13m53s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5571906,06h21m11.2s -02d31m08s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,892906,04h31m02.9s +30d30m07s,1.17,0.8422,0.362,Collapse,X-Ray / Gamma,SINGULARITY,,,741672,15h51m39.6s +41d03m49s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4225753,13h51m13.8s +06d15m57s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4369565,00h12m40.2s -26d28m35s,1.07,0.9999,0.236,Forming,K-Band (IR),PROTO-MATTER,,,5625418,03h51m52.9s +21d39m13s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6747492,05h14m10.8s -12d18m04s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,3114231,14h11m31.6s +63d01m59s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,4984281,01h45m42.7s -53d40m50s,1.19,0.9359,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2852007,00h50m08.0s +01d42m50s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5672241,07h09m21.5s +00d31m54s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,923007,20h27m23.6s +32d16m28s,1.13,0.9999,0.249,Forming,K-Band (IR),PROTO-MATTER,,,758395,23h08m17.6s +43d40m16s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4272575,15h47m49.4s +05d34m19s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4434783,09h28m16.7s -33d51m09s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5715719,02h09m39.6s +18d31m05s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6827759,21h25m26.8s -12d21m53s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,3181120,00h55m21.4s +65d17m25s,1.2,0.9999,0.265,Forming,K-Band (IR),PROTO-MATTER,,,,5037793,04h35m57.6s -53d43m38s,3.3,0.9999,0.726,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,2878763,11h10m54.8s -05d31m59s,0.73,0.8959,0.201,Collapse,X-Ray / Gamma,SINGULARITY,,,5739130,17h59m25.5s +01d45m11s,0.63,0.7535,0.244,Collapse,X-Ray / Gamma,SINGULARITY,,,953107,11h17m33.0s +25d20m22s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,766756,01h31m59.8s +38d11m27s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4342809,00h36m36.5s +00d19m58s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4478261,07h41m22.2s -26d09m18s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5745819,18h37m33.7s +21d52m05s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6908027,13h36m41.2s -12d25m49s,1.48,0.9999,0.326,Stable,V-Band (Green),MAGNESIUM,
,3248010,09h58m51.3s +70d40m39s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,5064548,17h54m39.8s -53d38m43s,2.62,0.8844,0.738,Collapse,X-Ray / Gamma,SINGULARITY,,,2918896,10h05m16.5s -05d41m05s,0.85,0.7307,0.351,Collapse,X-Ray / Gamma,SINGULARITY,,,6006689,04h22m23.6s -06d25m47s,2.07,0.9999,0.455,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,1023341,20h07m44.2s +23d13m12s,2.88,0.9999,0.633,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,791839,15h40m54.2s +46d48m17s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4366221,14h15m15.1s +00d47m21s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4586957,15h07m33.0s -26d09m56s,1.12,0.9999,0.246,Forming,K-Band (IR),PROTO-MATTER,,,5775920,10h22m51.5s +15d47m39s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6948161,06h02m15.4s -12d27m50s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,3264732,15h19m47.0s +69d21m05s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,5091304,10h06m24.2s -60d33m17s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2959030,03h12m22.9s -05d50m11s,1.48,0.8556,0.445,Collapse,X-Ray / Gamma,SINGULARITY,,,6040134,23h35m44.9s -05d04m38s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1033375,03h34m12.3s +25d11m07s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,808562,01h31m17.6s +46d24m04s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4436455,22h34m36.4s +01d34m26s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4630435,13h09m48.2s -34d56m41s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5806020,01h00m26.2s +12d19m36s,1.24,0.9999,0.273,Forming,K-Band (IR),PROTO-MATTER,,,7028428,22h07m07.2s -12d31m58s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,3281455,00h44m37.8s +67d08m26s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,5171572,02h17m24.8s -60d42m18s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3052676,01h42m30.7s +02d09m27s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6140468,02h44m17.9s +01d59m20s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1063475,17h19m07.1s +23d01m53s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,825284,06h32m25.1s +44d38m01s,1.13,0.9999,0.248,Forming,K-Band (IR),PROTO-MATTER,,,4506689,12h39m01.1s +06d47m29s,0.76,0.9999,0.168,Ghost,Radio / CMB,DARK MATTER,,,4782609,17h14m24.7s -25d51m05s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5836120,14h43m49.0s +18d29m47s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,7068562,21h59m04.1s -12d34m04s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,3348344,12h05m23.5s +61d29m28s,1.1,0.9699,0.258,Forming,K-Band (IR),PROTO-MATTER,,,,5225084,02h13m06.4s -53d35m01s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3066054,10h02m12.5s +00d03m15s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6240803,02h01m53.1s -05d10m52s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1073508,19h47m33.4s +25d06m40s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,850368,21h12m31.6s +42d33m46s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4530100,22h18m23.8s +07d00m34s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4804348,03h57m51.4s -27d17m45s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5926421,09h59m47.2s +12d06m41s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,7108696,14h12m01.2s -12d36m12s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,3381789,01h33m47.7s +65d18m03s,1.66,0.8141,0.55,Collapse,X-Ray / Gamma,SINGULARITY,,,,5251839,18h28m20.2s -60d51m17s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3146321,02h13m05.0s +00d11m30s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6307692,13h34m19.4s +03d46m29s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1113642,19h50m59.8s +25d02m20s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,858729,02h48m14.3s +39d01m46s,0.65,0.9345,0.164,Ghost,Radio / CMB,DARK MATTER,,,4670569,19h36m53.8s -01d34m40s,0.99,0.9999,0.218,Forming,K-Band (IR),PROTO-MATTER,,,4847826,01h19m04.6s -35d08m17s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5956522,02h23m10.5s +18d28m05s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7188963,06h16m57.9s -12d40m34s,0.54,0.8742,0.156,Collapse,X-Ray / Gamma,SINGULARITY,
,3448679,11h18m30.8s +71d12m02s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,5305351,18h22m36.0s -53d33m27s,1.44,0.7557,0.553,Collapse,X-Ray / Gamma,SINGULARITY,,,3186455,22h31m48.5s +00d15m46s,2.82,0.9999,0.621,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,6341137,03h22m26.3s +02d05m08s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1123676,20h35m26.8s +33d12m56s,0.85,0.9999,0.187,Forming,K-Band (IR),PROTO-MATTER,,,908896,02h45m06.9s +36d06m50s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4904682,17h02m22.0s +00d10m52s,1.68,0.9999,0.369,High-Tension,B/V (Violet),CALCIUM,,,4869565,11h57m14.4s -29d45m16s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5986622,18h58m50.7s +22d17m54s,0.73,0.873,0.212,Collapse,X-Ray / Gamma,SINGULARITY,,,7229097,06h21m17.1s -12d42m48s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,3515569,22h41m14.1s +61d57m02s,0.96,0.9999,0.212,Forming,K-Band (IR),PROTO-MATTER,,,,5412375,02h49m54.1s -61d09m08s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3239967,03h04m34.8s -06d54m20s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6608696,21h07m13.3s -07d24m10s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1143742,09h32m54.1s +22d39m04s,0.41,0.68,0.196,Collapse,X-Ray / Gamma,SINGULARITY,,,925619,11h58m21.8s +38d07m02s,0.62,0.9999,0.137,Ghost,Radio / CMB,DARK MATTER,,,4928094,07h10m31.5s -01d47m57s,1.21,0.9286,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4891304,22h34m05.6s -25d14m11s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6076923,15h19m02.9s +18d25m60s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7269231,22h21m57.5s -12d45m04s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,3549013,13h45m14.3s +60d58m31s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,5465886,02h42m08.1s -53d30m52s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3320234,19h19m39.5s -07d12m47s,1.14,0.9999,0.252,Forming,K-Band (IR),PROTO-MATTER,,,6642140,10h20m32.3s -05d20m41s,1.16,0.8159,0.382,Collapse,X-Ray / Gamma,SINGULARITY,,,1163809,21h12m02.4s +33d24m23s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,933980,14h14m58.7s +43d29m05s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5115385,01h33m19.7s +07d17m37s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4913043,09h09m54.6s -28d23m25s,0.67,0.9999,0.147,Ghost,Radio / CMB,DARK MATTER,,,6107023,04h45m38.7s +22d30m50s,0.9,0.9999,0.198,Forming,K-Band (IR),PROTO-MATTER,,,7309365,22h32m19.2s -12d47m21s,1.88,0.9999,0.413,High-Tension,B/V (Violet),CALCIUM,
,3565736,22h06m04.3s +62d39m34s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,5572910,11h11m02.8s -61d26m49s,1.23,0.9999,0.27,Forming,K-Band (IR),PROTO-MATTER,,,3333612,02h02m23.5s +02d43m34s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6675585,04h45m40.4s +00d35m00s,2.29,0.9999,0.504,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,1203943,12h36m56.0s +33d35m54s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,950702,20h21m23.8s +40d16m02s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5138796,14h49m47.7s +05d08m07s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4978261,16h54m15.3s -28d17m03s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,6137124,18h52m01.2s +15d53m19s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7389632,14h43m17.9s -12d52m01s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,3682793,09h00m06.9s +67d03m17s,1.11,0.9999,0.245,Forming,K-Band (IR),PROTO-MATTER,,,,5679933,13h05m04.1s -52d43m11s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3400502,11h34m48.7s -07d31m16s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6709030,22h03m22.7s +04d25m19s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1224010,01h47m04.0s +22d16m03s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,959064,01h58m28.2s +44d19m55s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5162207,04h59m38.0s +02d19m53s,0.6,0.9999,0.131,Ghost,Radio / CMB,DARK MATTER,,,5000000,03h29m06.6s -24d59m43s,0.81,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,6197324,02h35m32.4s +18d23m31s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7429766,06h32m06.5s -12d54m24s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,3749682,20h46m10.8s +60d28m29s,0.69,0.8813,0.195,Collapse,X-Ray / Gamma,SINGULARITY,,,,5840468,21h11m38.5s -52d26m39s,2.26,0.9999,0.498,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,3413880,18h13m37.6s +02d52m36s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6775920,08h58m47.1s -03d51m22s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,1274177,04h24m55.4s +24d46m10s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,967425,08h18m23.8s +37d17m14s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5185619,16h25m33.4s +00d22m44s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5021739,14h04m34.0s -29d45m50s,1.69,0.9999,0.371,High-Tension,B/V (Violet),CALCIUM,,,6287625,02h13m26.0s +11d27m53s,2.24,0.8577,0.67,Collapse,X-Ray / Gamma,SINGULARITY,,,7469900,06h54m13.0s -12d56m48s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
