SECTION A,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,26000,06h05m34.0s -26d50m10s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,21h30m14.1s +11d58m33s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h27m59.8s +37d28m04s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,08h09m29.6s +22d10m40s,1.32,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,08h21m39.9s -43d50m51s,0.67,0.9999,0.148,Ghost,Radio / CMB,DARK MATTER,,,800,07h13m27.7s +18d46m11s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h53m28.2s +06d00m06s,0.38,0.6683,0.187,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,01h21m47.4s +33d00m11s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,23h13m36.6s -37d46m51s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,10h18m47.9s +08d44m47s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,06h03m42.0s -26d41m28s,1.91,0.8982,0.521,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,21h34m04.9s +11d56m10s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h29m29.5s +37d33m45s,2.1,0.9999,0.462,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,6500,08h08m54.7s +22d10m52s,1.32,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,08h21m03.6s -43d49m13s,1.57,0.9999,0.345,Stable,V-Band (Green),MAGNESIUM,,,800,07h13m53.8s +18d48m32s,0.68,0.9999,0.151,Ghost,Radio / CMB,DARK MATTER,,,18000,03h53m12.4s +06d01m19s,0.38,0.6683,0.187,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,01h26m42.4s +32d54m25s,1.76,0.9999,0.387,High-Tension,B/V (Violet),CALCIUM,,,11000,23h17m29.9s -37d32m44s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,10h19m47.7s +08d41m47s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,06h03m04.6s -26d38m34s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,21h35m02.7s +11d55m34s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h34m43.1s +37d53m39s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,08h06m00.3s +22d11m52s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,08h19m50.8s -43d45m57s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h14m06.8s +18d49m42s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h51m22.2s +06d09m55s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,01h28m40.4s +32d52m06s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,11000,23h18m16.5s -37d29m55s,2.81,0.9999,0.617,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,28000,10h24m46.9s +08d26m45s,1.17,0.9999,0.257,Forming,K-Band (IR),PROTO-MATTER,
,26000,06h02m27.3s -26d35m39s,1.04,0.9999,0.229,Forming,K-Band (IR),PROTO-MATTER,,,,16000,21h36m00.4s +11d54m59s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h35m27.9s +37d56m30s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,08h05m25.4s +22d12m04s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,08h19m14.4s -43d44m19s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h14m59.0s +18d54m25s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h51m06.5s +06d11m08s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,01h29m39.4s +32d50m57s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,11000,23h19m03.2s -37d27m05s,0.89,0.8848,0.249,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,10h34m45.1s +07d56m41s,1,0.9999,0.219,Forming,K-Band (IR),PROTO-MATTER,
,26000,06h01m49.9s -26d32m45s,1.51,0.7678,0.563,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,21h36m58.1s +11d54m23s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h36m12.7s +37d59m20s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,08h03m05.9s +22d12m53s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,08h18m01.7s -43d41m03s,1.77,0.6991,0.796,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h15m25.0s +18d56m46s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h50m50.8s +06d12m22s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,01h30m38.3s +32d49m47s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,23h21m23.2s -37d18m37s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,10h38m44.4s +07d44m39s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,06h01m12.6s -26d29m51s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,21h37m55.8s +11d53m47s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h36m57.5s +38d02m11s,0.56,0.6293,0.312,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h57m17.1s +22d14m53s,1.88,0.9999,0.414,High-Tension,B/V (Violet),CALCIUM,,,930,08h16m48.9s -43d37m47s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h16m04.0s +19d00m18s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h49m00.6s +06d20m58s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,01h36m32.3s +32d42m51s,1.17,0.9999,0.257,Forming,K-Band (IR),PROTO-MATTER,,,11000,23h22m56.5s -37d12m59s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,10h39m44.3s +07d41m39s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h57m28.2s -26d12m26s,0.67,0.7721,0.248,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,21h38m53.5s +11d53m12s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h37m42.3s +38d05m01s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h52m38.2s +22d16m30s,0.69,0.9999,0.152,Ghost,Radio / CMB,DARK MATTER,,,930,08h14m59.7s -43d32m53s,2.5,0.9999,0.55,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,800,07h16m30.0s +19d02m39s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h48m44.9s +06d22m11s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,01h39m29.3s +32d39m23s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,23h25m16.5s -37d04m31s,0.65,0.8238,0.211,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,10h40m44.1s +07d38m38s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h56m13.4s -26d06m38s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,21h45m37.5s +11d49m02s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h38m27.1s +38d07m52s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h51m28.5s +22d16m54s,5.2,0.9999,1.145,Fuel,UV / Lyman,HYDROGEN,,,930,08h13m46.9s -43d29m37s,1.42,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h17m34.9s +19d08m32s,2.49,0.9999,0.548,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,18000,03h48m29.1s +06d23m25s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,01h42m26.3s +32d35m55s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,23h26m03.2s -37d01m41s,1.82,0.9999,0.401,High-Tension,B/V (Violet),CALCIUM,,,28000,10h44m43.4s +07d26m36s,1.2,0.9999,0.265,Forming,K-Band (IR),PROTO-MATTER,
,26000,05h55m36.0s -26d03m43s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,21h46m35.2s +11d48m26s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h41m26.3s +38d19m14s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h50m18.8s +22d17m19s,0.64,0.8698,0.187,Collapse,X-Ray / Gamma,SINGULARITY,,,930,08h12m34.1s -43d26m21s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h18m26.8s +19d13m14s,0.45,0.6823,0.211,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h48m13.4s +06d24m38s,1.58,0.9999,0.347,Stable,V-Band (Green),MAGNESIUM,,,7800,01h45m23.2s +32d32m26s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,23h29m09.9s -36d50m24s,0.58,0.9686,0.136,Ghost,Radio / CMB,DARK MATTER,,,28000,10h54m41.6s +06d56m32s,1.19,0.9999,0.262,Forming,K-Band (IR),PROTO-MATTER,
,26000,05h53m43.6s -25d55m01s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,21h47m32.9s +11d47m51s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h42m11.1s +38d22m04s,0.29,0.6271,0.164,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h49m43.9s +22d17m31s,0.64,0.8698,0.187,Collapse,X-Ray / Gamma,SINGULARITY,,,930,08h11m21.2s -43d23m05s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h19m05.7s +19d16m46s,0.92,0.7955,0.319,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h47m26.2s +06d28m19s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,01h46m22.2s +32d31m17s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,23h29m56.5s -36d47m34s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,10h59m40.7s +06d41m30s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
