SECTION A,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,26000,05h49m58.8s -25d37m36s,1.8,0.9999,0.397,High-Tension,B/V (Violet),CALCIUM,,,,16000,21h51m23.8s +11d45m28s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h42m55.8s +38d24m55s,0.29,0.6271,0.164,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h48m34.2s +22d17m55s,0.74,0.9999,0.162,Ghost,Radio / CMB,DARK MATTER,,,930,08h10m08.4s -43d19m49s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h19m44.5s +19d20m17s,1.8,0.9999,0.397,High-Tension,B/V (Violet),CALCIUM,,,18000,03h47m10.5s +06d29m33s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,01h47m21.2s +32d30m08s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,23h31m29.9s -36d41m56s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h00m40.6s +06d38m30s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h46m51.3s -25d23m05s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,21h52m21.5s +11d44m52s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h44m25.4s +38d30m36s,4.41,0.9999,0.97,Fuel,UV / Lyman,HYDROGEN,,,6500,07h47m59.4s +22d18m07s,0.74,0.9999,0.162,Ghost,Radio / CMB,DARK MATTER,,,930,08h08m55.5s -43d16m33s,1.47,0.9999,0.324,Stable,V-Band (Green),MAGNESIUM,,,800,07h20m23.3s +19d23m49s,0.62,0.9999,0.137,Ghost,Radio / CMB,DARK MATTER,,,18000,03h46m54.8s +06d30m47s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,01h48m20.2s +32d28m58s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,23h33m50.0s -36d33m28s,2.94,0.987,0.663,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,28000,11h01m40.4s +06d35m29s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h45m36.3s -25d17m17s,2.63,0.738,1.062,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,21h53m19.2s +11d44m17s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h51m53.2s +38d59m01s,2.02,0.9999,0.444,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,6500,07h45m40.0s +22d18m55s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,930,08h08m19.1s -43d14m55s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h20m36.2s +19d24m59s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h46m39.0s +06d32m00s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,01h49m19.2s +32d27m49s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,23h39m16.8s -36d13m42s,0.69,0.9999,0.151,Ghost,Radio / CMB,DARK MATTER,,,28000,11h04m39.8s +06d26m28s,0.93,0.9999,0.204,Forming,K-Band (IR),PROTO-MATTER,
,26000,05h43m43.7s -25d08m35s,1.69,0.9958,0.375,High-Tension,B/V (Violet),CALCIUM,,,,16000,21h57m10.0s +11d41m54s,1.77,0.9999,0.39,High-Tension,B/V (Violet),CALCIUM,,,7300,00h53m22.8s +39d04m42s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h39m51.6s +22d20m57s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,08h02m51.0s -43d00m12s,1.15,0.9999,0.253,Forming,K-Band (IR),PROTO-MATTER,,,800,07h21m53.6s +19d32m02s,1.98,0.9947,0.441,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,18000,03h46m23.3s +06d33m14s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,01h50m18.2s +32d26m39s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,23h41m36.9s -36d05m14s,0.89,0.9999,0.196,Forming,K-Band (IR),PROTO-MATTER,,,28000,11h05m39.7s +06d23m28s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,
,26000,05h41m51.0s -24d59m52s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h06m47.1s +11d35m58s,1.16,0.9999,0.255,Forming,K-Band (IR),PROTO-MATTER,,,7300,00h54m07.6s +39d07m33s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h39m16.8s +22d21m09s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,08h01m38.1s -42d56m56s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h22m32.3s +19d35m33s,1.47,0.6063,0.877,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h46m07.6s +06d34m28s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,01h56m12.1s +32d19m43s,0.86,0.9999,0.189,Forming,K-Band (IR),PROTO-MATTER,,,11000,23h43m57.0s -35d56m46s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h06m39.5s +06d20m27s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,
,26000,05h37m27.8s -24d39m34s,1.69,0.9999,0.373,High-Tension,B/V (Violet),CALCIUM,,,,16000,22h14m28.8s +11d31m12s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h55m37.1s +39d13m14s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h35m13.0s +22d22m34s,0.35,0.652,0.181,Collapse,X-Ray / Gamma,SINGULARITY,,,930,07h59m48.6s -42d52m02s,0.76,0.9999,0.168,Ghost,Radio / CMB,DARK MATTER,,,800,07h23m10.9s +19d39m05s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h45m36.1s +06d36m55s,0.94,0.9999,0.206,Forming,K-Band (IR),PROTO-MATTER,,,7800,01h57m11.1s +32d18m34s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,23h47m50.6s -35d42m40s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h07m39.3s +06d17m27s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,
,26000,05h36m50.2s -24d36m40s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h15m26.5s +11d30m37s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h56m21.9s +39d16m04s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h34m03.4s +22d22m58s,1.58,0.9999,0.348,Stable,V-Band (Green),MAGNESIUM,,,930,07h58m35.7s -42d48m45s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h23m23.8s +19d40m15s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h44m17.5s +06d43m03s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h00m08.1s +32d15m05s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,23h49m24.0s -35d37m01s,1.44,0.9875,0.325,Stable,V-Band (Green),MAGNESIUM,,,28000,11h08m39.1s +06d14m26s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h35m35.0s -24d30m52s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h16m24.2s +11d30m01s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h59m20.9s +39d27m26s,1.56,0.9999,0.343,Stable,V-Band (Green),MAGNESIUM,,,6500,07h32m53.8s +22d23m23s,0.76,0.9999,0.167,Ghost,Radio / CMB,DARK MATTER,,,930,07h57m59.2s -42d47m07s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h23m36.7s +19d41m25s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h44m01.8s +06d44m17s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h04m04.0s +32d10m28s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,23h50m10.7s -35d34m12s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h09m39.0s +06d11m26s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h34m57.3s -24d27m57s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h23m08.1s +11d25m52s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h01m35.2s +39d35m58s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h32m19.0s +22d23m35s,0.76,0.9999,0.167,Ghost,Radio / CMB,DARK MATTER,,,930,07h56m46.2s -42d43m51s,1.25,0.9999,0.275,Forming,K-Band (IR),PROTO-MATTER,,,800,07h24m02.4s +19d43m46s,1.12,0.9999,0.247,Forming,K-Band (IR),PROTO-MATTER,,,18000,03h43m46.1s +06d45m30s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h05m03.0s +32d09m18s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,23h51m44.2s -35d28m33s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h10m38.8s +06d08m25s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h31m11.4s -24d10m33s,1.49,0.9999,0.327,Stable,V-Band (Green),MAGNESIUM,,,,16000,22h24m05.8s +11d25m16s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h02m20.0s +39d38m48s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h29m59.7s +22d24m23s,1.69,0.8832,0.477,Collapse,X-Ray / Gamma,SINGULARITY,,,930,07h54m56.7s -42d38m57s,1.32,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h24m15.3s +19d44m57s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h42m59.0s +06d49m11s,0.99,0.9999,0.217,Forming,K-Band (IR),PROTO-MATTER,,,7800,02h06m02.0s +32d08m09s,1.22,0.9999,0.267,Forming,K-Band (IR),PROTO-MATTER,,,11000,23h55m37.8s -35d14m26s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h14m38.1s +05d56m24s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h29m56.0s -24d04m45s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h25m03.5s +11d24m40s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h03m04.8s +39d41m39s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h28m15.3s +22d24m60s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h51m54.1s -42d30m46s,0.94,0.8886,0.261,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h24m41.0s +19d47m17s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h41m09.0s +06d57m46s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h14m52.8s +31d57m44s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,23h57m11.3s -35d08m48s,1.15,0.9999,0.253,Forming,K-Band (IR),PROTO-MATTER,,,28000,11h15m37.9s +05d53m23s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h25m32.1s -23d44m27s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h26m01.2s +11d24m05s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h06m48.6s +39d55m52s,1.27,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h27m40.5s +22d25m12s,0.93,0.732,0.384,Collapse,X-Ray / Gamma,SINGULARITY,,,930,07h51m17.6s -42d29m08s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h25m06.6s +19d49m38s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h40m53.3s +06d58m60s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h15m51.8s +31d56m34s,4.83,0.9999,1.063,Fuel,UV / Lyman,HYDROGEN,,,11000,23h59m31.5s -35d00m20s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h16m37.7s +05d50m23s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h24m54.3s -23d41m33s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h26m58.9s +11d23m29s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h07m33.3s +39d58m42s,1.27,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h27m05.7s +22d25m24s,0.93,0.732,0.384,Collapse,X-Ray / Gamma,SINGULARITY,,,930,07h50m41.1s -42d27m30s,1.25,0.9999,0.276,Forming,K-Band (IR),PROTO-MATTER,,,800,07h25m19.5s +19d50m49s,0.68,0.973,0.159,Ghost,Radio / CMB,DARK MATTER,,,18000,03h40m37.5s +07d00m14s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h25m41.6s +31d44m60s,1.5,0.9999,0.33,Stable,V-Band (Green),MAGNESIUM,,,11000,00h01m51.7s -34d51m52s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h20m37.0s +05d38m21s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h24m16.6s -23d38m39s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h27m56.6s +11d22m54s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h13m31.3s +40d21m27s,0.79,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,,,6500,07h23m02.1s +22d26m50s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h49m28.0s -42d24m13s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h25m45.1s +19d53m09s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h40m21.8s +07d01m27s,2.25,0.9999,0.495,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,7800,02h26m40.6s +31d43m50s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h04m11.9s -34d43m24s,1.11,0.8455,0.34,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,11h21m36.8s +05d35m21s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h23m38.8s -23d35m44s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,,16000,22h28m54.3s +11d22m18s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h14m16.0s +40d24m17s,0.79,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,,,6500,07h22m27.4s +22d27m02s,2.29,0.9999,0.504,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,930,07h48m51.4s -42d22m35s,0.36,0.4553,0.381,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h26m10.8s +19d55m30s,1.08,0.9999,0.237,Forming,K-Band (IR),PROTO-MATTER,,,18000,03h39m34.7s +07d05m08s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h32m34.4s +31d36m54s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h04m58.7s -34d40m34s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h22m36.6s +05d32m20s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h22m23.3s -23d29m56s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h29m52.0s +11d21m42s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h17m59.8s +40d38m30s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h20m43.0s +22d27m38s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h46m25.3s -42d16m02s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h26m23.6s +19d56m41s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h39m19.0s +07d06m22s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h33m33.4s +31d35m44s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h06m32.2s -34d34m56s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h24m36.3s +05d26m20s,2.64,0.9406,0.657,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,26000,05h21m07.8s -23d24m08s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h30m49.7s +11d21m07s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h18m44.5s +40d41m20s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h20m08.2s +22d27m51s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h45m48.7s -42d14m24s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h27m40.4s +20d03m43s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h39m03.3s +07d07m35s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h34m32.4s +31d34m35s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h08m05.7s -34d29m17s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h34m34.5s +04d56m15s,1.5,0.9999,0.331,Stable,V-Band (Green),MAGNESIUM,
,26000,05h19m52.2s -23d18m20s,0.85,0.8858,0.238,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,22h35m38.2s +11d18m09s,1.26,0.9999,0.277,Forming,K-Band (IR),PROTO-MATTER,,,7300,01h20m14.0s +40d47m02s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h18m58.6s +22d28m15s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h44m35.6s -42d11m08s,0.82,0.9999,0.18,Forming,K-Band (IR),PROTO-MATTER,,,800,07h28m18.7s +20d07m14s,1.58,0.9999,0.348,Stable,V-Band (Green),MAGNESIUM,,,18000,03h37m44.8s +07d13m43s,1.47,0.9999,0.323,Stable,V-Band (Green),MAGNESIUM,,,7800,02h35m31.4s +31d33m25s,2.14,0.9999,0.471,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,11000,00h12m46.2s -34d12m21s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h41m33.2s +04d35m12s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h18m36.6s -23d12m32s,1.25,0.9999,0.275,Forming,K-Band (IR),PROTO-MATTER,,,,16000,22h40m26.7s +11d15m10s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h20m58.7s +40d49m52s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h18m23.9s +22d28m27s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h42m45.9s -42d06m13s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h29m35.3s +20d14m16s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h35m39.2s +07d23m32s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h39m27.3s +31d28m47s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h13m33.0s -34d09m32s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h42m33.0s +04d32m12s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h14m49.7s -22d55m08s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h41m24.4s +11d14m35s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h21m43.4s +40d52m43s,0.86,0.9445,0.213,Forming,K-Band (IR),PROTO-MATTER,,,6500,07h16m39.5s +22d29m04s,0.88,0.9999,0.193,Forming,K-Band (IR),PROTO-MATTER,,,930,07h41m32.7s -42d02m56s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h29m48.1s +20d15m26s,2.18,0.8914,0.603,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h35m23.5s +07d24m46s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h40m26.2s +31d27m38s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,00h16m40.1s -33d58m15s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h43m32.8s +04d29m12s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h12m18.3s -22d43m32s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h42m22.1s +11d13m59s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,01h22m28.2s +40d55m33s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h14m20.4s +22d29m53s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h40m56.1s -42d01m18s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h30m26.3s +20d18m57s,1.5,0.9999,0.33,Stable,V-Band (Green),MAGNESIUM,,,18000,03h35m07.8s +07d25m59s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h42m24.2s +31d25m19s,1.1,0.8151,0.366,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,00h17m26.8s -33d55m26s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,11h44m32.7s +04d26m11s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,26000,05h11m40.4s -22d40m38s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,22h45m15.2s +11d12m12s,3.74,0.9999,0.823,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,7300,01h23m12.9s +40d58m24s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,07h12m36.1s +22d30m29s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,07h39m43.0s -41d58m02s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h30m39.1s +20d20m07s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h34m52.1s +07d27m13s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7800,02h43m23.2s +31d24m09s,1.1,0.8151,0.366,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,00h20m33.9s -33d44m08s,1.69,0.9999,0.371,High-Tension,B/V (Violet),CALCIUM,,,28000,11h45m32.5s +04d23m11s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
