SECTION C,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,9,07h49m36.4s -14d58m52s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,25,17h37m24.7s +37d52m52s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,433,01h39m58.1s +86d55m30s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,446,05h03m23.1s +22d58m04s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h11m52.7s +17d04m31s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11,08h27m12.7s +06d32m18s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4,15h28m59.3s -58d46m04s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,550,16h36m42.0s -24d05m04s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,861,06h22m13.2s -05d59m11s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h37m48.5s +09d22m58s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,07h50m35.1s -14d56m35s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,25,17h34m44.0s +37d48m35s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,433,01h38m15.8s +86d49m35s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,446,05h05m15.0s +22d58m26s,0.93,0.9999,0.205,Forming,K-Band (IR),PROTO-MATTER,,,37,15h12m50.3s +17d01m33s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11,08h28m33.4s +06d35m48s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4,15h30m37.0s -58d40m27s,0.85,0.8988,0.232,Collapse,X-Ray / Gamma,SINGULARITY,,,551,16h35m39.8s -24d02m06s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,861,06h21m03.5s -05d46m33s,2.65,0.9999,0.582,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,17,19h37m07.8s +09d24m08s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,07h54m29.4s -14d47m31s,1.84,0.9999,0.404,High-Tension,B/V (Violet),CALCIUM,,,,25,17h31m12.0s +37d42m45s,1.54,0.9999,0.338,Stable,V-Band (Green),MAGNESIUM,,,433,01h37m25.3s +86d46m38s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,446,05h08m50.3s +22d59m26s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h18m38.9s +16d43m40s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h31m52.0s +06d44m29s,1.75,0.9999,0.385,High-Tension,B/V (Violet),CALCIUM,,,4,15h33m53.4s -58d29m14s,1.15,0.9999,0.254,Forming,K-Band (IR),PROTO-MATTER,,,551,16h34m36.2s -23d59m09s,1.29,0.9661,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,861,06h19m46.9s -05d37m03s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h36m47.2s +09d24m42s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h03m14.6s -14d27m14s,0.63,0.8418,0.195,Collapse,X-Ray / Gamma,SINGULARITY,,,,25,17h30m19.4s +37d41m17s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,433,01h36m35.2s +86d43m41s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,447,05h20m42.6s +23d06m48s,0.79,0.9327,0.199,Forming,K-Band (IR),PROTO-MATTER,,,37,15h23m32.9s +16d28m44s,3.15,0.8307,1.004,Collapse,X-Ray / Gamma,SINGULARITY,,,12,08h33m10.2s +06d47m56s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4,15h36m21.4s -58d20m49s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,551,16h33m31.0s -23d56m12s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,861,06h17m31.8s -05d24m21s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h36m05.1s +09d25m50s,1.38,0.9576,0.33,Stable,V-Band (Green),MAGNESIUM,
,9,08h04m12.8s -14d24m59s,1.53,0.9999,0.336,Stable,V-Band (Green),MAGNESIUM,,,,25,17h26m50.9s +37d35m19s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,433,01h34m07.3s +86d34m52s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,448,05h24m43.8s +23d12m33s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h24m32.0s +16d25m44s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h36m22.7s +06d56m29s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4,15h42m09.4s -58d01m14s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,551,16h32m24.4s -23d53m15s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,862,06h16m09.9s -05d17m59s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h35m00.3s +09d27m29s,0.81,0.7699,0.302,Collapse,X-Ray / Gamma,SINGULARITY,
,9,08h06m09.0s -14d20m30s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,25,17h25m59.2s +37d33m48s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,434,01h30m56.1s +86d23m09s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,449,05h26m43.5s +23d17m47s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h28m29.8s +16d13m46s,1.74,0.9999,0.382,High-Tension,B/V (Violet),CALCIUM,,,12,08h37m38.5s +06d59m53s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4,15h43m49.4s -57d55m39s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,551,16h31m16.4s -23d50m19s,0.58,0.7211,0.244,Collapse,X-Ray / Gamma,SINGULARITY,,,862,06h15m25.4s -05d14m49s,0.51,0.6484,0.264,Collapse,X-Ray / Gamma,SINGULARITY,,,17,19h34m38.2s +09d28m02s,1.32,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h07m07.1s -14d18m16s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,25,17h23m25.2s +37d29m14s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,434,01h29m23.2s +86d17m18s,1.18,0.9999,0.26,Forming,K-Band (IR),PROTO-MATTER,,,449,05h27m31.4s +23d21m43s,0.63,0.9783,0.145,Ghost,Radio / CMB,DARK MATTER,,,37,15h30m29.3s +16d07m47s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h38m16.1s +07d01m34s,0.53,0.8466,0.162,Collapse,X-Ray / Gamma,SINGULARITY,,,4,15h44m39.6s -57d52m52s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,551,16h28m56.1s -23d44m28s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,862,06h13m49.2s -05d08m27s,1.25,0.7398,0.503,Collapse,X-Ray / Gamma,SINGULARITY,,,17,19h32m20.9s +09d31m11s,1.58,0.9999,0.348,Stable,V-Band (Green),MAGNESIUM,
,9,08h13m52.5s -14d02m40s,1.09,0.9999,0.239,Forming,K-Band (IR),PROTO-MATTER,,,,25,17h22m34.3s +37d27m42s,1.48,0.9999,0.326,Stable,V-Band (Green),MAGNESIUM,,,434,01h27m52.2s +86d11m29s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,449,05h27m45.3s +23d23m48s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h32m29.3s +16d01m47s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h43m10.5s +07d14m57s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,15h47m10.4s -57d44m29s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,551,16h27m43.9s -23d41m34s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,862,06h12m03.3s -05d02m07s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h30m44.8s +09d33m12s,0.7,0.9999,0.155,Ghost,Radio / CMB,DARK MATTER,
,9,08h14m50.2s -14d00m27s,1.72,0.8374,0.541,Collapse,X-Ray / Gamma,SINGULARITY,,,,25,17h21m43.5s +37d26m09s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,434,01h24m56.0s +85d59m52s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,450,05h27m30.7s +23d33m02s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h34m29.8s +15d55m47s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h44m22.3s +07d18m15s,2.04,0.9999,0.448,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,5,15h49m41.9s -57d36m08s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,551,16h22m41.5s -23d29m59s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,862,06h09m06.6s -04d52m36s,0.5,0.7382,0.204,Collapse,X-Ray / Gamma,SINGULARITY,,,17,19h29m05.0s +09d35m08s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h16m45.6s -13d56m01s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,25,17h20m02.6s +37d23m02s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,434,01h22m49.3s +85d51m12s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,450,05h26m39.5s +23d38m10s,0.35,0.7185,0.148,Collapse,X-Ray / Gamma,SINGULARITY,,,37,15h36m30.6s +15d49m47s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12,08h44m58.0s +07d19m54s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,15h50m32.6s -57d33m21s,1.07,0.9999,0.237,Forming,K-Band (IR),PROTO-MATTER,,,551,16h21m22.6s -23d27m07s,3.08,0.9999,0.677,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,862,06h06m56.9s -04d46m17s,2.45,0.822,0.799,Collapse,X-Ray / Gamma,SINGULARITY,,,17,19h28m39.4s +09d35m36s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,9,08h18m40.8s -13d51m35s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,25,17h17m32.7s +37d18m19s,2.99,0.8693,0.871,Collapse,X-Ray / Gamma,SINGULARITY,,,434,01h22m08.1s +85d48m19s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,450,05h25m18.0s +23d43m38s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,37,15h38m31.9s +15d43m47s,1.46,0.9999,0.322,Stable,V-Band (Green),MAGNESIUM,,,12,08h46m08.7s +07d23m11s,0.46,0.8483,0.142,Collapse,X-Ray / Gamma,SINGULARITY,,,5,15h57m20.2s -57d11m05s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,552,16h11m36.1s -23d07m17s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,863,06h05m48.4s -04d43m08s,8.23,0.9999,1.812,Fuel,UV / Lyman,HYDROGEN,,,17,19h28m13.7s +09d36m04s,0.69,0.8676,0.203,Collapse,X-Ray / Gamma,SINGULARITY,
,9,08h20m35.9s -13d47m10s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,26,17h14m15.6s +37d11m55s,0.84,0.9999,0.185,Forming,K-Band (IR),PROTO-MATTER,,,434,01h16m58.7s +85d25m25s,0.69,0.9999,0.152,Ghost,Radio / CMB,DARK MATTER,,,451,05h23m25.7s +23d49m26s,1.18,0.9999,0.26,Forming,K-Band (IR),PROTO-MATTER,,,37,15h43m36.7s +15d28m45s,1.44,0.5803,0.941,Collapse,X-Ray / Gamma,SINGULARITY,,,12,08h47m18.6s +07d26m27s,0.67,0.7341,0.273,Collapse,X-Ray / Gamma,SINGULARITY,,,5,15h58m11.5s -57d08m19s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,552,16h07m07.6s -22d58m57s,1.78,0.9999,0.391,High-Tension,B/V (Violet),CALCIUM,,,863,05h59m31.2s -04d27m27s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h27m21.5s +09d36m59s,2.12,0.7832,0.761,Collapse,X-Ray / Gamma,SINGULARITY,
