SECTION C,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,10,10h33m33.3s -08d41m23s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,28,16h06m38.2s +32d21m25s,1.49,0.9999,0.328,Stable,V-Band (Green),MAGNESIUM,,,439,01h51m45.3s +80d14m53s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,469,02h21m52.8s +33d21m19s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39,17h53m23.4s +09d18m46s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13,09h30m28.9s +09d59m38s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,17h58m08.9s -51d15m20s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,563,14h34m05.9s -20d32m21s,1.16,0.9999,0.255,Forming,K-Band (IR),PROTO-MATTER,,,871,02h26m12.0s +00d54m06s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18,18h16m22.5s +09d57m59s,1.37,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,10h34m21.0s -08d39m31s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,,28,16h06m26.6s +32d13m52s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,439,01h53m01.4s +80d13m09s,3.01,0.9999,0.661,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,469,02h33m31.1s +33d30m03s,1.82,0.9999,0.401,High-Tension,B/V (Violet),CALCIUM,,,39,17h56m32.8s +09d09m40s,0.88,0.9999,0.193,Forming,K-Band (IR),PROTO-MATTER,,,13,09h30m40.8s +10d00m48s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,17h59m07.9s -51d12m41s,1.46,0.9999,0.321,Stable,V-Band (Green),MAGNESIUM,,,563,14h38m50.0s -20d35m42s,0.81,0.7022,0.364,Collapse,X-Ray / Gamma,SINGULARITY,,,871,02h24m54.1s +00d53m34s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18,18h15m32.7s +09d57m54s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,10h35m08.6s -08d37m40s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,28,16h06m23.5s +32d11m21s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,439,01h55m36.6s +80d09m44s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,470,03h18m56.6s +33d57m45s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39,17h59m41.7s +09d00m35s,1.15,0.8913,0.317,Collapse,X-Ray / Gamma,SINGULARITY,,,13,09h31m03.7s +10d03m08s,0.79,0.9858,0.178,Ghost,Radio / CMB,DARK MATTER,,,5,18h00m06.9s -51d10m02s,0.65,0.866,0.191,Collapse,X-Ray / Gamma,SINGULARITY,,,563,14h51m28.4s -20d44m47s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,872,02h22m27.6s +00d52m38s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18,18h13m52.4s +09d57m43s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,10h35m56.1s -08d35m48s,1.08,0.9999,0.238,Forming,K-Band (IR),PROTO-MATTER,,,,28,16h06m18.7s +32d06m16s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,439,01h58m15.4s +80d06m22s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,470,03h25m56.6s +34d01m20s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39,18h00m44.5s +08d57m33s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13,09h31m25.8s +10d05m27s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,18h01m06.0s -51d07m23s,1.37,0.9863,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,563,14h59m35.7s -20d50m41s,0.95,0.9999,0.209,Forming,K-Band (IR),PROTO-MATTER,,,872,02h21m19.1s +00d52m14s,1.3,0.9707,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18,18h13m02.0s +09d57m38s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,10h36m43.5s -08d33m57s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,28,16h06m14.4s +31d58m37s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,439,02h00m57.8s +80d03m03s,0.96,0.8975,0.261,Collapse,X-Ray / Gamma,SINGULARITY,,,471,03h40m15.0s +34d08m11s,1.56,0.9999,0.343,Stable,V-Band (Green),MAGNESIUM,,,39,18h01m47.2s +08d54m31s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13,09h31m36.5s +10d06m36s,1.49,0.9999,0.327,Stable,V-Band (Green),MAGNESIUM,,,5,18h04m03.7s -50d59m27s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,563,15h02m23.3s -20d52m44s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,872,02h20m14.0s +00d51m52s,1.64,0.9999,0.361,High-Tension,B/V (Violet),CALCIUM,,,18,18h12m11.5s +09d57m32s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,10h38m18.2s -08d30m15s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,28,16h06m13.9s +31d56m04s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,439,02h06m33.6s +79d56m34s,1.08,0.9999,0.237,Forming,K-Band (IR),PROTO-MATTER,,,471,04h02m22.2s +34d17m39s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39,18h06m59.7s +08d39m23s,1.2,0.9999,0.265,Forming,K-Band (IR),PROTO-MATTER,,,13,09h31m57.1s +10d08m54s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,18h06m02.3s -50d54m10s,0.97,0.8748,0.278,Collapse,X-Ray / Gamma,SINGULARITY,,,564,15h20m03.1s -21d05m47s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,872,02h19m12.1s +00d51m33s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18,18h11m20.7s +09d57m25s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,10h40m39.4s -08d24m43s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,28,16h06m24.2s +31d35m23s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,439,02h10m54.9s +79d51m50s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,472,04h17m27.7s +34d23m26s,0.54,0.5927,0.338,Collapse,X-Ray / Gamma,SINGULARITY,,,39,18h08m02.0s +08d36m22s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13,09h32m07.1s +10d10m02s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,18h07m01.7s -50d51m32s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,564,15h26m16.2s -21d10m27s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,872,02h17m18.6s +00d51m03s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18,18h10m29.7s +09d57m19s,1.16,0.9999,0.256,Forming,K-Band (IR),PROTO-MATTER,
,10,10h41m26.3s -08d22m52s,1.61,0.8357,0.508,Collapse,X-Ray / Gamma,SINGULARITY,,,,28,16h06m31.0s +31d30m09s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,439,02h12m23.8s +79d50m17s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,472,04h55m53.7s +34d35m52s,3,0.9999,0.661,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,39,18h09m04.1s +08d33m21s,3.97,0.874,1.142,Collapse,X-Ray / Gamma,SINGULARITY,,,13,09h32m26.4s +10d12m18s,0.5,0.6961,0.228,Collapse,X-Ray / Gamma,SINGULARITY,,,5,18h08m01.1s -50d48m53s,1.42,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,564,15h29m26.4s -21d12m50s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,872,02h15m39.1s +00d50m43s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18,18h07m55.7s +09d56m57s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,10h43m46.5s -08d17m22s,1.24,0.9652,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,28,16h06m55.4s +31d16m60s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,439,02h13m53.6s +79d48m44s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,473,05h03m37.9s +34d38m00s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39,18h13m12.0s +08d21m15s,0.73,0.9999,0.16,Ghost,Radio / CMB,DARK MATTER,,,13,09h32m35.7s +10d13m25s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,18h09m00.6s -50d46m15s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,564,15h32m38.9s -21d15m16s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,872,02h14m54.6s +00d50m37s,0.78,0.7749,0.284,Collapse,X-Ray / Gamma,SINGULARITY,,,18,18h01m49.8s +09d55m57s,0.99,0.9999,0.218,Forming,K-Band (IR),PROTO-MATTER,
,10,10h44m33.0s -08d15m32s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,28,16h07m01.5s +31d14m21s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,439,02h15m24.2s +79d47m13s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,474,05h49m37.4s +34d48m12s,0.37,0.5816,0.238,Collapse,X-Ray / Gamma,SINGULARITY,,,39,18h17m18.5s +08d09m10s,1.73,0.9999,0.38,High-Tension,B/V (Violet),CALCIUM,,,13,09h33m10.4s +10d17m53s,1.49,0.9999,0.328,Stable,V-Band (Green),MAGNESIUM,,,5,18h11m59.4s -50d38m21s,1.57,0.8211,0.511,Collapse,X-Ray / Gamma,SINGULARITY,,,564,15h39m11.0s -21d20m14s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,873,02h12m33.4s +00d50m40s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18,18h00m03.6s +09d55m37s,0.81,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,
,10,10h47m38.3s -08d08m14s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,28,16h07m22.5s +31d06m22s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,439,02h16m55.7s +79d45m42s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,474,06h11m55.4s +34d51m34s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39,18h19m21.2s +08d03m08s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13,09h33m34.1s +10d21m11s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,18h16m58.2s -50d25m11s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,564,15h49m16.2s -21d27m58s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,873,02h11m27.2s +00d51m11s,0.8,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,,,18,17h55m34.9s +09d54m42s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,10h48m24.4s -08d06m25s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,28,16h07m30.4s +31d03m42s,6.12,0.9011,1.659,Fuel,UV / Lyman,HYDROGEN,,,439,02h20m01.4s +79d42m42s,0.66,0.766,0.248,Collapse,X-Ray / Gamma,SINGULARITY,,,475,06h40m21.6s +34d54m10s,1.32,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39,18h22m24.6s +07d54m05s,0.79,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,,,13,09h34m02.3s +10d25m31s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,18h17m58.2s -50d22m33s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,565,16h03m13.5s -21d38m49s,1.07,0.9999,0.234,Forming,K-Band (IR),PROTO-MATTER,,,873,02h10m56.2s +00d52m07s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18,17h52m51.5s +09d54m06s,1.46,0.9999,0.321,Stable,V-Band (Green),MAGNESIUM,
,10,10h51m27.8s -07d59m10s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,28,16h07m38.7s +31d01m02s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,439,02h21m35.6s +79d41m14s,1.25,0.9999,0.276,Forming,K-Band (IR),PROTO-MATTER,,,475,06h47m10.6s +34d54m29s,0.73,0.9999,0.161,Ghost,Radio / CMB,DARK MATTER,,,39,18h23m25.5s +07d51m04s,1.37,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13,09h34m15.0s +10d27m40s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,18h18m58.1s -50d19m56s,1.22,0.9818,0.279,Forming,K-Band (IR),PROTO-MATTER,,,565,16h17m43.8s -21d50m16s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,873,02h10m53.9s +00d52m31s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18,17h51m56.7s +09d53m53s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,10h52m13.4s -07d57m21s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,28,16h07m47.4s +30d58m21s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,439,02h24m46.4s +79d38m19s,1.32,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,475,06h53m51.5s +34d54m39s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39,18h24m26.3s +07d48m03s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13,09h34m21.0s +10d28m43s,0.7,0.9999,0.154,Ghost,Radio / CMB,DARK MATTER,,,5,18h20m58.2s -50d14m41s,0.75,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,565,16h28m56.6s -21d59m16s,0.78,0.9999,0.171,Ghost,Radio / CMB,DARK MATTER,,,873,02h11m11.3s +00d54m01s,1.22,0.9999,0.268,Forming,K-Band (IR),PROTO-MATTER,,,19,17h43m35.4s +09d51m46s,1.18,0.9999,0.259,Forming,K-Band (IR),PROTO-MATTER,
,10,10h56m00.1s -07d48m22s,0.96,0.6518,0.496,Collapse,X-Ray / Gamma,SINGULARITY,,,,28,16h07m56.6s +30d55m40s,0.57,0.8779,0.163,Collapse,X-Ray / Gamma,SINGULARITY,,,439,02h26m23.2s +79d36m53s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,475,07h00m23.7s +34d54m41s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39,18h25m27.0s +07d45m02s,1.22,0.8608,0.364,Collapse,X-Ray / Gamma,SINGULARITY,,,13,09h34m37.5s +10d31m54s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,18h24m58.8s -50d04m11s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,565,16h40m25.6s -22d08m36s,2.91,0.9999,0.64,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,873,02h11m25.3s +00d54m36s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,17h41m42.1s +09d51m15s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,10h56m45.2s -07d46m34s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,28,16h09m00.6s +30d39m26s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,439,02h28m00.7s +79d35m28s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,476,07h19m02.9s +34d53m55s,0.93,0.9999,0.204,Forming,K-Band (IR),PROTO-MATTER,,,39,18h27m28.1s +07d39m01s,2.58,0.9999,0.568,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,13,09h34m47.3s +10d33m59s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,18h25m59.0s -50d01m34s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,566,16h56m07.5s -22d21m35s,1.37,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,874,02h11m43.5s +00d55m14s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,17h40m45.1s +09d50m59s,0.54,0.6861,0.252,Collapse,X-Ray / Gamma,SINGULARITY,
,10,10h57m30.1s -07d44m47s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,29,16h09m12.8s +30d36m43s,1.82,0.9999,0.401,High-Tension,B/V (Violet),CALCIUM,,,440,02h38m03.9s +79d27m12s,1.69,0.9999,0.371,High-Tension,B/V (Violet),CALCIUM,,,476,07h41m22.2s +34d50m52s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39,18h29m28.8s +07d32m60s,0.87,0.7135,0.376,Collapse,X-Ray / Gamma,SINGULARITY,,,13,09h35m07.7s +10d39m08s,1.45,0.9999,0.32,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,18h29m00.1s -49d53m43s,3.32,0.9999,0.731,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,566,17h20m24.6s -22d42m11s,1.26,0.9999,0.276,Forming,K-Band (IR),PROTO-MATTER,,,874,02h13m38.6s +00d58m16s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,17h34m01.9s +09d48m57s,1.16,0.9999,0.256,Forming,K-Band (IR),PROTO-MATTER,
,10,10h58m59.8s -07d41m13s,1.98,0.9999,0.435,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,29,16h10m05.9s +30d25m46s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,440,02h39m47.3s +79d25m53s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,477,08h08m21.6s +34d41m51s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39,18h34m28.6s +07d17m57s,0.7,0.8597,0.209,Collapse,X-Ray / Gamma,SINGULARITY,,,13,09h35m11.1s +10d40m09s,1.38,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,18h30m00.6s -49d51m06s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,566,17h24m32.0s -22d45m45s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,874,02h15m49.9s -01d01m02s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,17h32m05.1s +09d48m20s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,11h01m57.9s -07d34m06s,0.81,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,,29,16h10m20.3s +30d23m01s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,440,02h41m31.6s +79d24m34s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,478,08h15m23.7s +34d37m39s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39,18h37m27.1s +07d08m56s,0.61,0.8492,0.187,Collapse,X-Ray / Gamma,SINGULARITY,,,13,09h35m19.7s +10d43m10s,0.59,0.965,0.14,Ghost,Radio / CMB,DARK MATTER,,,5,18h31m01.0s -49d48m30s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,566,17h41m13.2s -23d00m23s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,874,02h16m42.3s -01d02m04s,1.27,0.9999,0.28,Forming,K-Band (IR),PROTO-MATTER,,,19,17h26m10.9s +09d46m21s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,11h02m42.1s -07d32m20s,1.29,0.8866,0.362,Collapse,X-Ray / Gamma,SINGULARITY,,,,29,16h10m35.1s +30d20m16s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,440,02h45m02.6s +79d21m59s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,479,08h31m21.4s +34d18m03s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,39,18h44m19.4s +06d47m56s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13,09h35m22.2s +10d44m10s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,18h32m01.6s -49d45m53s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,567,17h49m39.9s -23d07m56s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,874,02h18m40.3s -01d04m15s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,17h24m11.5s +09d45m39s,0.65,0.8922,0.181,Collapse,X-Ray / Gamma,SINGULARITY,
,10,11h04m54.4s -07d27m02s,2.27,0.8584,0.677,Collapse,X-Ray / Gamma,SINGULARITY,,,,29,16h11m06.1s +30d14m45s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,440,02h46m49.2s +79d20m42s,0.86,0.8578,0.257,Collapse,X-Ray / Gamma,SINGULARITY,,,479,08h32m28.4s +34d14m38s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40,18h47m14.2s +06d38m57s,1.97,0.9999,0.433,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,13,09h35m30.5s +10d49m05s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5,18h37m04.9s -49d32m50s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,567,17h53m54.7s -23d11m45s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,875,02h20m55.8s -01d06m38s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,17h23m11.5s +09d45m17s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,10,11h06m22.1s -07d23m31s,1.65,0.9999,0.363,High-Tension,B/V (Violet),CALCIUM,,,,29,16h11m38.8s +30d09m12s,5.93,0.9999,1.305,Fuel,UV / Lyman,HYDROGEN,,,440,02h48m36.7s +79d19m26s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,480,08h33m59.3s +34d03m26s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40,18h48m12.2s +06d35m57s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,13,09h35m32.1s +10d55m48s,1.08,0.8006,0.37,Collapse,X-Ray / Gamma,SINGULARITY,,,5,18h39m06.5s -49d27m37s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,567,18h02m26.6s -23d19m31s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,875,02h23m28.9s -01d09m13s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,19,17h22m11.4s +09d44m56s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
