SECTION B,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,#REF!,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,1344,05h15m10.4s -03d48m37s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7000,20h54m44.6s -12d25m50s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8505,13h56m06.0s -60d10m25s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4102,19h39m28.0s -24d02m14s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5200,20h24m58.0s -22d32m35s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,460,15h46m49.8s -23d01m36s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160010,14h42m59.1s -69d56m35s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,2203,22h57m19.0s +46d34m28s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5201,08h51m57.8s +05d25m51s,3.61,0.8449,1.112,Collapse,X-Ray / Gamma,SINGULARITY,,,5502,21h56m42.8s -13d54m58s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1345,05h11m05.7s -03d38m45s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7002,20h59m38.9s -12d25m55s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8506,13h52m12.8s -60d28m45s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4103,19h29m58.3s -24d09m35s,0.79,0.8981,0.216,Collapse,X-Ray / Gamma,SINGULARITY,,,5201,20h21m10.2s -22d34m02s,3.61,0.8449,1.112,Collapse,X-Ray / Gamma,SINGULARITY,,,460,15h44m24.4s -22d56m50s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160020,12h59m10.7s -71d25m11s,1.63,0.9999,0.36,Stable,V-Band (Green),MAGNESIUM,,,2204,23h05m51.6s +46d36m13s,1.15,0.9999,0.253,Forming,K-Band (IR),PROTO-MATTER,,,5202,08h30m26.8s +05d10m16s,1.3,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5502,21h59m42.3s -13d53m08s,0.57,0.8727,0.166,Collapse,X-Ray / Gamma,SINGULARITY,
,1345,05h09m56.5s -03d35m42s,1.47,0.9999,0.323,Stable,V-Band (Green),MAGNESIUM,,,,7002,21h04m38.4s -12d27m23s,1.69,0.9999,0.372,High-Tension,B/V (Violet),CALCIUM,,,8507,13h52m40.0s -60d38m11s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4103,19h20m44.7s -24d17m41s,0.64,0.9998,0.141,Ghost,Radio / CMB,DARK MATTER,,,5201,20h11m01.4s -22d38m50s,1.21,0.9999,0.266,Forming,K-Band (IR),PROTO-MATTER,,,461,15h43m11.2s -22d54m25s,1.18,0.9999,0.259,Forming,K-Band (IR),PROTO-MATTER,,,160024,12h28m13.9s -71d41m52s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2206,23h15m47.7s +46d36m56s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5203,08h22m05.3s +05d02m51s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5503,22h02m37.6s -13d51m24s,1,0.929,0.254,Forming,K-Band (IR),PROTO-MATTER,
,1345,05h09m24.5s -03d34m14s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7003,21h11m09.3s -12d29m58s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8508,13h54m46.6s -60d47m45s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4104,19h16m18.7s -24d22m00s,0.87,0.9999,0.191,Forming,K-Band (IR),PROTO-MATTER,,,5202,19h55m37.5s -22d48m20s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,461,15h39m29.8s -22d47m04s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160030,13h01m52.2s -71d36m60s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2207,23h21m21.7s +46d35m13s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5203,08h18m03.4s +04d58m54s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5503,22h10m50.4s -13d46m48s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1345,05h07m33.8s -03d28m39s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7005,21h31m52.0s -12d40m24s,1.51,0.9999,0.331,Stable,V-Band (Green),MAGNESIUM,,,8509,14h03m55.1s -61d07m04s,0.74,0.7397,0.299,Collapse,X-Ray / Gamma,SINGULARITY,,,4104,19h07m57.7s -24d31m10s,0.47,0.7813,0.169,Collapse,X-Ray / Gamma,SINGULARITY,,,5202,19h53m21.0s -22d49m57s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,461,15h35m46.2s -22d39m35s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160036,14h28m41.6s -70d54m23s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,2207,23h22m06.2s +46d34m05s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5207,07h48m48.9s +04d11m06s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5504,22h13m21.5s -13d45m29s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1346,05h05m57.8s -03d22m25s,1.53,0.9999,0.337,Stable,V-Band (Green),MAGNESIUM,,,,7006,21h58m48.4s -12d57m06s,1.13,0.7883,0.401,Collapse,X-Ray / Gamma,SINGULARITY,,,8512,14h39m10.1s -61d45m07s,0.57,0.8556,0.171,Collapse,X-Ray / Gamma,SINGULARITY,,,4105,19h04m06.4s -24d36m01s,0.78,0.9999,0.172,Ghost,Radio / CMB,DARK MATTER,,,5203,19h48m46.1s -22d53m24s,1.65,0.9999,0.363,High-Tension,B/V (Violet),CALCIUM,,,461,15h32m00.8s -22d31m57s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160040,14h59m35.2s -70d07m53s,1.21,0.9999,0.266,Forming,K-Band (IR),PROTO-MATTER,,,2209,23h20m42.0s +46d28m53s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5209,07h46m19.7s +03d36m24s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5505,22h25m24.8s -13d40m02s,0.68,0.7857,0.243,Collapse,X-Ray / Gamma,SINGULARITY,
,1346,05h05m33.3s -03d20m09s,5.16,0.8963,1.413,Collapse,X-Ray / Gamma,SINGULARITY,,,,7007,22h11m36.1s -13d06m11s,4.52,0.9999,0.994,Fuel,UV / Lyman,HYDROGEN,,,8515,15h26m37.6s -62d19m37s,0.97,0.9999,0.214,Forming,K-Band (IR),PROTO-MATTER,,,4107,18h47m15.5s -25d08m21s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5203,19h46m28.0s -22d55m13s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,461,15h30m45.3s -22d29m22s,1.49,0.9999,0.329,Stable,V-Band (Green),MAGNESIUM,,,160050,13h11m17.9s -67d40m41s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2209,23h18m59.1s +46d26m34s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5210,07h52m39.8s +03d11m28s,0.83,0.9999,0.182,Forming,K-Band (IR),PROTO-MATTER,,,5505,22h26m49.3s -13d39m33s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1346,05h05m12.4s -03d17m01s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7007,22h15m57.8s -13d09m28s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8517,15h49m33.2s -62d34m32s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4107,18h45m44.1s -25d14m14s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5203,19h41m51.1s -22d59m03s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,461,15h28m14.1s -22d24m10s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160056,12h12m15.1s -66d21m48s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2211,23h05m54.3s +46d14m11s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5211,08h01m43.6s +02d52m06s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5506,22h28m02.1s -13d39m12s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1346,05h05m09.2s -03d15m06s,1.24,0.9621,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7009,22h55m13.3s -13d44m29s,4.54,0.9999,0.998,Fuel,UV / Lyman,HYDROGEN,,,8518,15h59m47.4s -62d41m14s,0.46,0.7685,0.17,Collapse,X-Ray / Gamma,SINGULARITY,,,4108,18h44m38.1s -25d20m14s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5203,19h37m14.6s -23d03m08s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,461,15h26m58.3s -22d21m33s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160060,12h36m30.4s -65d46m09s,1.44,0.9011,0.391,High-Tension,B/V (Violet),CALCIUM,,,2213,22h43m39.3s +45d56m52s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5212,08h09m44.5s +02d38m59s,0.81,0.803,0.278,Collapse,X-Ray / Gamma,SINGULARITY,,,5506,22h29m50.4s -13d38m53s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1346,05h05m21.3s -03d12m29s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7010,23h07m23.6s -13d58m16s,1.18,0.7838,0.421,Collapse,X-Ray / Gamma,SINGULARITY,,,8519,16h16m27.4s -62d52m53s,0.53,0.7668,0.197,Collapse,X-Ray / Gamma,SINGULARITY,,,4108,18h43m46.6s -25d32m36s,0.58,0.8655,0.171,Collapse,X-Ray / Gamma,SINGULARITY,,,5204,19h32m39.5s -23d07m29s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,461,15h23m10.7s -22d13m35s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,160062,13h06m04.0s -65d35m19s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2213,22h36m53.0s +45d51m47s,1.9,0.9999,0.418,High-Tension,B/V (Violet),CALCIUM,,,5212,08h19m13.8s +02d25m46s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5507,22h30m46.3s -13d39m07s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
