SECTION B,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,#REF!,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,1347,05h05m54.0s -03d10m12s,0.75,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,,7010,23h11m14.7s -14d03m05s,0.68,0.7988,0.234,Collapse,X-Ray / Gamma,SINGULARITY,,,8520,16h22m25.0s -62d57m44s,0.72,0.9999,0.158,Ghost,Radio / CMB,DARK MATTER,,,4111,18h55m46.9s -26d18m43s,1.61,0.9999,0.355,Stable,V-Band (Green),MAGNESIUM,,,5204,19h25m52.7s -23d14m29s,0.77,0.9094,0.206,Forming,K-Band (IR),PROTO-MATTER,,,462,15h18m07.1s -22d02m46s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,160064,13h41m49.5s -65d29m45s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2213,22h29m42.5s +45d46m24s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5213,08h35m56.0s +02d05m54s,3.29,0.9999,0.724,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,5507,22h30m46.8s -13d39m55s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1347,05h06m09.6s -03d09m30s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7011,23h25m18.7s -14d23m25s,0.76,0.9999,0.167,Ghost,Radio / CMB,DARK MATTER,,,8521,16h26m32.3s -63d01m54s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4113,19h18m25.1s -26d53m13s,0.62,0.7106,0.27,Collapse,X-Ray / Gamma,SINGULARITY,,,5204,19h21m27.3s -23d19m28s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,462,15h08m04.2s -21d40m25s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160066,14h18m10.1s -65d29m45s,0.73,0.9999,0.161,Ghost,Radio / CMB,DARK MATTER,,,2214,22h22m11.1s +45d40m43s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5215,09h01m53.6s +01d39m37s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5508,22h29m49.5s -13d41m16s,1.61,0.9999,0.355,Stable,V-Band (Green),MAGNESIUM,
,1347,05h06m27.5s -03d08m51s,1.25,0.7354,0.508,Collapse,X-Ray / Gamma,SINGULARITY,,,,7012,23h31m22.8s -14d34m12s,0.72,0.855,0.216,Collapse,X-Ray / Gamma,SINGULARITY,,,8522,16h28m40.7s -63d05m19s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4113,19h24m11.0s -27d00m09s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5205,19h10m53.4s -23d32m59s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,462,15h05m35.2s -21d34m42s,0.98,0.9999,0.216,Forming,K-Band (IR),PROTO-MATTER,,,160068,14h49m15.8s -65d35m28s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2215,21h58m03.5s +45d21m55s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5216,09h23m10.8s +01d20m21s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5508,22h27m52.9s -13d43m13s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1347,05h07m10.7s -03d07m39s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7012,23h34m08.2s -14d39m44s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8522,16h28m44.3s -63d07m58s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4114,19h43m30.7s -27d20m53s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5205,19h08m53.0s -23d35m53s,1.29,0.9999,0.285,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,462,14h59m27.5s -21d20m10s,0.66,0.8915,0.183,Collapse,X-Ray / Gamma,SINGULARITY,,,160074,15h08m20.4s -66d26m13s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2217,21h16m25.0s +44d45m09s,0.73,0.7394,0.294,Collapse,X-Ray / Gamma,SINGULARITY,,,5216,09h30m27.3s +01d14m04s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5510,22h10m02.4s -13d56m57s,0.83,0.9999,0.184,Forming,K-Band (IR),PROTO-MATTER,
,1347,05h08m33.6s -03d06m07s,1.19,0.7926,0.418,Collapse,X-Ray / Gamma,SINGULARITY,,,,7013,23h41m10.0s -14d56m53s,0.6,0.8952,0.164,Collapse,X-Ray / Gamma,SINGULARITY,,,8523,16h26m40.3s -63d09m49s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4115,19h50m31.7s -27d27m44s,1.64,0.9999,0.361,High-Tension,B/V (Violet),CALCIUM,,,5205,19h06m55.2s -23d38m50s,0.86,0.8633,0.254,Collapse,X-Ray / Gamma,SINGULARITY,,,462,14h55m51.0s -21d11m17s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160080,13h32m46.1s -67d59m23s,1.47,0.9999,0.323,Stable,V-Band (Green),MAGNESIUM,,,2218,21h08m28.4s +44d37m03s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5216,09h37m46.0s +01d07m51s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5511,22h03m07.9s -14d01m55s,1.32,0.8842,0.371,Collapse,X-Ray / Gamma,SINGULARITY,
,1347,05h09m06.2s -03d05m41s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7013,23h43m04.0s -15d02m46s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8525,16h16m13.4s -63d10m58s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4117,20h43m49.2s -28d13m46s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5205,19h05m00.1s -23d41m50s,1.57,0.9999,0.345,Stable,V-Band (Green),MAGNESIUM,,,463,14h53m28.6s -21d05m18s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160086,12h02m13.0s -69d55m45s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2219,20h53m31.3s +44d20m10s,1.38,0.8763,0.395,Collapse,X-Ray / Gamma,SINGULARITY,,,5217,09h45m04.6s +01d01m43s,1.61,0.9999,0.354,Stable,V-Band (Green),MAGNESIUM,,,5512,21h32m13.5s -14d24m11s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1347,05h10m18.8s -03d04m56s,0.7,0.8686,0.206,Collapse,X-Ray / Gamma,SINGULARITY,,,,7013,23h46m09.1s -15d14m49s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8526,15h57m59.0s -63d08m36s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4118,20h59m06.5s -28d26m00s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5206,18h54m34.9s -24d01m06s,0.62,0.8126,0.205,Collapse,X-Ray / Gamma,SINGULARITY,,,463,14h51m08.0s -20d59m16s,1.19,0.9543,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160088,11h57m51.5s -70d35m15s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2219,20h46m38.6s +44d11m24s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5219,10h39m15.9s +00d16m46s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5513,21h27m04.4s -14d27m58s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1348,05h10m58.9s -03d04m37s,0.67,0.877,0.19,Collapse,X-Ray / Gamma,SINGULARITY,,,,7014,23h48m52.5s -15d33m27s,3.07,0.9999,0.675,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,8527,15h46m21.9s -63d06m02s,0.78,0.9999,0.172,Ghost,Radio / CMB,DARK MATTER,,,4118,21h06m32.3s -28d31m55s,1.49,0.9999,0.327,Stable,V-Band (Green),MAGNESIUM,,,5207,18h50m11.5s -24d11m30s,3.38,0.8118,1.128,Collapse,X-Ray / Gamma,SINGULARITY,,,463,14h45m25.3s -20d43m59s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160092,12h37m06.0s -71d49m01s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2222,20h17m31.0s +43d15m00s,0.95,0.9731,0.22,Forming,K-Band (IR),PROTO-MATTER,,,5220,10h44m58.2s +00d11m47s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5513,21h10m45.8s -14d40m17s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1348,05h11m41.5s -03d04m20s,1.02,0.8595,0.305,Collapse,X-Ray / Gamma,SINGULARITY,,,,7014,23h49m14.9s -15d39m48s,1.42,0.9999,0.312,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8528,15h19m22.5s -62d58m08s,1.88,0.7606,0.714,Collapse,X-Ray / Gamma,SINGULARITY,,,4122,22h02m29.1s -29d21m23s,1.07,0.9999,0.235,Forming,K-Band (IR),PROTO-MATTER,,,5207,18h48m51.9s -24d15m05s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,463,14h42m06.4s -20d34m41s,0.56,0.8517,0.17,Collapse,X-Ray / Gamma,SINGULARITY,,,160098,14h38m56.9s -73d11m42s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2223,20h13m36.9s +42d55m04s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5220,10h50m19.6s +00d06m57s,1.34,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5515,20h41m32.4s -15d03m48s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1348,05h15m52.4s -03d03m29s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7015,23h49m20.8s -15d46m13s,1.07,0.879,0.304,Collapse,X-Ray / Gamma,SINGULARITY,,,8531,14h34m14.8s -62d39m14s,1.26,0.9999,0.278,Forming,K-Band (IR),PROTO-MATTER,,,4123,22h07m39.8s -29d28m40s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5207,18h46m26.2s -24d22m23s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,463,14h38m53.3s -20d25m16s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160100,15h11m33.2s -73d28m23s,1.11,0.9999,0.244,Forming,K-Band (IR),PROTO-MATTER,,,2223,20h12m55.1s +42d44m56s,0.6,0.7933,0.208,Collapse,X-Ray / Gamma,SINGULARITY,,,5221,11h07m38.3s +00d10m32s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5515,20h35m31.4s -15d08m56s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1349,05h23m30.6s -03d03m57s,0.76,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,,7016,23h39m47.8s -16d39m37s,1.25,0.9999,0.275,Forming,K-Band (IR),PROTO-MATTER,,,8532,14h19m22.8s -62d31m04s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4124,22h10m16.6s -29d34m55s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5208,18h41m45.8s -24d41m34s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,463,14h36m47.9s -20d18m57s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160102,15h30m19.4s -73d38m34s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2224,20h14m08.2s +42d24m27s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,5223,11h18m31.8s +00d30m33s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5515,20h29m29.2s -15d14m13s,1.03,0.9999,0.228,Forming,K-Band (IR),PROTO-MATTER,
,1349,05h27m25.0s -03d04m44s,1.05,0.9999,0.232,Forming,K-Band (IR),PROTO-MATTER,,,,7019,23h02m07.8s -17d49m31s,0.74,0.5484,0.539,Collapse,X-Ray / Gamma,SINGULARITY,,,8533,13h52m06.3s -62d12m03s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4124,22h10m34.5s -29d37m38s,0.6,0.8135,0.201,Collapse,X-Ray / Gamma,SINGULARITY,,,5208,18h41m05.1s -24d45m33s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,463,14h32m46.1s -20d06m11s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160110,14h02m36.7s -73d08m34s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2226,20h27m09.7s +41d42m59s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5225,11h14m10.3s +00d39m07s,0.35,0.6565,0.18,Collapse,X-Ray / Gamma,SINGULARITY,,,5516,20h17m25.4s -15d25m13s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1349,05h34m46.1s -03d06m51s,0.72,0.9999,0.159,Ghost,Radio / CMB,DARK MATTER,,,,7019,22h51m29.6s -18d03m38s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8535,13h30m23.3s -61d49m33s,0.66,0.8088,0.222,Collapse,X-Ray / Gamma,SINGULARITY,,,4126,22h01m36.2s -29d46m53s,1.6,0.9999,0.352,Stable,V-Band (Green),MAGNESIUM,,,5208,18h40m00.0s -24d53m40s,1.22,0.9999,0.268,Forming,K-Band (IR),PROTO-MATTER,,,464,14h31m47.6s -20d02m58s,0.67,0.9999,0.147,Ghost,Radio / CMB,DARK MATTER,,,160112,13h16m32.6s -72d43m38s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2226,20h32m34.3s +41d32m36s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5225,11h08m21.1s +00d41m49s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5517,19h37m04.4s -16d07m55s,0.91,0.8522,0.275,Collapse,X-Ray / Gamma,SINGULARITY,
,1350,05h43m08.5s -03d09m59s,0.74,0.7217,0.311,Collapse,X-Ray / Gamma,SINGULARITY,,,,7019,22h45m50.4s -18d10m41s,0.66,0.9249,0.17,Ghost,Radio / CMB,DARK MATTER,,,8538,13h13m59.9s -60d39m56s,1.17,0.9999,0.257,Forming,K-Band (IR),PROTO-MATTER,,,4126,21h53m08.5s -29d48m25s,0.44,0.7815,0.158,Collapse,X-Ray / Gamma,SINGULARITY,,,5208,18h39m35.9s -24d57m48s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,464,14h30m49.9s -19d59m44s,1.27,0.9999,0.28,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160118,11h44m15.5s -70d54m22s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2229,21h30m48.4s +40d21m37s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5227,10h49m37.5s +00d43m52s,2.16,0.9999,0.476,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,5518,19h31m46.7s -16d14m32s,1.26,0.9999,0.277,Forming,K-Band (IR),PROTO-MATTER,
,1350,05h44m56.2s -03d10m44s,1.39,0.9999,0.305,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7020,22h39m58.5s -18d17m43s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8540,13h25m10.9s -60d07m39s,1.35,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4127,21h42m01.3s -29d48m39s,1.44,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5208,18h39m17.5s -25d01m59s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,464,14h28m57.0s -19d53m15s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160120,11h45m57.3s -70d09m18s,0.68,0.9084,0.181,Forming,K-Band (IR),PROTO-MATTER,,,2230,21h52m18.4s +40d02m23s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5227,10h36m56.4s +00d43m09s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5518,19h21m42.8s -16d28m06s,0.53,0.7982,0.182,Collapse,X-Ray / Gamma,SINGULARITY,
,1350,05h48m38.6s -03d12m21s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7021,22h14m38.9s -18d45m39s,1.41,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8542,13h46m00.5s -59d33m30s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4128,21h28m25.2s -29d47m32s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5209,18h38m58.2s -25d10m28s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,464,14h27m07.7s -19d46m44s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160122,12h06m19.9s -69d21m40s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2230,22h03m30.8s +39d53m02s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5229,10h05m49.2s +00d38m03s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5519,19h08m09.9s -16d49m18s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1350,05h52m30.3s -03d14m08s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7021,22h01m02.6s -18d59m27s,0.91,0.9999,0.2,Forming,K-Band (IR),PROTO-MATTER,,,8545,15h07m19.2s -58d03m23s,0.59,0.7952,0.204,Collapse,X-Ray / Gamma,SINGULARITY,,,4129,21h12m34.5s -29d45m02s,0.39,0.7637,0.148,Collapse,X-Ray / Gamma,SINGULARITY,,,5209,18h38m57.6s -25d14m46s,1.36,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,464,14h23m39.9s -19d33m35s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160124,12h42m26.4s -68d32m40s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2231,22h26m25.0s +39d34m57s,0.61,0.8624,0.18,Collapse,X-Ray / Gamma,SINGULARITY,,,5230,09h28m42.6s +00d27m54s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5519,19h00m21.1s -17d03m58s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1350,06h02m48.6s -03d19m19s,1.48,0.9999,0.325,Stable,V-Band (Green),MAGNESIUM,,,,7022,21h32m31.7s -19d26m34s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8546,15h25m43.1s -57d45m07s,1.5,0.9999,0.33,Stable,V-Band (Green),MAGNESIUM,,,4129,21h03m54.0s -29d43m16s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5209,18h39m03.0s -25d19m07s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,464,14h22m50.4s -19d30m17s,1.02,0.9999,0.224,Forming,K-Band (IR),PROTO-MATTER,,,160128,14h18m01.5s -66d55m40s,1.02,0.8882,0.285,Collapse,X-Ray / Gamma,SINGULARITY,,,2235,23h51m33.5s +38d33m09s,0.98,0.9999,0.216,Forming,K-Band (IR),PROTO-MATTER,,,5231,08h58m25.9s +00d16m56s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5520,18h50m44.5s -17d26m41s,1.46,0.9999,0.321,Stable,V-Band (Green),MAGNESIUM,
,1351,06h14m00.0s -03d25m32s,1.43,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7022,21h25m13.1s -19d33m12s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8547,15h43m50.5s -57d26m57s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4129,20h54m46.8s -29d41m08s,1.18,0.9999,0.26,Forming,K-Band (IR),PROTO-MATTER,,,5209,18h39m32.5s -25d27m57s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,464,14h19m42.3s -19d16m58s,1.45,0.9999,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160132,15h34m41.2s -65d28m33s,5.97,0.8432,1.846,Collapse,X-Ray / Gamma,SINGULARITY,,,2235,00h00m01.0s +38d26m53s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,5232,08h27m23.3s +00d03m01s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5520,18h48m09.2s -17d34m27s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1351,06h16m20.3s -03d26m55s,0.59,0.7893,0.208,Collapse,X-Ray / Gamma,SINGULARITY,,,,7023,20h48m24.7s -20d05m27s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8548,16h01m14.9s -57d08m57s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4130,20h35m23.2s -29d35m47s,1.26,0.8567,0.377,Collapse,X-Ray / Gamma,SINGULARITY,,,5209,18h40m27.2s -25d36m57s,1.05,0.9999,0.231,Forming,K-Band (IR),PROTO-MATTER,,,464,14h18m57.9s -19d13m37s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160140,14h38m44.0s -63d40m33s,1.6,0.9999,0.352,Stable,V-Band (Green),MAGNESIUM,,,2236,00h14m35.7s +38d15m29s,0.51,0.8245,0.164,Collapse,X-Ray / Gamma,SINGULARITY,,,5232,08h17m05.6s +00d02m16s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5521,18h45m53.6s -17d42m17s,0.7,0.9999,0.154,Ghost,Radio / CMB,DARK MATTER,
,1351,06h26m00.4s -03d32m48s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7024,20h41m07.3s -20d11m41s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8548,16h17m30.6s -56d51m13s,0.31,0.5791,0.204,Collapse,X-Ray / Gamma,SINGULARITY,,,4131,20h25m12.7s -29d32m34s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5210,18h47m03.4s -26d09m38s,1.43,0.9999,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,464,14h16m11.1s -19d00m09s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160148,11h39m54.9s -63d59m40s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2239,00h35m16.2s +37d51m18s,0.8,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,5233,08h06m54.2s +00d07m52s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5522,18h40m19.5s -18d14m24s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,1351,06h28m29.9s -03d34m22s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7025,20h12m46.9s -20d35m42s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8550,16h44m59.0s -56d16m49s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4132,19h31m45.0s -29d10m59s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5210,18h48m26.5s -26d14m26s,1.86,0.8587,0.554,Collapse,X-Ray / Gamma,SINGULARITY,,,465,14h15m32.2s -18d56m46s,1.19,0.9999,0.263,Forming,K-Band (IR),PROTO-MATTER,,,160153,11h37m23.3s -64d59m33s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2239,00h34m54.4s +37d48m52s,1.47,0.9999,0.324,Stable,V-Band (Green),MAGNESIUM,,,5233,07h47m02.5s +00d20m03s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5523,18h40m41.6s -18d47m33s,3.05,0.9999,0.67,Life-Stable,B-Band (Blue),HELIUM/CARBON,
