--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---
--- IMAGE REDIRECT ACTIVE ---
--- INITIATING DEEP DRILL SCAN ---
Target: RA 17.761, DEC -29.008
Volume: 26000 to 26000.1 XYZ

XYZ      | Coordinate             | PULL   | Sync   | m      | Stab.         | Band            | IDENTITY
11000    | 01h43m21.1s -28d45m09s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 01h46m28.8s -28d33m53s | 2.01   | 0.9999 | 0.441  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
11000    | 01h48m49.7s -28d25m25s | 1.29   | 0.9999 | 0.283  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 01h52m44.4s -28d11m19s | 1.40   | 0.9999 | 0.309  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 01h53m31.4s -28d08m30s | 1.35   | 0.9999 | 0.297  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 01h54m18.4s -28d05m41s | 1.55   | 0.9999 | 0.342  | Stable        | V-Band (Green)  | MAGNESIUM
11000    | 01h59m47.1s -27d45m57s | 1.04   | 0.8759 | 0.300  | Collapse      | X-Ray / Gamma   | SINGULARITY
11000    | 02h00m34.1s -27d43m08s | 1.33   | 0.9999 | 0.293  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 02h01m21.1s -27d40m19s | 1.32   | 0.9999 | 0.290  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 02h02m08.1s -27d37m29s | 1.90   | 0.9999 | 0.418  | High-Tension  | B/V (Violet)    | CALCIUM
11000    | 02h03m42.0s -27d31m51s | 1.45   | 0.9999 | 0.318  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 02h08m23.9s -27d14m56s | 1.39   | 0.9999 | 0.306  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 02h09m57.9s -27d09m18s | 1.02   | 0.9999 | 0.224  | Forming       | K-Band (IR)     | PROTO-MATTER
11000    | 02h15m26.9s -26d49m34s | 1.06   | 0.8352 | 0.333  | Collapse      | X-Ray / Gamma   | SINGULARITY
11000    | 02h17m00.9s -26d43m56s | 1.39   | 0.9999 | 0.306  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 02h17m47.9s -26d41m06s | 1.31   | 0.9999 | 0.287  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 02h18m34.9s -26d38m17s | 0.51   | 0.7410 | 0.206  | Collapse      | X-Ray / Gamma   | SINGULARITY
11000    | 02h21m42.9s -26d27m01s | 1.42   | 0.9999 | 0.313  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 02h22m30.0s -26d24m12s | 1.43   | 0.9999 | 0.314  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 02h23m17.0s -26d21m23s | 0.67   | 0.9999 | 0.147  | Ghost         | Radio / CMB     | DARK MATTER
11000    | 02h25m38.0s -26d12m55s | 2.64   | 0.9999 | 0.581  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
11000    | 02h27m59.1s -26d04m28s | 1.39   | 0.9999 | 0.306  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 02h28m46.1s -26d01m39s | 1.34   | 0.9999 | 0.294  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 02h29m33.2s -25d58m49s | 1.36   | 0.9999 | 0.300  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 02h32m41.3s -25d47m33s | 1.37   | 0.9999 | 0.302  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 02h33m28.3s -25d44m44s | 1.19   | 0.9999 | 0.263  | Forming       | K-Band (IR)     | PROTO-MATTER
11000    | 02h34m15.4s -25d41m55s | 1.45   | 0.9999 | 0.319  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 02h40m31.7s -25d19m22s | 1.44   | 0.9999 | 0.318  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 02h41m18.8s -25d16m33s | 0.92   | 0.9999 | 0.202  | Forming       | K-Band (IR)     | PROTO-MATTER
11000    | 02h42m05.8s -25d13m44s | 4.04   | 0.8573 | 1.209  | Collapse      | X-Ray / Gamma   | SINGULARITY
11000    | 02h42m52.9s -25d10m55s | 1.35   | 0.9999 | 0.296  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 02h46m48.2s -24d56m49s | 1.35   | 0.9999 | 0.298  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
11000    | 02h49m09.4s -24d48m22s | 1.73   | 0.9999 | 0.380  | High-Tension  | B/V (Violet)    | CALCIUM
11000    | 02h50m43.5s -24d42m44s | 0.71   | 0.7766 | 0.258  | Collapse      | X-Ray / Gamma   | SINGULARITY
11000    | 02h57m00.1s -24d20m11s | 1.26   | 0.9999 | 0.278  | Forming       | K-Band (IR)     | PROTO-MATTER
11000    | 02h57m47.2s -24d17m22s | 0.81   | 0.8774 | 0.231  | Collapse      | X-Ray / Gamma   | SINGULARITY
11000    | 03h01m42.6s -24d03m16s | 1.30   | 0.9999 | 0.287  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)

[SYSTEM] Results additionally saved to scan_results_log.txt
--- INITIATING DEEP DRILL SCAN ---
Target: RA 19.253, DEC 10.945
Volume: 28000 to 28000.01 XYZ

XYZ      | Coordinate             | PULL   | Sync   | m      | Stab.         | Band            | IDENTITY
----------------------------------------------------------------------------------------------------------------------
28000    | 10h14m48.6s +08d56m49s | 1.09   | 0.9999 | 0.239  | Forming       | K-Band (IR)     | PROTO-MATTER
28000    | 10h17m48.1s +08d47m48s | 1.42   | 0.9999 | 0.313  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 10h18m47.9s +08d44m47s | 1.42   | 0.9999 | 0.313  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 10h19m47.7s +08d41m47s | 1.42   | 0.9999 | 0.313  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 10h24m46.9s +08d26m45s | 1.17   | 0.9999 | 0.257  | Forming       | K-Band (IR)     | PROTO-MATTER
28000    | 10h34m45.1s +07d56m41s | 1.00   | 0.9999 | 0.219  | Forming       | K-Band (IR)     | PROTO-MATTER
28000    | 10h38m44.4s +07d44m39s | 1.41   | 0.9999 | 0.309  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 10h39m44.3s +07d41m39s | 1.41   | 0.9999 | 0.309  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 10h40m44.1s +07d38m38s | 1.41   | 0.9999 | 0.309  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 10h44m43.4s +07d26m36s | 1.20   | 0.9999 | 0.265  | Forming       | K-Band (IR)     | PROTO-MATTER
28000    | 10h54m41.6s +06d56m32s | 1.19   | 0.9999 | 0.262  | Forming       | K-Band (IR)     | PROTO-MATTER
28000    | 10h59m40.7s +06d41m30s | 1.40   | 0.9999 | 0.309  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h00m40.6s +06d38m30s | 1.40   | 0.9999 | 0.309  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h01m40.4s +06d35m29s | 1.40   | 0.9999 | 0.309  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h04m39.8s +06d26m28s | 0.93   | 0.9999 | 0.204  | Forming       | K-Band (IR)     | PROTO-MATTER
28000    | 11h05m39.7s +06d23m28s | 0.77   | 0.9999 | 0.169  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 11h06m39.5s +06d20m27s | 0.77   | 0.9999 | 0.169  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 11h07m39.3s +06d17m27s | 0.77   | 0.9999 | 0.169  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 11h08m39.1s +06d14m26s | 1.34   | 0.9999 | 0.294  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h09m39.0s +06d11m26s | 1.34   | 0.9999 | 0.294  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h10m38.8s +06d08m25s | 1.34   | 0.9999 | 0.294  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h14m38.1s +05d56m24s | 1.35   | 0.9999 | 0.297  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h15m37.9s +05d53m23s | 1.35   | 0.9999 | 0.297  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h16m37.7s +05d50m23s | 1.35   | 0.9999 | 0.297  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h20m37.0s +05d38m21s | 1.37   | 0.9999 | 0.300  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h21m36.8s +05d35m21s | 1.37   | 0.9999 | 0.300  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h22m36.6s +05d32m20s | 1.37   | 0.9999 | 0.300  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h24m36.3s +05d26m20s | 2.64   | 0.9406 | 0.657  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
28000    | 11h34m34.5s +04d56m15s | 1.50   | 0.9999 | 0.331  | Stable        | V-Band (Green)  | MAGNESIUM
28000    | 11h41m33.2s +04d35m12s | 1.39   | 0.9999 | 0.306  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h42m33.0s +04d32m12s | 1.39   | 0.9999 | 0.306  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h43m32.8s +04d29m12s | 1.39   | 0.9999 | 0.306  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h44m32.7s +04d26m11s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h45m32.5s +04d23m11s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h46m32.3s +04d20m10s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h47m32.1s +04d17m10s | 1.33   | 0.9999 | 0.294  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h48m31.9s +04d14m10s | 1.33   | 0.9999 | 0.294  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h49m31.8s +04d11m09s | 1.33   | 0.9999 | 0.294  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h53m31.0s +03d59m07s | 1.34   | 0.9999 | 0.295  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h54m30.9s +03d56m07s | 1.34   | 0.9999 | 0.295  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h55m30.7s +03d53m07s | 1.34   | 0.9999 | 0.295  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h56m30.5s +03d50m06s | 1.43   | 0.9999 | 0.316  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h57m30.3s +03d47m06s | 1.43   | 0.9999 | 0.316  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 11h58m30.1s +03d44m05s | 1.43   | 0.9999 | 0.316  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 12h04m29.0s +03d26m03s | 0.84   | 0.9999 | 0.185  | Forming       | K-Band (IR)     | PROTO-MATTER
28000    | 12h05m28.8s +03d23m02s | 0.80   | 0.9999 | 0.175  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 12h06m28.7s +03d20m02s | 0.80   | 0.9999 | 0.175  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 12h07m28.5s +03d17m02s | 0.80   | 0.9999 | 0.175  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 12h14m27.2s +02d55m59s | 2.06   | 0.9999 | 0.452  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
28000    | 12h17m26.6s +02d46m57s | 1.32   | 0.9999 | 0.291  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 12h18m26.5s +02d43m57s | 1.32   | 0.9999 | 0.291  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 12h19m26.3s +02d40m57s | 1.32   | 0.9999 | 0.291  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 12h23m25.5s +02d28m55s | 0.81   | 0.9999 | 0.178  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 12h24m25.4s +02d25m55s | 0.81   | 0.9999 | 0.178  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 12h25m25.2s +02d22m54s | 0.81   | 0.9999 | 0.178  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 12h29m24.4s +02d10m52s | 1.35   | 0.9999 | 0.296  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 12h30m24.2s +02d07m52s | 1.35   | 0.9999 | 0.296  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 12h31m24.1s +02d04m52s | 1.35   | 0.9999 | 0.296  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 12h32m23.9s +02d01m51s | 1.35   | 0.9999 | 0.296  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 12h33m23.7s +01d58m51s | 1.35   | 0.9999 | 0.296  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 12h34m23.5s +01d55m50s | 1.35   | 0.9999 | 0.296  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 12h38m22.8s +01d43m49s | 0.50   | 0.8319 | 0.159  | Collapse      | X-Ray / Gamma   | SINGULARITY
28000    | 12h39m22.6s +01d40m48s | 0.50   | 0.8319 | 0.159  | Collapse      | X-Ray / Gamma   | SINGULARITY
28000    | 12h40m22.4s +01d37m48s | 0.50   | 0.8319 | 0.159  | Collapse      | X-Ray / Gamma   | SINGULARITY
28000    | 12h44m21.6s +01d25m46s | 1.64   | 0.9999 | 0.362  | High-Tension  | B/V (Violet)    | CALCIUM
28000    | 12h47m21.1s +01d16m45s | 1.44   | 0.9999 | 0.317  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 12h48m20.9s +01d13m44s | 1.44   | 0.9999 | 0.317  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 12h49m20.7s +01d10m44s | 1.44   | 0.9999 | 0.317  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 12h50m20.5s +01d07m44s | 0.77   | 0.8213 | 0.253  | Collapse      | X-Ray / Gamma   | SINGULARITY
28000    | 12h51m20.3s +01d04m43s | 0.77   | 0.8213 | 0.253  | Collapse      | X-Ray / Gamma   | SINGULARITY
28000    | 12h52m20.1s +01d01m43s | 0.77   | 0.8213 | 0.253  | Collapse      | X-Ray / Gamma   | SINGULARITY
28000    | 12h54m19.8s +00d55m42s | 1.87   | 0.9822 | 0.426  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
28000    | 13h04m17.9s +00d25m38s | 2.00   | 0.9999 | 0.441  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
28000    | 13h14m16.0s +00d04m26s | 1.04   | 0.9406 | 0.258  | Forming       | K-Band (IR)     | PROTO-MATTER
28000    | 13h17m15.4s +00d13m28s | 1.45   | 0.9999 | 0.319  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 13h18m15.2s +00d16m28s | 1.45   | 0.9999 | 0.319  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 13h19m15.1s +00d19m28s | 1.45   | 0.9999 | 0.319  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 13h23m14.3s +00d31m30s | 1.30   | 0.9999 | 0.285  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 13h24m14.1s +00d34m30s | 1.30   | 0.9999 | 0.285  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 13h25m13.9s +00d37m31s | 1.30   | 0.9999 | 0.285  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 13h26m13.7s +00d40m31s | 0.73   | 0.9999 | 0.160  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 13h27m13.5s +00d43m32s | 0.73   | 0.9999 | 0.160  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 13h28m13.3s +00d46m32s | 0.73   | 0.9999 | 0.160  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 13h34m12.2s -01d04m35s | 1.57   | 0.9999 | 0.346  | Stable        | V-Band (Green)  | MAGNESIUM
28000    | 13h38m11.4s -01d16m36s | 0.74   | 0.9999 | 0.162  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 13h39m11.2s -01d19m37s | 0.74   | 0.9999 | 0.162  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 13h40m11.0s -01d22m37s | 0.74   | 0.9999 | 0.162  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 13h44m10.3s -01d34m39s | 1.57   | 0.9999 | 0.345  | Stable        | V-Band (Green)  | MAGNESIUM
28000    | 13h53m08.5s -02d01m42s | 1.30   | 0.9999 | 0.286  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 13h54m08.4s -02d04m43s | 1.30   | 0.9999 | 0.286  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 13h55m08.2s -02d07m43s | 1.30   | 0.9999 | 0.286  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 13h56m08.0s -02d10m44s | 0.70   | 0.9999 | 0.155  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 13h57m07.8s -02d13m44s | 0.70   | 0.9999 | 0.155  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 13h58m07.6s -02d16m45s | 0.70   | 0.9999 | 0.155  | Ghost         | Radio / CMB     | DARK MATTER
28000    | 14h04m06.4s -02d34m47s | 1.26   | 0.9999 | 0.277  | Forming       | K-Band (IR)     | PROTO-MATTER
28000    | 14h14m04.5s -03d04m51s | 1.16   | 0.9999 | 0.255  | Forming       | K-Band (IR)     | PROTO-MATTER
28000    | 14h24m02.5s -03d34m55s | 1.48   | 0.9999 | 0.325  | Stable        | V-Band (Green)  | MAGNESIUM
28000    | 14h34m00.6s -04d04m59s | 2.31   | 0.9999 | 0.507  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
28000    | 14h35m00.4s -04d07m60s | 1.42   | 0.9999 | 0.311  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 14h36m00.2s -04d11m00s | 1.42   | 0.9999 | 0.311  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 14h36m60.0s -04d14m01s | 1.42   | 0.9999 | 0.311  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 14h40m59.2s -04d26m02s | 1.33   | 0.9999 | 0.292  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 14h41m59.0s -04d29m03s | 1.33   | 0.9999 | 0.292  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 14h42m58.8s -04d32m03s | 1.33   | 0.9999 | 0.292  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 14h43m58.6s -04d35m03s | 1.19   | 0.9999 | 0.263  | Forming       | K-Band (IR)     | PROTO-MATTER
28000    | 14h49m57.4s -04d53m06s | 1.35   | 0.9999 | 0.298  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 14h50m57.2s -04d56m06s | 1.35   | 0.9999 | 0.298  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 14h51m57.0s -04d59m07s | 1.35   | 0.9999 | 0.298  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 14h53m56.6s -05d05m08s | 2.57   | 0.9999 | 0.565  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
28000    | 15h01m55.0s -05d29m11s | 1.36   | 0.9999 | 0.300  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 15h02m54.8s -05d32m11s | 1.36   | 0.9999 | 0.300  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 15h03m54.6s -05d35m12s | 1.36   | 0.9999 | 0.300  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 15h10m53.2s -05d56m15s | 1.43   | 0.9999 | 0.316  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 15h11m53.0s -05d59m15s | 1.43   | 0.9999 | 0.316  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
28000    | 15h12m52.8s -06d02m15s | 1.40   | 0.9999 | 0.309  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)

[SYSTEM] Results additionally saved to scan_results_log.txt
--- INITIATING DEEP DRILL SCAN ---
Target: RA 5.588, DEC -5.391
Volume: 1344 to 1368 XYZ

XYZ      | Coordinate             | PULL   | Sync   | m      | Stab.         | Band            | IDENTITY
----------------------------------------------------------------------------------------------------------------------
1344     | 05h16m43.4s -03d52m08s | 3.79   | 0.9999 | 0.833  | Life-Stable   | B-Band (Blue)   | HELIUM/CARBON
1344     | 05h15m56.3s -03d50m21s | 1.32   | 0.9999 | 0.290  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1344     | 05h15m10.4s -03d48m37s | 1.30   | 0.9999 | 0.287  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1345     | 05h11m05.7s -03d38m45s | 1.38   | 0.9999 | 0.304  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1345     | 05h09m56.5s -03d35m42s | 1.47   | 0.9999 | 0.323  | Stable        | V-Band (Green)  | MAGNESIUM
1345     | 05h09m24.5s -03d34m14s | 1.39   | 0.9999 | 0.305  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1345     | 05h07m33.8s -03d28m39s | 1.43   | 0.9999 | 0.314  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1346     | 05h05m57.8s -03d22m25s | 1.53   | 0.9999 | 0.337  | Stable        | V-Band (Green)  | MAGNESIUM
1346     | 05h05m33.3s -03d20m09s | 5.16   | 0.8963 | 1.413  | Collapse      | X-Ray / Gamma   | SINGULARITY
1346     | 05h05m12.4s -03d17m01s | 1.35   | 0.9999 | 0.298  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1346     | 05h05m09.2s -03d15m06s | 1.24   | 0.9621 | 0.295  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1346     | 05h05m21.3s -03d12m29s | 1.30   | 0.9999 | 0.286  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1347     | 05h05m54.0s -03d10m12s | 0.75   | 0.9999 | 0.166  | Ghost         | Radio / CMB     | DARK MATTER
1347     | 05h06m09.6s -03d09m30s | 1.29   | 0.9999 | 0.285  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1347     | 05h06m27.5s -03d08m51s | 1.25   | 0.7354 | 0.508  | Collapse      | X-Ray / Gamma   | SINGULARITY
1347     | 05h07m10.7s -03d07m39s | 1.37   | 0.9999 | 0.302  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1347     | 05h08m33.6s -03d06m07s | 1.19   | 0.7926 | 0.418  | Collapse      | X-Ray / Gamma   | SINGULARITY
1347     | 05h09m06.2s -03d05m41s | 1.38   | 0.9999 | 0.303  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1347     | 05h10m18.8s -03d04m56s | 0.70   | 0.8686 | 0.206  | Collapse      | X-Ray / Gamma   | SINGULARITY
1348     | 05h10m58.9s -03d04m37s | 0.67   | 0.8770 | 0.190  | Collapse      | X-Ray / Gamma   | SINGULARITY
1348     | 05h11m41.5s -03d04m20s | 1.02   | 0.8595 | 0.305  | Collapse      | X-Ray / Gamma   | SINGULARITY
1348     | 05h15m52.4s -03d03m29s | 1.38   | 0.9999 | 0.303  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1349     | 05h23m30.6s -03d03m57s | 0.76   | 0.9999 | 0.166  | Ghost         | Radio / CMB     | DARK MATTER
1349     | 05h27m25.0s -03d04m44s | 1.05   | 0.9999 | 0.232  | Forming       | K-Band (IR)     | PROTO-MATTER
1349     | 05h34m46.1s -03d06m51s | 0.72   | 0.9999 | 0.159  | Ghost         | Radio / CMB     | DARK MATTER
1350     | 05h43m08.5s -03d09m59s | 0.74   | 0.7217 | 0.311  | Collapse      | X-Ray / Gamma   | SINGULARITY
1350     | 05h44m56.2s -03d10m44s | 1.39   | 0.9999 | 0.305  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1350     | 05h48m38.6s -03d12m21s | 1.29   | 0.9999 | 0.283  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1350     | 05h52m30.3s -03d14m08s | 1.43   | 0.9999 | 0.316  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1350     | 06h02m48.6s -03d19m19s | 1.48   | 0.9999 | 0.325  | Stable        | V-Band (Green)  | MAGNESIUM
1351     | 06h14m00.0s -03d25m32s | 1.43   | 0.9999 | 0.316  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1351     | 06h16m20.3s -03d26m55s | 0.59   | 0.7893 | 0.208  | Collapse      | X-Ray / Gamma   | SINGULARITY
1351     | 06h26m00.4s -03d32m48s | 1.37   | 0.9999 | 0.301  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1351     | 06h28m29.9s -03d34m22s | 1.30   | 0.9999 | 0.286  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1351     | 06h33m34.2s -03d37m39s | 1.44   | 0.9999 | 0.317  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1352     | 06h38m45.0s -03d41m06s | 1.42   | 0.9999 | 0.312  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1352     | 06h41m22.7s -03d42m53s | 1.15   | 0.9089 | 0.306  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1352     | 06h44m02.0s -03d44m42s | 1.43   | 0.9999 | 0.314  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1352     | 06h49m24.9s -03d48m29s | 1.41   | 0.9999 | 0.310  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1352     | 06h52m08.5s -03d50m26s | 0.98   | 0.9999 | 0.216  | Forming       | K-Band (IR)     | PROTO-MATTER
1352     | 06h54m53.3s -03d52m25s | 1.41   | 0.9999 | 0.310  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1352     | 07h00m26.8s -03d56m32s | 1.38   | 0.9999 | 0.303  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1353     | 07h08m55.6s -04d03m00s | 0.59   | 0.8661 | 0.174  | Collapse      | X-Ray / Gamma   | SINGULARITY
1353     | 07h20m28.0s -04d12m13s | 1.41   | 0.9999 | 0.311  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
1353     | 07h32m12.9s -04d22m05s | 1.29   | 0.9999 | 0.285  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
