--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---
--- IMAGE REDIRECT ACTIVE ---
--- INITIATING DEEP DRILL SCAN ---
Target: RA 17.761, DEC -29.008
Volume: 26000 to 26000.1 XYZ

XYZ      | Coordinate             | PULL   | Sync   | m      | Stab.         | Band            | IDENTITY
26000    | 04h56m29.7s -21d31m03s | 1.44   | 0.9999 | 0.317  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 04h55m51.7s -21d28m10s | 1.31   | 0.9999 | 0.287  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 04h53m57.6s -21d19m28s | 1.40   | 0.9999 | 0.307  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 04h53m19.5s -21d16m34s | 0.90   | 0.9999 | 0.197  | Forming       | K-Band (IR)     | PROTO-MATTER
26000    | 04h52m03.4s -21d10m46s | 0.50   | 0.8345 | 0.159  | Collapse      | X-Ray / Gamma   | SINGULARITY
26000    | 04h50m47.3s -21d04m58s | 0.69   | 0.9999 | 0.151  | Ghost         | Radio / CMB     | DARK MATTER
26000    | 04h49m31.1s -20d59m11s | 1.35   | 0.9999 | 0.297  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 04h48m14.9s -20d53m23s | 1.24   | 0.9280 | 0.317  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 04h46m58.7s -20d47m35s | 0.87   | 0.9999 | 0.191  | Forming       | K-Band (IR)     | PROTO-MATTER
26000    | 04h46m20.6s -20d44m41s | 1.29   | 0.9999 | 0.284  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 04h45m04.3s -20d38m53s | 0.77   | 0.9857 | 0.174  | Ghost         | Radio / CMB     | DARK MATTER
26000    | 04h41m15.4s -20d21m30s | 1.29   | 0.9999 | 0.283  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 04h40m37.2s -20d18m36s | 0.98   | 0.9999 | 0.216  | Forming       | K-Band (IR)     | PROTO-MATTER
26000    | 04h39m20.9s -20d12m49s | 1.32   | 0.9999 | 0.290  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
